name	addr	jal_sites	caller_files	unique_pcs
sceSifSyncIop	0x0042BF30	1	1	0x319870
sceSifRebootIop	0x0042BF68	1	1	0x319860
sceSifLoadModule?	0x42BA68	7	3	0x319754,0x3c1e64,0x3c1e80,0x3c1eb8,0x3c1ed4,0x3f5e0c,0x3f5e50
audioInit?	0x3C1B80	1	1	0x3b523c
pathAppend?	0x3C15D8	4	1	0x3c1e44,0x3c1e54,0x3c1e98,0x3c1ea8
audioRpcWrap	0x3C0B10	4	3	0x3c2224,0x3c232c,0x3c34a4,0x3c34e8
audioSifSender	0x3C4450	2	2	0x3c4640,0x3c48ec
netInit	0x228EE0	1	1	0x2282fc
netBindWrap	0x3F6A40	1	1	0x229148
netRpcWrap	0x3F6960	7	7	0x3f6a98,0x3f6adc,0x3f6b0c,0x3f6b3c,0x3f6b6c,0x3f6bd8,0x3f6c2c
netLoader2	0x3F61D0	1	1	0x266814
bootSeq	0x31ADB0	1	1	0x31afa0
irxLoader	0x319718	21	3	0x228f0c,0x228f30,0x228f4c,0x228f74,0x228fc4,0x228fe4,0x229004,0x229030,0x229068,0x2290a0,0x2290d8,0x2290fc,0x22911c,0x229138,0x3197ec,0x31addc,0x31adf8,0x31ae14,0x31ae30,0x31ae4c,0x31ae68
VSync	0x424230	0	0	
sceSifMCallRpc	0x40B6D0	0	0	
