side	snapshot_vsync	reads_in_±200_vsync	one_sector	fifteen_sectors	sixteen_sectors	min_lbn	max_lbn	backward_jumps
PCSX2	12736	46	24	21	1	0xb375d	0xb3891	2
ours	1344	47	25	21	1	0xb1f05	0xb2039	2
