window ticks 1804->2358 (554 frames) wall 59.19 s = 106.84 ms/frame, 9.36 vs/s
tid comm cpu_s cpu_ms_per_frame util_pct
19685 GameThread 31.93 57.64 53.9
19646 GsWorker 8.77 15.83 14.8
19643 com.ps2x.runner 4.65 8.39 7.9
19683 AAudio_1 0.21 0.38 0.4
19637 binder:19614_2 0.08 0.14 0.1
19702 binder:19614_4 0.06 0.11 0.1
19696 binder:19614_3 0.06 0.11 0.1
19687 PGS-Waiter 0.05 0.09 0.1
19639 binder:19614_3 0.04 0.07 0.1
