samples=43 last=t+215.4s tick=4574
| Phase | Ticks | Wall (s) | Guest vsyncs/s | Ratio (÷59.94) | SF presents/s (polls) |
|---|---|---|---|---|---|
| title/startup | 0→636 | 11.0 | 57.86 | 0.965× | 59.7–59.7 (n=1) |
| main menu | 636→766 | 2.2 | 58.24 | 0.972× | — |
| Select Character | 766→884 | 2.0 | 58.24 | 0.972× | — |
| Setup Character / Peak | 884→1099 | 3.5 | 61.44 | 1.025× | — |
| Select Mode / Event / My Rules | 1099→1440 | 6.3 | 53.73 | 0.896× | 60.1–60.1 (n=1) |
| loading + Rival card | 1440→1714 | 12.9 | 21.20 | 0.354× | 59.9–59.9 (n=1) |
| race | 1714→4574 | 177.4 | 16.12 | 0.269× | 59.7–60.4 (n=15) |
race per-5s: 10.8 11.6 11.8 12.0 14.8 15.4 15.4 15.0 15.6 15.6 16.0 16.4 16.6 17.0 16.8 16.0 16.6 17.0 16.8 16.4 16.6 16.8 16.4 16.8 16.4 16.6 16.8 17.0 17.0 17.0 16.4 18.2 19.6 20.4 21.0
