window ticks 1983->2564 (581 frames) wall 25.06 s = 43.13 ms/frame, 23.18 vs/s
tid comm cpu_s cpu_ms_per_frame util_pct
24766 MTVU 16.22 27.92 64.7
24757 GameThread 7.44 12.81 29.7
24738 GsWorker 5.12 8.81 20.4
24756 AAudio_1 0.08 0.14 0.3
24759 PGS-Waiter 0.04 0.07 0.2
24736 com.ps2x.runner 0.04 0.07 0.2
25188 binder:24719_4 0.01 0.02 0.0
24731 binder:24719_2 0.01 0.02 0.0
