window ticks 1982->2554 (572 frames) wall 25.39 s = 44.40 ms/frame, 22.52 vs/s
tid comm cpu_s cpu_ms_per_frame util_pct
17038 MTVU 16.72 29.23 65.8
17012 GameThread 7.62 13.32 30.0
16987 GsWorker 5.14 8.99 20.2
17008 AAudio_1 0.08 0.14 0.3
16982 com.ps2x.runner 0.04 0.07 0.2
17016 PGS-Waiter 0.03 0.05 0.1
16976 binder:16960_3 0.01 0.02 0.0
16972 binder:16960_1 0.01 0.02 0.0
