addr,name,src_file
0x16c718,cActiveTriggerList_add,config/symbol_addrs.txt
0x16c9b0,cCameraTriggerMan_cleanupOnExit,config/symbol_addrs.txt
0x16cbe0,cCameraTriggerMan_purge,config/symbol_addrs.txt
0x16cdc8,cCameraTriggerMan_loadTriggers,config/symbol_addrs.txt
0x16ce30,cCameraTriggerMan_streamIn,config/symbol_addrs.txt
0x16d1b8,cCameraTriggerMan_setInGameTriggers,config/symbol_addrs.txt
0x16d200,cCameraTriggerStack_init,config/symbol_addrs.txt
0x1712b0,get_camaction,config/symbol_addrs.txt
0x1714e8,get_cCTActionBoundedCam,config/symbol_addrs.txt
0x1715a0,get_cCTActionSwitchCam,config/symbol_addrs.txt
0x1715f8,get_cCTActionSpline,config/symbol_addrs.txt
0x171680,get_cCTActionNone,config/symbol_addrs.txt
0x171690,get_camboundobj,config/symbol_addrs.txt
0x171a20,get_cCTBoundObjEllipse,config/symbol_addrs.txt
0x171b10,get_cCTBoundObjBox,config/symbol_addrs.txt
0x171c00,get_cCTBoundObjLine,config/symbol_addrs.txt
0x171d10,get_cCTBoundObjPoint,config/symbol_addrs.txt
0x171d58,get_camspline,config/symbol_addrs.txt
0x172e18,get_camvolume,config/symbol_addrs.txt
0x172fe0,get_cCTVolumeEllipse,config/symbol_addrs.txt
0x1730d0,get_cCTVolumeBox,config/symbol_addrs.txt
0x17acc8,cBackgroundMan_loadImages,config/symbol_addrs.txt
0x17c5f8,cDebugMenuScreen_draw,config/symbol_addrs.txt
0x180b60,cScreenKeyboard_initScreenKeyboard,config/symbol_addrs.txt
0x181148,cFEStateCharSelect_onCreateScreen,config/symbol_addrs.txt
0x181620,cFEStateCharSelect_onWidgetCreate,config/symbol_addrs.txt
0x182488,cFEStateCheatCharSelect_onWidgetCreate,config/symbol_addrs.txt
0x182928,cFEStateCharSetup_onCreateScreen,config/symbol_addrs.txt
0x1832a8,cFEStateRiderDetail_onCreateScreen,config/symbol_addrs.txt
0x183de0,cWScriptMan_checkGate,config/symbol_addrs.txt
0x184668,cFEStateUberTrick_costVisible,config/symbol_addrs.txt
0x184828,cFEStateUberTrick_trickVisible,config/symbol_addrs.txt
0x185080,cFEStateUberTrick_onWidgetCreate,config/symbol_addrs.txt
0x185a98,cFEStateCredits_onCreateScreen,config/symbol_addrs.txt
0x185ba0,cFEStateCredits_onGainFocus,config/symbol_addrs.txt
0x186658,cFEStateEventSelect_onCreateScreen,config/symbol_addrs.txt
0x186b50,cFEStateMemCard_onCreateScreen,config/symbol_addrs.txt
0x187c50,cFEStateLegal_onCreateScreen,config/symbol_addrs.txt
0x188800,cFEStateOptions_onCreateScreen,config/symbol_addrs.txt
0x188f28,cFEStateOptionsGame_onCreateScreen,config/symbol_addrs.txt
0x189980,cFEStateOptionsGame_onWidgetEvent,config/symbol_addrs.txt
0x18a298,cFEStateOptionsSound_onCreateScreen,config/symbol_addrs.txt
0x18b380,cFEStateOptionsSound_updateWidget,config/symbol_addrs.txt
0x18c6a0,cFEStateOptionsController_onCreateScreen,config/symbol_addrs.txt
0x18d280,cFEStateOptionsSaveLoad_onCreateScreen,config/symbol_addrs.txt
0x18d2e8,cFEStateOptionsSaveLoad_onWidgetCreate,config/symbol_addrs.txt
0x18d648,cFEStateOptionsSaveLoad_onWidgetEvent,config/symbol_addrs.txt
0x18d868,cFEStateOptionsDeviceSelect_onCreateScreen,config/symbol_addrs.txt
0x18ead8,cFEStateProfileSelect_onCreateScreen,config/symbol_addrs.txt
0x18edc8,cFEStateProfileLoad_onCreateScreen,config/symbol_addrs.txt
0x190540,cFEStateProfileLoad_initCreateScreen,config/symbol_addrs.txt
0x1908c0,cFEStateRiderBio_onCreateScreen,config/symbol_addrs.txt
0x190de0,cFEStateRiderBio_fillDNAInfo,config/symbol_addrs.txt
0x190f48,cFEStateRiderBio_fillFavesInfo,config/symbol_addrs.txt
0x1910c0,cFEStateRiderBio_fillQnAInfo,config/symbol_addrs.txt
0x191228,cFEStateRiderBio_fillBioInfo,config/symbol_addrs.txt
0x1913b8,cFEStateRuleSelect_setupMenu,config/symbol_addrs.txt
0x191938,cFEStateRuleSelect_onCreateScreen,config/symbol_addrs.txt
0x192d80,cFEStateBraggingRights_onCreateScreen,config/symbol_addrs.txt
0x193650,cFEStateBraggingRights_onWidgetCreate,config/symbol_addrs.txt
0x194528,cFEStateBackground_onCreateScreen,config/symbol_addrs.txt
0x194588,cFEStateTransition_onCreateScreen,config/symbol_addrs.txt
0x194600,cFEStateTransition_onScreenEvent,config/symbol_addrs.txt
0x194778,cFEStateTitle_onCreateScreen,config/symbol_addrs.txt
0x194aa8,cFEStateMainMenu_onCreateScreen,config/symbol_addrs.txt
0x194d18,cFEStateMainMenu_onWidgetCreate,config/symbol_addrs.txt
0x194ea8,cFEStateMainMenu_onWidgetEvent,config/symbol_addrs.txt
0x1954d8,cFEStateBonusMaterial_onCreateScreen,config/symbol_addrs.txt
0x1956f8,cFE_cFE,config/symbol_addrs.txt
0x1959a8,cFELocale_addFile,config/symbol_addrs.txt
0x196540,cFEStateAudioOptions_onWidgetCreate,config/symbol_addrs.txt
0x1966e0,cFEStateAudioOptions_onWidgetEvent,config/symbol_addrs.txt
0x196f98,cFEStateRequestLine_onWidgetCreate,config/symbol_addrs.txt
0x1981f8,cFEStateRequestLine_updateHelpText,config/symbol_addrs.txt
0x198340,cFEStateRequestLine_updateButtonsText,config/symbol_addrs.txt
0x1986d0,cFEStateRequestLine_updateHilightedSongInfo,config/symbol_addrs.txt
0x198db8,cFEStateCharEquip_cFEStateCharEquip,config/symbol_addrs.txt
0x199240,cFEStateCharEquip_onCreateScreen,config/symbol_addrs.txt
0x199458,cFEStateCharEquip_onWidgetCreate,config/symbol_addrs.txt
0x199938,cFEStateCharEquip_onUpdate,config/symbol_addrs.txt
0x19bbe0,cFEStateCharEquip_updateHeading,config/symbol_addrs.txt
0x19e680,cFERider_initBoneMap,config/symbol_addrs.txt
0x19e960,cFERider_init,config/symbol_addrs.txt
0x1a0648,cFEFlowState_setNumStates,config/symbol_addrs.txt
0x1a0720,cFECustom_cFECustom,config/symbol_addrs.txt
0x1a0830,cFECustom_getNextState,config/symbol_addrs.txt
0x1a1ec0,cRealFE_load,config/symbol_addrs.txt
0x1a2b00,cRealFE_loadCharAnimations,config/symbol_addrs.txt
0x1a2c40,cRealFE_loadStartState,config/symbol_addrs.txt
0x1a3090,cFEStateSelectMultiplayerMode_onCreateScreen,config/symbol_addrs.txt
0x1a3258,cFEStateMPCircuit_onCreateScreen,config/symbol_addrs.txt
0x1a36e8,cFEAsyncManager_Load3PeakPic,config/symbol_addrs.txt
0x1a3768,cFEAsyncManager_Load1PeakPic,config/symbol_addrs.txt
0x1a38c0,cFEAsyncManager_UnloadFEAsyncFile,config/symbol_addrs.txt
0x1a39c0,cFEAsyncManager_GetFileStatus,config/symbol_addrs.txt
0x1a39d8,cFEAsyncManager_SetFileStatus,config/symbol_addrs.txt
0x1a3cd8,cFEAsyncManager_LoadDataFile,config/symbol_addrs.txt
0x1c58e8,cScreenPopup_cScreenPopup,config/symbol_addrs.txt
0x1c5af8,cScreenPopup_onCreateScreen,config/symbol_addrs.txt
0x1c5c30,cScreenPopup_onGainTransition,config/symbol_addrs.txt
0x1c6230,cScreenPopup_FillObjectPointers,config/symbol_addrs.txt
0x1c8258,cScreenPopup_setTextString,config/symbol_addrs.txt
0x1c9648,cScreenPopup_getMessageLineWrapSize,config/symbol_addrs.txt
0x1c9b98,cScreenPopup_createConfirmationPopup,config/symbol_addrs.txt
0x1ca6a0,cScreenPopup_checkAndFixTextEntry,config/symbol_addrs.txt
0x1ca900,cBuyPopupInfo_initBuySongByCredit,config/symbol_addrs.txt
0x1ca980,cBuyPopupInfo_initBuySong,config/symbol_addrs.txt
0x1cab10,cBuyPopupInfo_initBuyBolt,config/symbol_addrs.txt
0x1cac98,cUIStateBuyPopup_onWidgetCreate,config/symbol_addrs.txt
0x1caf58,cUIStateBuyPopup_initBuyTrick,config/symbol_addrs.txt
0x1cb1a0,cKeyboardPopup_onCreateScreen,config/symbol_addrs.txt
0x1cb2c8,cKeyboardPopup_onWidgetCreate,config/symbol_addrs.txt
0x1ccf70,cKeyboardPopup_setStatic,config/symbol_addrs.txt
0x1cd0d8,cKeyboardPopup_getObjName,config/symbol_addrs.txt
0x1cd348,cKeyboardPopup_onGainTransition,config/symbol_addrs.txt
0x1cd708,cKeyboardPopup_redrawScreen,config/symbol_addrs.txt
0x1cd9a0,cKeyboardPopup_SetNameForKey,config/symbol_addrs.txt
0x1ce758,setChallengeName,config/symbol_addrs.txt
0x1ce9e0,setChallengeStats,config/symbol_addrs.txt
0x1cf0b0,cFEStateRewardGalleryBase_onCreateScreen,config/symbol_addrs.txt
0x1cf820,cFEStateRewardGalleryBase_onWidgetCreate,config/symbol_addrs.txt
0x1d03f8,cFEStateRewardGalleryBase_showReward,config/symbol_addrs.txt
0x1d0648,cFEStateRewardGalleryBase_updateHelpText,config/symbol_addrs.txt
0x1d0890,cFEStateRewardGalleryBase_updateRow,config/symbol_addrs.txt
0x1d0bc8,cFEStateRewardGalleryBase_updatePageNumber,config/symbol_addrs.txt
0x1d1c08,cFEStatePreviewReward_onCreateScreen,config/symbol_addrs.txt
0x1d1c98,cFEStatePreviewReward_onWidgetCreate,config/symbol_addrs.txt
0x1d2678,cFEStateMountainRoom_cFEStateMountainRoom,config/symbol_addrs.txt
0x1d2990,cFEStateMountainRoom_onCreateScreen,config/symbol_addrs.txt
0x1d2ad0,cFEStateMountainRoom_onWidgetCreate,config/symbol_addrs.txt
0x1d2f68,cFEStateMountainRoom_onWidgetEvent,config/symbol_addrs.txt
0x1d3890,cFEStatePeakRoom_onCreateScreen,config/symbol_addrs.txt
0x1d38f8,cFEStatePeakRoom_onWidgetCreate,config/symbol_addrs.txt
0x1d3ec8,cFEStatePeakRoom_updateHelpText,config/symbol_addrs.txt
0x1d4368,cFEStateTrophyRoom_onCreateScreen,config/symbol_addrs.txt
0x1d43f0,cFEStateTrophyRoom_onWidgetCreate,config/symbol_addrs.txt
0x1d4c60,cFEStateRewardsRoom_onCreateScreen,config/symbol_addrs.txt
0x1d4cd8,cFEStateRewardsRoom_onWidgetCreate,config/symbol_addrs.txt
0x1d66b0,cFEMemCard_callbackSaveSuccess,config/symbol_addrs.txt
0x1d67c8,cFEMemCard_callbackReadSuccess,config/symbol_addrs.txt
0x1d7420,cFEMemCard_callbackConfirmFormatDone,config/symbol_addrs.txt
0x1d7688,cFEMemCard_callbackConfirmDelete,config/symbol_addrs.txt
0x1d7c68,cFEMemCard_callbackFileExists,config/symbol_addrs.txt
0x1d7ed0,cFEMemCard_callbackDeleteDone,config/symbol_addrs.txt
0x1d8c50,cFEMemCard_onInputBegin,config/symbol_addrs.txt
0x1d9470,cFEMemCard_triggerDisplayState,config/symbol_addrs.txt
0x1d9948,cFEMemCard_createReadBuffer,config/symbol_addrs.txt
0x1d9db8,cFEStateNetHelpPopup_onCreateScreen,config/symbol_addrs.txt
0x1d9f38,cFEStateNetHelpPopup_onWidgetCreate,config/symbol_addrs.txt
0x1db148,__sti__all_in_one_main_cpp,config/symbol_addrs.txt
0x1deb90,cFEPopupVideoCalibration_onCreateScreen,config/symbol_addrs.txt
0x1df050,cFEPopupScreenPos_onUpdate,config/symbol_addrs.txt
0x1e02f8,cFEPopupSelectMultiplayerMode_onCreateScreen,config/symbol_addrs.txt
0x1e0358,cFEPopupSelectMultiplayerMode_onWidgetCreate,config/symbol_addrs.txt
0x1e8ff0,cOVStateHiScoreList_onCreateScreen,config/symbol_addrs.txt
0x1e9ad0,cOVStateHUD1P_onCreateScreen,config/symbol_addrs.txt
0x1ec3f8,cOVStateHUD1P_onRender2D,config/symbol_addrs.txt
0x1f1840,cOVStateHUD1P_renderTime,config/symbol_addrs.txt
0x1f3790,cFEStateLodge_onCreateScreen,config/symbol_addrs.txt
0x1f3840,cFEStateLodge_onWidgetCreate,config/symbol_addrs.txt
0x1f4050,cFEStateLodgeRiderDetail_onCreateScreen,config/symbol_addrs.txt
0x1f4218,cFEStateLodgeRiderDetail_onWidgetCreate,config/symbol_addrs.txt
0x1f4830,cFEStateBuyAttrib_onCreateScreen,config/symbol_addrs.txt
0x1f4910,cFEStateBuyAttrib_onWidgetCreate,config/symbol_addrs.txt
0x1f4ea8,cFEStateBuyAttrib_updateLevels,config/symbol_addrs.txt
0x1f4fc0,cFEStateBuyAttrib_updateCostPerLevel,config/symbol_addrs.txt
0x1f50b0,cFEStateBuyAttrib_updateExperienceDisplay,config/symbol_addrs.txt
0x1f5240,cFEStateBuyAttrib_updateTotalCost,config/symbol_addrs.txt
0x1f52a0,cFEStateBuyAttrib_updateBank,config/symbol_addrs.txt
0x1f5508,cFEStateCareerStats_onCreateScreen,config/symbol_addrs.txt
0x1f56c8,cFEStateCareerStats_onInputBegin,config/symbol_addrs.txt
0x1f5ba8,cFEStateCareerStats_setupMenuFocus,config/symbol_addrs.txt
0x1f5da0,cFEStateCareerStats_setupHighlightsList,config/symbol_addrs.txt
0x1f6890,cFEStateCareerStats_setupRidersBest,config/symbol_addrs.txt
0x1f7198,cOVState_ENTERLODGE_onCreateScreen,config/symbol_addrs.txt
0x1f73a8,cOVState_BIGCHALLENGE_START_onCreateScreen,config/symbol_addrs.txt
0x1f7418,cOVState_BIGCHALLENGE_START_onGainTransition,config/symbol_addrs.txt
0x1f7e68,cOVState_TOPTIMES_onWidgetCreate,config/symbol_addrs.txt
0x1f8168,cOVTemplate_PauseMenu_onCreateScreen,config/symbol_addrs.txt
0x1f8948,cOVTemplate_PauseMenu_onWidgetEvent,config/symbol_addrs.txt
0x1f9188,cOVState_PAUSE_OPTIONS_onCreateScreen,config/symbol_addrs.txt
0x1fab18,cOVState_PAUSE_ONLINE_ERROR_onCreateScreen,config/symbol_addrs.txt
0x1fb180,cOVState_PAUSE_ONLINE_ERROR_displayPingTimedOut,config/symbol_addrs.txt
0x1fb218,cOVState_PAUSE_ONLINE_ERROR_displayPingReceived,config/symbol_addrs.txt
0x1fb378,cOVState_PAUSE_ONLINE_ERROR_setContinueOptionVisible,config/symbol_addrs.txt
0x1ff590,cOVState_REWARDS_onCreateScreen,config/symbol_addrs.txt
0x1fff78,cOVState_REWARDS_onGainTransition,config/symbol_addrs.txt
0x200218,cOVStateRewardsList_onCreateScreen,config/symbol_addrs.txt
0x200700,cUITemplate_MAP_onCreateScreen,config/symbol_addrs.txt
0x200de8,cUITemplate_MAP_setupMenus,config/symbol_addrs.txt
0x201720,cUITemplate_MAP_setupEventUnlock,config/symbol_addrs.txt
0x201750,cUITemplate_MAP_setupPeakUnlock,config/symbol_addrs.txt
0x202828,cUITemplate_MAP_onUpdate,config/symbol_addrs.txt
0x202ad8,cUITemplate_MAP_setupLayout,config/symbol_addrs.txt
0x2030a0,cUITemplate_MAP_setupMenuFocus,config/symbol_addrs.txt
0x203990,cUITemplate_MAP_setupMapPic,config/symbol_addrs.txt
0x203a58,cUITemplate_MAP_setupPopup,config/symbol_addrs.txt
0x203cb8,cUITemplate_MAP_setShowInfo,config/symbol_addrs.txt
0x203d40,cUITemplate_MAP_setupPeakInfo,config/symbol_addrs.txt
