au2_center_s,lag_from_base_frames,lag_from_base_ms,ncc
8.775,0.042527640767143965,0.001181323354642888,0.9742877960032973
8.8,0.12382067459430744,0.003439463183175207,0.9794296735103631
8.825,0.21347660283768438,0.005929905634380121,0.9813865744987481
8.85,0.22493581377738112,0.006248217049371698,0.9780536869482158
8.875,0.1999287273108507,0.0055535757586347425,0.9849858362151958
8.9,0.1719843441421851,0.004777342892838475,0.9684686109432419
8.925,0.17763100790727934,0.004934194664091093,0.9455337696220176
8.95,0.2202013232770804,0.006116703424363344,0.9729998330895189
8.975,-0.07101118108749441,-0.001972532807985956,0.9821402361190716
9.0,-0.23283569165005466,-0.006467658101390407,0.9822816446103545
9.025,0.20347482462318392,0.005652078461755109,0.9833017658162803
9.05,0.23111668142484557,0.006419907817356821,0.9853470681566118
9.075,-0.0014843849330933182,-4.1232914808147726e-05,0.988121170318945
9.1,-0.14993345533471317,-0.004164818203742033,0.990482790626093
9.125,0.1273088061345838,0.0035363557259606615,0.9686148665307741
9.15,0.2202834330888163,0.006118984252467119,0.9369448853206532
9.175,0.24797459833830268,0.0068881832871750745,0.9535999958767906
9.2,0.24938465134656368,0.0069273514262934354,0.9867875790376208
9.225,0.21327916856272333,0.005924421348964537,0.9942952801884511
9.25,0.05205205558770934,0.0014458904329919262,0.9916985692000271
9.275,0.24390824512256562,0.0067752290311823785,0.9818433496417726
9.3,0.269738972093002,0.0074927492248056116,0.9851401408942315
9.325,0.02745407510971978,0.0007626131974922161,0.9731236201957485
9.35,-0.08767183607162637,-0.002435328779767399,0.969165879534242
9.375,0.1422563694051768,0.003951565816810466,0.964336911673879
9.4,0.10970377653760675,0.003047327126044632,0.9220345746874168
9.425,0.09563617398499175,0.002656560388471993,0.9654572304504893
9.45,0.2612538726251525,0.007257052017365347,0.9894643535667208
9.475,0.2555252215170599,0.007097922819918331,0.9839788228822217
9.5,0.2663787197943287,0.007399408883175797,0.9816554521906007
9.525,0.2687974674039302,0.007466596316775838,0.9844110382595535
9.55,0.11637038102649443,0.0032325105840692895,0.9726719251068051
9.575,-0.4989411554509473,-0.013859476540304092,0.9672321521881758
9.6,0.22290362224529303,0.006191767284591474,0.9967028005010824
9.625,0.13817834720795863,0.0038382874224432953,0.9800909966460635
9.65,0.13351886718464023,0.0037088574217955623,0.967830125872676
9.675,0.12777232067763286,0.003549231129934246,0.9775890391594253
9.7,0.22589803816392803,0.006274945504553556,0.9877357640714982
9.725,0.16823952472738984,0.004673320131316384,0.9500027911930535
9.75,0.21797501558262877,0.00605486154396191,0.9543524795231931
9.775,0.20598484039483195,0.005721801122078665,0.9718434826713076
9.8,0.10479043235843821,0.0029108453432899503,0.9776276558627335
9.825,0.02531538315645296,0.0007032050876792489,0.9746126243076413
9.85,0.05528718320809983,0.0015357550891138842,0.9589303490150829
9.875,0.16352763429985895,0.004542434286107193,0.9559095362721243
9.9,0.20531951948229016,0.0057033199856191714,0.9697639541163078
9.925,0.06133641689065242,0.0017037893580736782,0.9849262522488
9.95,-0.4640511711698204,-0.012890310310272789,0.9789535709592032
9.975,-0.25715972153881383,-0.007143325598300384,0.9836650147497449
10.0,-0.20780053238592264,-0.005772237010720074,0.9828367295767725
10.025,0.01732806072840274,0.00048133502023340946,0.9825723020087955
10.05,0.1036347654846341,0.0028787434856842806,0.9812218656589391
10.075,0.08059290805912316,0.002238691890531199,0.9711682742122083
10.1,0.22604434643765522,0.006279009623268201,0.967359663294647
10.125,0.24326800035831464,0.006757444454397629,0.9611773047895229
10.15,0.26088467710979574,0.007246796586383215,0.964993322753133
10.175,0.2301769150138199,0.0063938031948283305,0.9867893257984144
10.2,0.16415897236888433,0.004559971454691231,0.9901210116125111
10.225,0.13642359852698485,0.0037895444035273567,0.9877596856439543
10.25,0.09354383196501459,0.002598439776805961,0.9813156740063029
10.275,0.10056174139573347,0.0027933817054370405,0.9716444826824048
10.3,0.10359846699945131,0.0028777351944292034,0.9704312326371796
10.325,0.15077326861727558,0.004188146350479877,0.97391702764359
10.35,0.2021914282190569,0.005616428561640469,0.9782374200430787
10.375,0.22851401447053754,0.0063476115130704875,0.981369479245786
10.4,0.20797627635606886,0.00577711878766858,0.9829820483524065
10.425,-0.1696941272648637,-0.004713725757357325,0.9786208879302725
10.45,-0.28534683374754344,-0.007926300937431761,0.9767401168180024
10.475,-0.3559817298462314,-0.009888381384617537,0.9731398330106616
