Cmdline: /system/bin/simpleperf record --app com.ps2x.runner --add-meta-info app_type=profileable --in-app --tracepoint-events /data/local/tmp/tracepoint_events --out-fd 3 --stop-signal-fd 4 -g --duration 30
Arch: arm64
Event: cpu-cycles (type 0, config 0x0, config1 0x0, config2: 0x0)
Samples: 131059
Event count: 98415043304

Overhead  Command          Shared Object
0.00%     PGS-Waiter       /data/app/~~Hd1ne0JtfXtklWMy69PwAw==/com.ps2x.runner-uOg1LE2w5bsMaJZjY37MtQ==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so
0.00%     binder:15367_3   /system/lib64/libcutils.so
0.00%     binder:15367_3   /system/lib64/libutils.so
0.00%     com.ps2x.runner  /vendor/lib64/libc++.so
0.00%     com.ps2x.runner  /system/lib64/libnativewindow.so
0.00%     com.ps2x.runner  /vendor/lib64/libcutils.so
0.00%     GameThread       /apex/com.android.runtime/lib64/bionic/libdl.so
0.00%     com.ps2x.runner  /system_ext/lib64/libpenguin.so
0.00%     binder:15367_4   /system/lib64/libui.so
0.00%     com.ps2x.runner  /system/lib64/libandroid.so
0.00%     com.ps2x.runner  /system_ext/lib64/libpenguin_impl.so
0.00%     com.ps2x.runner  /apex/com.android.runtime/bin/linker64
0.00%     binder:15367_3   /apex/com.android.runtime/bin/linker64
0.00%     PGS-Waiter       [vdso]
0.00%     binder:15367_2   /system/lib64/libui.so
0.00%     binder:15367_4   /apex/com.android.runtime/bin/linker64
0.00%     com.ps2x.runner  /apex/com.android.runtime/lib64/bionic/libdl.so
0.00%     com.ps2x.runner  /system/lib64/libsync.so
0.00%     AAudio_1         /apex/com.android.runtime/lib64/bionic/libdl.so
0.00%     binder:15367_2   /system/lib64/libc++.so
0.00%     GsWorker         /apex/com.android.runtime/lib64/bionic/libm.so
0.00%     binder:15367_4   /system/lib64/libcutils.so
0.00%     binder:15367_3   /system/lib64/libandroid_runtime.so
0.00%     binder:15367_3   /system/lib64/libc++.so
0.00%     com.ps2x.runner  /apex/com.android.art/lib64/libartbase.so
0.00%     binder:15367_4   [vdso]
