Cmdline: /system/bin/simpleperf record --app com.ps2x.runner --add-meta-info app_type=profileable --in-app --tracepoint-events /data/local/tmp/tracepoint_events --out-fd 3 --stop-signal-fd 4 -g --duration 30
Arch: arm64
Event: cpu-cycles (type 0, config 0x0, config1 0x0, config2: 0x0)
Samples: 39169
Event count: 8781594727

Children  Self   Command   Symbol
90.07%    0.63%  GsWorker  GsWorker::threadMain()
90.07%    0.00%  GsWorker  __pthread_start(void*)
90.07%    0.00%  GsWorker  __start_thread
90.07%    0.00%  GsWorker  void* std::__ndk1::__thread_proxy[abi:ne190000]<std::__ndk1::tuple<std::__ndk1::unique_ptr<std::__ndk1::__thread_struct, std::__ndk1::default_delete<std::__ndk1::__thread_struct>>, void (GsWorker::*)(), GsWorker*>>(void*)
72.83%    0.26%  GsWorker  GS::executeQueuedCommand(GsCommand&)
66.80%    3.15%  GsWorker  GS::processGIFPacket(unsigned char const*, unsigned int)
33.85%    0.11%  GsWorker  ps2x_gs_parallel::(anonymous namespace)::GSParallelBackend::RawGifPacket(unsigned int, unsigned char const*, unsigned int)
33.31%    1.68%  GsWorker  ParallelGS::GSInterface::gif_transfer(unsigned int, void const*, unsigned long)
22.38%    1.34%  GsWorker  void ParallelGS::GSInterface::packed_STQRGBAXYZ<true, (ParallelGS::PRIMType)4, 1>(void const*, unsigned int)
19.19%    6.25%  GsWorker  GS::vertexKick(bool)
17.59%    2.23%  GsWorker  void ParallelGS::GSInterface::drawing_kick<(ParallelGS::PRIMType)4>(bool)
15.71%    9.18%  GsWorker  void ParallelGS::GSInterface::drawing_kick_append<false, false, false, 3u>()
10.56%    0.00%  GsWorker  [kernel.kallsyms][+ffffffe760a11586]
10.04%    0.00%  GsWorker  [kernel.kallsyms][+ffffffe761a7d85e]
8.14%     0.00%  GsWorker  [kernel.kallsyms][+ffffffe761a7d8ea]
8.11%     0.00%  GsWorker  [kernel.kallsyms][+ffffffe760a3aece]
8.07%     0.00%  GsWorker  [kernel.kallsyms][+ffffffe760a3af86]
8.03%     0.00%  GsWorker  [kernel.kallsyms][+ffffffe760a3b042]
7.97%     7.91%  GsWorker  GS::writeRegisterPacked(unsigned char, unsigned long, unsigned long)
6.87%     0.13%  GsWorker  syscall
6.16%     6.13%  GsWorker  GS::buildDrawBatch(int) const
4.87%     1.66%  GsWorker  pthread_mutex_unlock
4.84%     0.00%  GsWorker  [kernel.kallsyms][+ffffffe760bca446]
4.70%     0.63%  GsWorker  ParallelGS::GSInterface::drawing_kick_update_state(ParallelGS::GSInterface::FBFeedbackMode, muglm::tvec4<int> const&, muglm::tvec4<int> const&)
4.58%     0.07%  GsWorker  std::__ndk1::condition_variable::wait(std::__ndk1::unique_lock<std::__ndk1::mutex>&)
4.49%     0.06%  GsWorker  pthread_cond_wait
4.27%     0.08%  GsWorker  __futex_wait_ex(void volatile*, bool, int, bool, timespec const*)
4.16%     0.22%  GsWorker  scudo::Allocator<scudo::AndroidNormalConfig, &scudo_malloc_postinit>::deallocate(void*, scudo::Chunk::Origin, unsigned long, unsigned long)
4.06%     0.01%  GsWorker  GS::latchHostPresentationFrame()
4.06%     0.43%  GsWorker  std::__ndk1::mutex::unlock()
4.04%     2.51%  GsWorker  ps2x_gs_parallel::(anonymous namespace)::GSParallelBackend::Present(GSPresentationRequest const&)
3.94%     0.99%  GsWorker  scudo::Allocator<scudo::AndroidNormalConfig, &scudo_malloc_postinit>::quarantineOrDeallocateChunk(scudo::Options const&, void*, scudo::Chunk::UnpackedHeader*, unsigned long)
3.87%     0.40%  GsWorker  ParallelGS::GSInterface::drawing_kick_update_texture(ParallelGS::GSInterface::FBFeedbackMode, muglm::tvec4<int> const&, muglm::tvec4<int> const&)
3.75%     0.16%  GsWorker  ParallelGS::GSInterface::flush(unsigned int, ParallelGS::FlushReason)
3.47%     3.44%  GsWorker  ps2_gfx_stats::detail::ensureInit()
3.45%     0.06%  GsWorker  void ParallelGS::GSInterface::packed_ADONLY<1>(void const*, unsigned int)
3.25%     3.22%  GsWorker  void ParallelGS::GSInterface::packed_XYZ<false, true, (ParallelGS::PRIMType)4>(void const*)
3.15%     0.04%  GsWorker  void ParallelGS::GSInterface::drawing_kick_primitive<true, false, true, 2u>(bool)
3.10%     0.13%  GsWorker  void ParallelGS::GSInterface::drawing_kick_append<true, false, true, 2u>()
3.05%     0.07%  GsWorker  ParallelGS::GSInterface::a_d_XYZ2(unsigned long)
2.87%     2.87%  GsWorker  [kernel.kallsyms][+ffffffe761a8e810]
2.77%     0.00%  GsWorker  [kernel.kallsyms][+ffffffe760bca196]
2.66%     2.44%  GsWorker  __emutls_get_address
2.58%     0.01%  GsWorker  ioctl
2.57%     0.01%  GsWorker  __ioctl
2.41%     0.00%  GsWorker  [kernel.kallsyms][+ffffffe760e13696]
2.40%     0.00%  GsWorker  [kernel.kallsyms][+ffffffe76084c36a]
2.35%     0.00%  GsWorker  [kernel.kallsyms][+ffffffe76084c2da]
2.00%     0.03%  GsWorker  ParallelGS::GSInterface::flush_pending_transfer(bool)
1.97%     0.00%  GsWorker  [kernel.kallsyms][+ffffffe760bca252]
1.95%     1.94%  GsWorker  GS::recordDrawDebugEventUnlocked(int)
1.78%     0.00%  GsWorker  [kernel.kallsyms][+ffffffe760bce466]
1.77%     0.71%  GsWorker  ParallelGS::PageTracker::mark_fb_write(ParallelGS::PageRect const&)
1.75%     0.00%  GsWorker  [kernel.kallsyms][+ffffffe760bcd2be]
1.74%     0.00%  GsWorker  [kernel.kallsyms][+ffffffe760b09cb6]
1.71%     0.15%  GsWorker  std::__ndk1::mutex::lock()
1.66%     1.66%  GsWorker  [kernel.kallsyms][+ffffffe760a277ec]
1.55%     1.01%  GsWorker  pthread_mutex_lock
1.54%     0.07%  GsWorker  scudo::SizeClassAllocator64<scudo::PrimaryConfig<scudo::AndroidNormalConfig>>::releaseToOSMaybe(scudo::SizeClassAllocator64<scudo::PrimaryConfig<scudo::AndroidNormalConfig>>::RegionInfo*, unsigned long, scudo::ReleaseToOS)
1.38%     1.37%  GsWorker  __aarch64_ldadd8_relax
1.37%     0.05%  GsWorker  ParallelGS::PageTracker::mark_transfer_write(ParallelGS::PageRect const&)
1.30%     0.00%  GsWorker  [kernel.kallsyms][+ffffffe761a84432]
1.29%     0.00%  GsWorker  [kernel.kallsyms][+ffffffe760bcdd5a]
1.27%     1.11%  GsWorker  __memcpy_aarch64_nt
1.27%     0.00%  GsWorker  ParallelGS::PageTracker::flush_cached()
1.26%     1.21%  GsWorker  ParallelGS::GSInterface::update_color_feedback_state()
1.16%     0.04%  GsWorker  ParallelGS::GSInterface::flush_render_pass(ParallelGS::FlushReason)
1.09%     0.17%  GsWorker  ParallelGS::GSRenderer::flush_rendering(ParallelGS::RenderPass const&)
1.06%     1.02%  GsWorker  std::__ndk1::deque<GsCommand, std::__ndk1::allocator<GsCommand>>::pop_front()
1.06%     1.05%  GsWorker  GS::recordRegisterDebugEventUnlocked(unsigned char, unsigned long)
1.02%     0.11%  GsWorker  Vulkan::CommandBuffer::flush_compute_state(bool)
