Cmdline: /system/bin/simpleperf record --app com.ps2x.runner --add-meta-info app_type=profileable --in-app --tracepoint-events /data/local/tmp/tracepoint_events --out-fd 3 --stop-signal-fd 4 -g --duration 30
Arch: arm64
Event: cpu-cycles (type 0, config 0x0, config1 0x0, config2: 0x0)
Samples: 27096
Event count: 6848592307

Children  Self   Command   Symbol
1.36%     0.00%  GsWorker  [kernel.kallsyms][+ffffffe760bcdd5a]
1.34%     0.17%  GsWorker  ParallelGS::GSRenderer::flush_rendering(ParallelGS::RenderPass const&)
1.34%     0.06%  GsWorker  ParallelGS::PageTracker::mark_transfer_write(ParallelGS::PageRect const&)
1.33%     0.97%  GsWorker  std::__ndk1::deque<GsCommand, std::__ndk1::allocator<GsCommand>>::pop_front()
1.25%     0.35%  GsWorker  std::__ndk1::condition_variable::notify_all()
1.23%     0.01%  GsWorker  ParallelGS::PageTracker::flush_cached()
1.21%     1.20%  GsWorker  __aarch64_ldadd8_relax
1.21%     0.15%  GsWorker  Vulkan::CommandBuffer::flush_compute_state(bool)
1.17%     0.21%  GsWorker  void scudo::releaseFreeMemoryToOS<scudo::RegionReleaseRecorder<scudo::MemMapLinux>, scudo::SizeClassAllocator64<scudo::PrimaryConfig<scudo::AndroidNormalConfig>>::releaseToOSMaybe(scudo::SizeClassAllocator64<scudo::PrimaryConfig<scudo::AndroidNormalConfig>>::RegionInfo*, unsigned long, scudo::ReleaseToOS)::'lambda'(unsigned long)>(scudo::PageReleaseContext&, scudo::RegionReleaseRecorder<scudo::MemMapLinux>&, scudo::SizeClassAllocator64<scudo::PrimaryConfig<scudo::AndroidNormalConfig>>::releaseToOSMaybe(scudo::SizeClassAllocator64<scudo::PrimaryConfig<scudo::AndroidNormalConfig>>::RegionInfo*, unsigned long, scudo::ReleaseToOS)::'lambda'(unsigned long))
1.14%     0.01%  GsWorker  ParallelGS::GSRenderer::flush_submit(unsigned long)
1.06%     0.02%  GsWorker  ParallelGS::GSRenderer::flush_cache_upload()
1.01%     0.03%  GsWorker  Vulkan::CommandBuffer::dispatch(unsigned int, unsigned int, unsigned int)
