Cmdline: /system/bin/simpleperf record --app com.ps2x.runner --add-meta-info app_type=profileable --in-app --tracepoint-events /data/local/tmp/tracepoint_events --out-fd 3 --stop-signal-fd 4 -g --duration 30
Arch: arm64
Event: cpu-cycles (type 0, config 0x0, config1 0x0, config2: 0x0)
Samples: 37482
Event count: 11847742602

Overhead  Command          Shared Object                                                                                                                 Symbol
0.49%     GsWorker         /data/app/~~Hd1ne0JtfXtklWMy69PwAw==/com.ps2x.runner-uOg1LE2w5bsMaJZjY37MtQ==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so    GS::recordRegisterDebugEventUnlocked(unsigned char, unsigned long)
0.44%     com.ps2x.runner  [kernel.kallsyms]                                                                                                             [kernel.kallsyms][+ffffffe760a21680]
0.41%     GsWorker         /data/app/~~Hd1ne0JtfXtklWMy69PwAw==/com.ps2x.runner-uOg1LE2w5bsMaJZjY37MtQ==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so    ParallelGS::PageTracker::mark_fb_write(ParallelGS::PageRect const&)
0.41%     GsWorker         /data/app/~~Hd1ne0JtfXtklWMy69PwAw==/com.ps2x.runner-uOg1LE2w5bsMaJZjY37MtQ==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so    GsCommand::operator=(GsCommand&&)
0.41%     GsWorker         /apex/com.android.runtime/lib64/bionic/libc.so                                                                                scudo::Allocator<scudo::AndroidNormalConfig, &scudo_malloc_postinit>::quarantineOrDeallocateChunk(scudo::Options const&, void*, scudo::Chunk::UnpackedHeader*, unsigned long)
0.40%     GsWorker         /data/app/~~Hd1ne0JtfXtklWMy69PwAw==/com.ps2x.runner-uOg1LE2w5bsMaJZjY37MtQ==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so    ParallelGS::compute_page_rect(unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int)
0.39%     GsWorker         /data/app/~~Hd1ne0JtfXtklWMy69PwAw==/com.ps2x.runner-uOg1LE2w5bsMaJZjY37MtQ==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so    ParallelGS::triangle_is_parallelogram_candidate(ParallelGS::VertexPosition const*, ParallelGS::VertexAttribute const*, muglm::tvec2<int> const&, muglm::tvec2<int> const&, ParallelGS::PRIMBits const&, muglm::tvec3<int>&)
0.38%     GsWorker         /apex/com.android.runtime/lib64/bionic/libc.so                                                                                __aarch64_swp2_rel
0.37%     GsWorker         /data/app/~~Hd1ne0JtfXtklWMy69PwAw==/com.ps2x.runner-uOg1LE2w5bsMaJZjY37MtQ==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so    ParallelGS::GSInterface::check_frame_buffer_state()
0.35%     GsWorker         /data/app/~~Hd1ne0JtfXtklWMy69PwAw==/com.ps2x.runner-uOg1LE2w5bsMaJZjY37MtQ==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so    GsWorker::threadMain()
0.34%     GsWorker         /data/app/~~Hd1ne0JtfXtklWMy69PwAw==/com.ps2x.runner-uOg1LE2w5bsMaJZjY37MtQ==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so    ParallelGS::GSInterface::drawing_kick_update_state(ParallelGS::GSInterface::FBFeedbackMode, muglm::tvec4<int> const&, muglm::tvec4<int> const&)
0.34%     GsWorker         /apex/com.android.runtime/lib64/bionic/libc.so                                                                                __aarch64_cas2_acq
0.31%     GsWorker         /data/app/~~Hd1ne0JtfXtklWMy69PwAw==/com.ps2x.runner-uOg1LE2w5bsMaJZjY37MtQ==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so    ParallelGS::PageTracker::register_accessed_readback_page(unsigned int)
0.30%     GsWorker         /data/app/~~Hd1ne0JtfXtklWMy69PwAw==/com.ps2x.runner-uOg1LE2w5bsMaJZjY37MtQ==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so    ParallelGS::GSInterface::a_d_PRIM(unsigned long)
0.30%     GsWorker         /apex/com.android.runtime/lib64/bionic/libc.so                                                                                scudo::HybridMutex::unlock()
0.30%     GsWorker         /data/app/~~Hd1ne0JtfXtklWMy69PwAw==/com.ps2x.runner-uOg1LE2w5bsMaJZjY37MtQ==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so    ParallelGS::PageTracker::register_accessed_fb_pages(unsigned int)
0.29%     com.ps2x.runner  [kernel.kallsyms]                                                                                                             [kernel.kallsyms][+ffffffe760d2cbf8]
0.27%     GsWorker         /apex/com.android.runtime/lib64/bionic/libc.so                                                                                scudo::HybridMutex::tryLock()
0.26%     GsWorker         /data/app/~~Hd1ne0JtfXtklWMy69PwAw==/com.ps2x.runner-uOg1LE2w5bsMaJZjY37MtQ==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so    GS::noteConsumedCommand(GsCommand const&)
0.26%     GsWorker         /data/app/~~Hd1ne0JtfXtklWMy69PwAw==/com.ps2x.runner-uOg1LE2w5bsMaJZjY37MtQ==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so    Vulkan::CommandBuffer::allocate_descriptor_offset(unsigned int, unsigned int&, unsigned int&)
0.25%     GsWorker         [kernel.kallsyms]                                                                                                             [kernel.kallsyms][+ffffffe760ad37c0]
0.22%     GsWorker         /data/app/~~Hd1ne0JtfXtklWMy69PwAw==/com.ps2x.runner-uOg1LE2w5bsMaJZjY37MtQ==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so    ParallelGS::GSInterface::drawing_kick_update_texture(ParallelGS::GSInterface::FBFeedbackMode, muglm::tvec4<int> const&, muglm::tvec4<int> const&)
