Cmdline: /system/bin/simpleperf record --app com.ps2x.runner --add-meta-info app_type=profileable --in-app --tracepoint-events /data/local/tmp/tracepoint_events --out-fd 3 --stop-signal-fd 4 -g --duration 30
Arch: arm64
Event: cpu-cycles (type 0, config 0)
Samples: 130822
Event count: 98380655774

Overhead  Command          Symbol
0.21%     GameThread       VU1RecompImage<17692172933381506641ul>::f0a60(VU1Interpreter&, VU1Interpreter::RunContext&)
0.20%     GameThread       VU1RecompImage<17692172933381506641ul>::f0a80(VU1Interpreter&, VU1Interpreter::RunContext&)
0.20%     GameThread       VU1Interpreter::resetScheduler()
0.20%     GameThread       VU1RecompImage<11917748289753363281ul>::f06f0(VU1Interpreter&, VU1Interpreter::RunContext&)
0.20%     GsWorker         [kernel.kallsyms][+ffffffe761a8e810]
0.19%     GameThread       VU1RecompImage<17692172933381506641ul>::f0a70(VU1Interpreter&, VU1Interpreter::RunContext&)
0.19%     GameThread       VU1RecompImage<17692172933381506641ul>::f0ae8(VU1Interpreter&, VU1Interpreter::RunContext&)
0.19%     GameThread       std::__ndk1::pair<std::__ndk1::__hash_iterator<std::__ndk1::__hash_node<std::__ndk1::__hash_value_type<unsigned int, ps2_park::ParkHotPcEntry>, void*>*>, bool> std::__ndk1::__hash_table<std::__ndk1::__hash_value_type<unsigned int, ps2_park::ParkHotPcEntry>, std::__ndk1::__unordered_map_hasher<unsigned int, std::__ndk1::__hash_value_type<unsigned int, ps2_park::ParkHotPcEntry>, std::__ndk1::hash<unsigned int>, std::__ndk1::equal_to<unsigned int>, true>, std::__ndk1::__unordered_map_equal<unsigned int, std::__ndk1::__hash_value_type<unsigned int, ps2_park::ParkHotPcEntry>, std::__ndk1::equal_to<unsigned int>, std::__ndk1::hash<unsigned int>, true>, std::__ndk1::allocator<std::__ndk1::__hash_value_type<unsigned int, ps2_park::ParkHotPcEntry>>>::__emplace_unique_key_args<unsigned int, std::__ndk1::piecewise_construct_t const&, std::__ndk1::tuple<unsigned int const&>, std::__ndk1::tuple<>>(unsigned int const&, std::__ndk1::piecewise_construct_t const&, std::__ndk1::tuple<unsigned int const&>&&, std::__ndk1::tuple<>&&)
0.19%     GsWorker         ParallelGS::GSInterface::update_color_feedback_state()
0.19%     GameThread       VU1RecompImage<17692172933381506641ul>::f3118(VU1Interpreter&, VU1Interpreter::RunContext&)
