Cmdline: /system/bin/simpleperf record --app com.ps2x.runner --add-meta-info app_type=profileable --in-app --tracepoint-events /data/local/tmp/tracepoint_events --out-fd 3 --stop-signal-fd 4 -g --duration 30
Arch: arm64
Event: cpu-cycles (type 0, config 0)
Samples: 600515
Event count: 451006521975

Overhead  Shared Object
65.60%    /data/app/~~Hd1ne0JtfXtklWMy69PwAw==/com.ps2x.runner-uOg1LE2w5bsMaJZjY37MtQ==/base.apk!/lib/arm64-v8a/libvulkan_freedreno.so
14.35%    /data/app/~~Hd1ne0JtfXtklWMy69PwAw==/com.ps2x.runner-uOg1LE2w5bsMaJZjY37MtQ==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so
14.16%    /apex/com.android.runtime/lib64/bionic/libc.so
4.61%     [kernel.kallsyms]
0.42%     /apex/com.android.runtime/bin/linker64
0.34%     [vdso]
0.28%     /vendor/lib64/egl/libGLESv2_adreno.so
0.08%     /system/lib64/libgui.so
0.02%     /system/lib64/libaaudio_internal.so
0.02%     /system/lib64/libbinder.so
0.01%     /vendor/lib64/vendor.qti.hardware.display.snapalloc-impl.so
0.01%     /system/lib64/libutils.so
0.01%     /vendor/lib64/libgrallocutils.so
0.01%     /vendor/lib64/libgsl.so
0.01%     /system/lib64/libui.so
0.01%     /system/lib64/libc++.so
0.01%     /system/lib64/libandroid_runtime.so
0.00%     /vendor/lib64/egl/eglSubDriverAndroid.so
0.00%     /vendor/lib64/hw/mapper.qti.so
0.00%     /apex/com.android.runtime/lib64/bionic/libdl.so
0.00%     /system/lib64/libEGL.so
0.00%     /vendor/lib64/egl/libEGL_adreno.so
0.00%     /apex/com.android.art/lib64/libart.so
0.00%     /system_ext/lib64/libpenguin_impl.so
0.00%     /vendor/lib64/libadreno_utils.so
0.00%     /vendor/lib64/libc++.so
0.00%     /system_ext/lib64/libpenguin.so
0.00%     /system/lib64/libcutils.so
0.00%     /system/lib64/libGLESv2.so
0.00%     /apex/com.android.art/lib64/libsigchain.so
0.00%     /system/lib64/libsync.so
0.00%     /vendor/lib64/libcutils.so
0.00%     /system/lib64/libandroid.so
0.00%     /apex/com.android.runtime/lib64/bionic/libm.so
0.00%     /system/lib64/libnativewindow.so
0.00%     /apex/com.android.os.statsd/lib64/libstatspull.so
0.00%     /system/framework/arm64/boot-core-libart.oat
0.00%     /system/lib64/liblog.so
