Cmdline: /system/bin/simpleperf record --app com.ps2x.runner --add-meta-info app_type=profileable --in-app --tracepoint-events /data/local/tmp/tracepoint_events --out-fd 3 --stop-signal-fd 4 -g --duration 30
Arch: arm64
Event: cpu-cycles (type 0, config 0)
Samples: 600515
Event count: 451006521975

Children  Self   Symbol
1.84%     0.16%  void scudo::releaseFreeMemoryToOS<scudo::RegionReleaseRecorder<scudo::MemMapLinux>, scudo::SizeClassAllocator64<scudo::PrimaryConfig<scudo::AndroidNormalConfig>>::releaseToOSMaybe(scudo::SizeClassAllocator64<scudo::PrimaryConfig<scudo::AndroidNormalConfig>>::RegionInfo*, unsigned long, scudo::ReleaseToOS)::'lambda'(unsigned long)>(scudo::PageReleaseContext&, scudo::RegionReleaseRecorder<scudo::MemMapLinux>&, scudo::SizeClassAllocator64<scudo::PrimaryConfig<scudo::AndroidNormalConfig>>::releaseToOSMaybe(scudo::SizeClassAllocator64<scudo::PrimaryConfig<scudo::AndroidNormalConfig>>::RegionInfo*, unsigned long, scudo::ReleaseToOS)::'lambda'(unsigned long))
1.70%     0.04%  scudo::MemMapLinux::releaseAndZeroPagesToOSImpl(unsigned long, unsigned long)
1.67%     0.00%  [kernel.kallsyms][+ffffffe761a7d88e]
1.67%     0.00%  libvulkan_freedreno.so[+afcc74]
1.67%     0.06%  madvise
1.57%     0.00%  libvulkan_freedreno.so[+c65d00]
1.56%     0.01%  libvulkan_freedreno.so[+c60354]
1.54%     0.00%  libvulkan_freedreno.so[+c1bddc]
1.43%     0.00%  libvulkan_freedreno.so[+c60814]
1.43%     0.00%  [kernel.kallsyms][+ffffffe760d98d12]
1.40%     0.00%  libvulkan_freedreno.so[+ac64c4]
1.36%     0.00%  [kernel.kallsyms][+ffffffe761a7d95e]
1.36%     0.00%  [kernel.kallsyms][+ffffffe760a482da]
1.35%     0.00%  [kernel.kallsyms][+ffffffe761a90ece]
1.35%     0.00%  libvulkan_freedreno.so[+a96a18]
1.34%     0.00%  libvulkan_freedreno.so[+c606c4]
1.32%     0.00%  PS2Runtime::run()
1.32%     0.00%  main
1.31%     0.00%  libvulkan_freedreno.so[+c18bfc]
1.31%     0.00%  libvulkan_freedreno.so[+c19204]
1.27%     0.00%  libvulkan_freedreno.so[+c17ad0]
1.26%     0.00%  libvulkan_freedreno.so[+c63598]
1.22%     0.00%  libvulkan_freedreno.so[+c63864]
1.21%     0.00%  [kernel.kallsyms][+ffffffe760d98062]
1.19%     0.01%  GsWorker::threadMain()
1.19%     0.00%  void* std::__ndk1::__thread_proxy[abi:ne190000]<std::__ndk1::tuple<std::__ndk1::unique_ptr<std::__ndk1::__thread_struct, std::__ndk1::default_delete<std::__ndk1::__thread_struct>>, void (GsWorker::*)(), GsWorker*>>(void*)
1.18%     0.00%  [kernel.kallsyms][+ffffffe761a910ea]
1.17%     0.00%  libvulkan_freedreno.so[+c603cc]
1.16%     1.07%  __memcpy_aarch64_nt
1.16%     0.00%  libvulkan_freedreno.so[+b48a88]
1.15%     0.00%  libvulkan_freedreno.so[+c94fe4]
1.15%     0.01%  libvulkan_freedreno.so[+b4889c]
1.11%     1.10%  libvulkan_freedreno.so[+b40d34]
1.10%     0.00%  libvulkan_freedreno.so[+cb6014]
1.08%     0.00%  libvulkan_freedreno.so[+c19774]
1.08%     0.00%  libvulkan_freedreno.so[+c18fe4]
1.07%     0.00%  libvulkan_freedreno.so[+c19070]
1.06%     1.05%  libunwind::findUnwindSectionsByPhdr(dl_phdr_info*, unsigned long, void*)
1.05%     0.00%  libvulkan_freedreno.so[+a96960]
1.05%     0.00%  libunwind::UnwindCursor<libunwind::LocalAddressSpace, libunwind::Registers_arm64>::setInfoBasedOnIPRegister(bool)
1.04%     0.00%  GS::executeQueuedCommand(GsCommand&)
1.02%     0.00%  libvulkan_freedreno.so[+c65be0]
