Cmdline: /system/bin/simpleperf record --app com.ps2x.runner --add-meta-info app_type=profileable --in-app --tracepoint-events /data/local/tmp/tracepoint_events --out-fd 3 --stop-signal-fd 4 -g --duration 30
Arch: arm64
Event: cpu-cycles (type 0, config 0)
Samples: 130822
Event count: 98380655774

Overhead  Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Shared Object
5.04%     [kernel.kallsyms][+ffffffe761a8e810]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  [kernel.kallsyms]
3.19%     VU1Interpreter::commitReadyPipelines()                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                /data/app/~~--u0u3bOmESMnh4M08Ly1Q==/com.ps2x.runner-WSCgaD2JPMF3qPfspf2iVA==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so
2.52%     VU1Interpreter::run(unsigned char*, unsigned int, unsigned char*, unsigned int, GS&, PS2Memory*, unsigned int)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        /data/app/~~--u0u3bOmESMnh4M08Ly1Q==/com.ps2x.runner-WSCgaD2JPMF3qPfspf2iVA==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so
2.42%     VU1Interpreter::execUpper(unsigned int)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               /data/app/~~--u0u3bOmESMnh4M08Ly1Q==/com.ps2x.runner-WSCgaD2JPMF3qPfspf2iVA==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so
1.19%     clock_gettime                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         /apex/com.android.runtime/lib64/bionic/libc.so
1.12%     PS2Memory::processVIF1DataImpl(unsigned char const*, unsigned int)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    /data/app/~~--u0u3bOmESMnh4M08Ly1Q==/com.ps2x.runner-WSCgaD2JPMF3qPfspf2iVA==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so
0.95%     __kernel_clock_gettime                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                [vdso]
0.89%     VU1Interpreter::progressXgkick()                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      /data/app/~~--u0u3bOmESMnh4M08Ly1Q==/com.ps2x.runner-WSCgaD2JPMF3qPfspf2iVA==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so
0.86%     void ParallelGS::GSInterface::drawing_kick_append<false, false, false, 3u>()                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          /data/app/~~--u0u3bOmESMnh4M08Ly1Q==/com.ps2x.runner-WSCgaD2JPMF3qPfspf2iVA==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so
0.84%     __memcpy_aarch64_nt                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   /apex/com.android.runtime/lib64/bionic/libc.so
