d0idx	addr	enter	exit	nkids	kids
711357	0038F300	35915921	35915926	2	0038F768,0038F7B0
711358	00363490	35915927	35916058	12	00396128,00365F68,00363C20,00368660,00364360,00363C20,00368660,00363C20,00368660,00364360,00365FA8,0038F300
711359	0038F300	35916059	35916064	2	0038F768,0038F7B0
711360	00363490	35916065	35916066	0	
711361	00376938	35916067	0	3	00423DE0,00423DC0,00423DC0
