window ticks 1985->2565 (580 frames) wall 25.83 s = 44.53 ms/frame, 22.45 vs/s
tid comm cpu_s cpu_ms_per_frame util_pct
10048 MTVU 16.68 28.76 64.6
10038 GameThread 7.66 13.21 29.7
10018 GsWorker 5.22 9.00 20.2
10037 AAudio_1 0.09 0.16 0.3
10016 com.ps2x.runner 0.04 0.07 0.2
10040 PGS-Waiter 0.03 0.05 0.1
10010 binder:9997_1 0.03 0.05 0.1
10031 binder:9997_4 0.02 0.03 0.1
