Cmdline: /system/bin/simpleperf record --app com.ps2x.runner --add-meta-info app_type=profileable --in-app --tracepoint-events /data/local/tmp/tracepoint_events --out-fd 3 --stop-signal-fd 4 -g --duration 30
Arch: arm64
Event: cpu-cycles (type 0, config 0)
Samples: 128639
Event count: 116665403085

Overhead  Command          Pid   Tid   Shared Object                                                                                                               Symbol
0.50%     GameThread       1454  1656  /data/app/~~iJ9u4zXpt7Nae68VO9zlyA==/com.ps2x.runner-2TG_FPWA9orWwqB6n_6OhQ==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so  VU1Interpreter::applyFmacDest(float*, float*, unsigned char)
0.41%     GameThread       1454  1656  /data/app/~~iJ9u4zXpt7Nae68VO9zlyA==/com.ps2x.runner-2TG_FPWA9orWwqB6n_6OhQ==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so  VU1Interpreter::progressXgkick()
0.34%     GameThread       1454  1656  /data/app/~~iJ9u4zXpt7Nae68VO9zlyA==/com.ps2x.runner-2TG_FPWA9orWwqB6n_6OhQ==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so  VU1Interpreter::applyFmacDestAcc(float*, unsigned char)
0.34%     GameThread       1454  1656  /data/app/~~iJ9u4zXpt7Nae68VO9zlyA==/com.ps2x.runner-2TG_FPWA9orWwqB6n_6OhQ==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so  libps2EntryRunner.so[+7968edc]
0.33%     GameThread       1454  1656  /data/app/~~iJ9u4zXpt7Nae68VO9zlyA==/com.ps2x.runner-2TG_FPWA9orWwqB6n_6OhQ==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so  libps2EntryRunner.so[+7968f3c]
0.32%     GameThread       1454  1656  /data/app/~~iJ9u4zXpt7Nae68VO9zlyA==/com.ps2x.runner-2TG_FPWA9orWwqB6n_6OhQ==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so  libps2EntryRunner.so[+7968ee0]
0.28%     GameThread       1454  1656  /data/app/~~iJ9u4zXpt7Nae68VO9zlyA==/com.ps2x.runner-2TG_FPWA9orWwqB6n_6OhQ==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so  libps2EntryRunner.so[+7968d08]
0.27%     com.ps2x.runner  1454  1608  /data/app/~~iJ9u4zXpt7Nae68VO9zlyA==/com.ps2x.runner-2TG_FPWA9orWwqB6n_6OhQ==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so  stbi_zlib_compress
0.26%     GameThread       1454  1656  /data/app/~~iJ9u4zXpt7Nae68VO9zlyA==/com.ps2x.runner-2TG_FPWA9orWwqB6n_6OhQ==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so  libps2EntryRunner.so[+7968d3c]
0.25%     GameThread       1454  1656  /data/app/~~iJ9u4zXpt7Nae68VO9zlyA==/com.ps2x.runner-2TG_FPWA9orWwqB6n_6OhQ==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so  VU1Interpreter::queueAccWrite(unsigned char, float const*, unsigned int)
