t=8.8 tick=249 busy=626433 total=1005192 pct=62.3
t=13.8 tick=601 busy=729036 total=1016639 pct=71.7
t=20.1 tick=850 busy=472888 total=1004266 pct=47.1
t=25.2 tick=1047 busy=738025 total=1011323 pct=73.0
t=31.9 tick=1585 busy=197779 total=1002565 pct=19.7
t=37.0 tick=1637 busy=413100 total=1003930 pct=41.1
t=43.7 tick=1678 busy=416759 total=1001785 pct=41.6
t=48.9 tick=1718 busy=395113 total=1002140 pct=39.4
t=55.2 tick=1756 busy=443147 total=1004158 pct=44.1
t=60.2 tick=1794 busy=452624 total=1022816 pct=44.3
t=66.8 tick=1877 busy=506959 total=1007857 pct=50.3
t=72.1 tick=1922 busy=509629 total=1012697 pct=50.3
t=78.4 tick=1967 busy=534206 total=1011936 pct=52.8
t=83.9 tick=2011 busy=500434 total=1004725 pct=49.8
t=90.2 tick=2057 busy=575739 total=1010139 pct=57.0
t=95.8 tick=2152 busy=517983 total=1006959 pct=51.4
t=102.1 tick=2197 busy=518767 total=1002879 pct=51.7
t=108.0 tick=2242 busy=532298 total=1004839 pct=53.0
t=114.2 tick=2289 busy=523207 total=1009575 pct=51.8
t=120.0 tick=2337 busy=552440 total=1009546 pct=54.7
t=126.3 tick=2430 busy=521195 total=1000211 pct=52.1
t=131.6 tick=2479 busy=534014 total=1011175 pct=52.8
t=138.1 tick=2529 busy=499830 total=1005318 pct=49.7
t=143.9 tick=2580 busy=519463 total=1004930 pct=51.7
t=150.2 tick=2631 busy=531884 total=1009882 pct=52.7
t=155.9 tick=2732 busy=510120 total=1003750 pct=50.8
t=162.2 tick=2783 busy=525051 total=1016138 pct=51.7
t=167.8 tick=2834 busy=524437 total=1013048 pct=51.8
t=174.1 tick=2885 busy=518506 total=1003639 pct=51.7
t=179.3 tick=2935 busy=530086 total=1009987 pct=52.5
t=186.1 tick=3039 busy=506795 total=1009654 pct=50.2
t=191.6 tick=3091 busy=512179 total=1002401 pct=51.1
t=198.2 tick=3142 busy=529387 total=1007808 pct=52.5
t=204.0 tick=3194 busy=489864 total=1004807 pct=48.8
t=210.2 tick=3245 busy=530477 total=1010857 pct=52.5
t=215.9 tick=3346 busy=532421 total=1008316 pct=52.8
t=222.3 tick=3397 busy=531225 total=1004149 pct=52.9
t=227.5 tick=3448 busy=535788 total=1004784 pct=53.3
t=234.1 tick=3498 busy=530517 total=1003760 pct=52.9
t=239.5 tick=3548 busy=524854 total=1004340 pct=52.3
t=246.1 tick=3650 busy=517822 total=1006194 pct=51.5
t=251.4 tick=3700 busy=528772 total=1005907 pct=52.6
t=258.5 tick=3752 busy=500782 total=1011864 pct=49.5
t=264.0 tick=3803 busy=535173 total=1014403 pct=52.8
t=270.3 tick=3856 busy=527089 total=1008272 pct=52.3
t=275.7 tick=3908 busy=499569 total=1001276 pct=49.9
t=282.0 tick=4011 busy=493617 total=1004176 pct=49.2
t=287.7 tick=4062 busy=525645 total=1000804 pct=52.5
t=295.2 tick=4114 busy=528292 total=1000428 pct=52.8
t=301.7 tick=4215 busy=499579 total=1005017 pct=49.7
t=307.0 tick=4271 busy=537969 total=1004684 pct=53.5
t=313.4 tick=4328 busy=501368 total=1000324 pct=50.1
t=319.1 tick=4384 busy=529939 total=1009863 pct=52.5
t=325.4 tick=4442 busy=585784 total=1008545 pct=58.1
