window ticks 1833->2381 (548 frames) wall 59.72 s = 108.98 ms/frame, 9.18 vs/s
tid comm cpu_s cpu_ms_per_frame util_pct
17934 GameThread 31.29 57.10 52.4
17915 GsWorker 8.48 15.47 14.2
17913 com.ps2x.runner 4.65 8.49 7.8
17933 AAudio_1 0.23 0.42 0.4
17919 binder:17888_4 0.12 0.22 0.2
17936 PGS-Waiter 0.05 0.09 0.1
17901 binder:17888_2 0.05 0.09 0.1
17941 binder:17888_4 0.03 0.05 0.1
17900 binder:17888_1 0.02 0.04 0.0
