samples=42 last=t+210.5s tick=4556
| Phase | Ticks | Wall (s) | Guest vsyncs/s | Ratio (÷59.94) | SF presents/s (polls) |
|---|---|---|---|---|---|
| title/startup | 0→636 | 11.0 | 57.62 | 0.961× | 59.7–59.7 (n=1) |
| main menu | 636→766 | 2.2 | 58.54 | 0.977× | — |
| Select Character | 766→884 | 2.0 | 58.54 | 0.977× | — |
| Setup Character / Peak | 884→1099 | 3.5 | 61.26 | 1.022× | — |
| Select Mode / Event / My Rules | 1099→1440 | 6.4 | 53.57 | 0.894× | 60.1–60.1 (n=1) |
| loading + Rival card | 1440→1714 | 12.5 | 21.92 | 0.366× | 59.9–59.9 (n=1) |
| race | 1714→4556 | 172.8 | 16.44 | 0.274× | 59.9–60.4 (n=15) |
race per-5s: 11.0 11.8 11.8 12.0 15.0 16.0 15.2 15.6 16.0 16.0 16.6 17.0 17.0 17.2 16.8 16.8 17.2 17.6 17.6 16.6 16.8 17.4 17.0 17.4 16.6 16.8 17.4 17.0 17.6 17.0 18.4 19.8 20.0 22.0
