PID    Executable Path                                                                                                                                                                                   
2932   /System/Library/PrivateFrameworks/CoreRepairCore.framework/XPCServices/CoreRepairCoreXPCService.xpc/CoreRepairCoreXPCService                                                                      
2933   /System/Library/PrivateFrameworks/UserNotificationsCore.framework/Support/usernotificationsd                                                                                                      
2934   /usr/libexec/PowerUIAgent                                                                                                                                                                         
2935   /usr/libexec/powerexperienced                                                                                                                                                                     
2937   /usr/libexec/spotlightknowledged.updater                                                                                                                                                          
2938   /usr/libexec/batteryintelligenced                                                                                                                                                                 
2939   /System/Library/PrivateFrameworks/ApplePushService.framework/apsd                                                                                                                                 
2940   /System/Library/Frameworks/CoreTelephony.framework/Support/CommCenterMobileHelper                                                                                                                 
2941   /System/Library/PrivateFrameworks/TelephonyUtilities.framework/callservicesd                                                                                                                      
2942   /System/Library/Frameworks/CoreTelephony.framework/Support/CommCenterRootHelper                                                                                                                   
2943   /usr/libexec/mobileactivationd                                                                                                                                                                    
2945   /System/Library/PrivateFrameworks/CloudKitDaemon.framework/Support/cloudd                                                                                                                         
2946   /System/Library/PrivateFrameworks/SessionCore.framework/Support/liveactivitiesd                                                                                                                   
2947   /usr/libexec/misd                                                                                                                                                                                 
2949   /usr/libexec/pfd                                                                                                                                                                                  
2951   /System/Library/Frameworks/Contacts.framework/Support/contactsd                                                                                                                                   
2952   /usr/sbin/appleh13camerad                                                                                                                                                                         
2953   /usr/libexec/dmd                                                                                                                                                                                  
2954   /System/Library/PrivateFrameworks/CalendarDaemon.framework/Support/calaccessd                                                                                                                     
2955   /usr/sbin/mDNSResponder                                                                                                                                                                           
2956   /System/Library/PrivateFrameworks/PowerLog.framework/XPCServices/PerfPowerTelemetryClientRegistrationService.xpc/PerfPowerTelemetryClientRegistrationService                                      
2957   /usr/libexec/clocksyncd                                                                                                                                                                           
2958   /usr/libexec/manageddeviced                                                                                                                                                                       
2959   /usr/libexec/profiled                                                                                                                                                                             
2960   /usr/libexec/mobilerepaird                                                                                                                                                                        
2961   /System/Library/PrivateFrameworks/SyncedDefaults.framework/Support/syncdefaultsd                                                                                                                  
2962   /usr/libexec/pkd                                                                                                                                                                                  
2963   /System/Library/Frameworks/Metal.framework/XPCServices/MTLCompilerService.xpc/MTLCompilerService                                                                                                  
2964   /System/Library/PrivateFrameworks/GeoServices.framework/geod                                                                                                                                      
2965   /System/Library/PrivateFrameworks/NearFieldPrivateServices.framework/XPCServices/NFStorageServer.xpc/NFStorageServer                                                                              
2966   /usr/libexec/symptomsd                                                                                                                                                                            
2967   /usr/libexec/fmflocatord                                                                                                                                                                          
2968   /usr/libexec/findmydeviced                                                                                                                                                                        
2969   /usr/libexec/bluetoothuserd                                                                                                                                                                       
2970   /System/Library/PrivateFrameworks/CoreEmbeddedSpeechRecognition.framework/speechmaintenanced                                                                                                      
2972   /usr/libexec/milod                                                                                                                                                                                
2973   /System/Library/PrivateFrameworks/CoreCDP.framework/cdpd                                                                                                                                          
2974   /usr/libexec/biometrickitd                                                                                                                                                                        
2975   /usr/libexec/applekeystored                                                                                                                                                                       
2976   /usr/libexec/appleidsetupd                                                                                                                                                                        
2977   /System/Library/PrivateFrameworks/AuthKit.framework/akd                                                                                                                                           
2978   /System/Library/PrivateFrameworks/CoreAccessories.framework/Support/accessoryd                                                                                                                    
2979   /usr/libexec/audioanalyticsd                                                                                                                                                                      
2980   /usr/libexec/networkserviceproxy                                                                                                                                                                  
2981   /usr/libexec/ospredictiond                                                                                                                                                                        
2982   /System/Library/Frameworks/SystemConfiguration.framework/SCHelper                                                                                                                                 
2983   /System/Library/PrivateFrameworks/VoiceShortcuts.framework/Support/siriactionsd                                                                                                                   
2984   /usr/libexec/cryptexd                                                                                                                                                                             
2985   /System/Library/CoreServices/AccessibilityUIServer.app/AccessibilityUIServer                                                                                                                      
2986   /System/Library/Frameworks/CryptoTokenKit.framework/ctkd                                                                                                                                          
2987   /Applications/InputUI.app/InputUI                                                                                                                                                                 
2988   /usr/libexec/coreduetd                                                                                                                                                                            
2989   /System/Library/PrivateFrameworks/SystemStatusServer.framework/Support/systemstatusd                                                                                                              
2990   /System/Library/PrivateFrameworks/CoreSpeech.framework/corespeechd                                                                                                                                
2991   /System/Library/PrivateFrameworks/IntlPreferences.framework/Support/localizationswitcherd                                                                                                         
2992   /System/Library/Frameworks/AudioToolbox.framework/XPCServices/AudioConverterService.xpc/AudioConverterService                                                                                     
2993   /System/Library/PrivateFrameworks/SetupAssistant.framework/budd                                                                                                                                   
