tick	logline	pc	dma	gif	d_dma	d_gif	ratio
120	38361	0x3825c0	21929	634	NA	NA	NA
240	71239	0x317244	47903	1336	25974	702	0.02703
360	93521	0x3827e0	71912	1985	24009	649	0.02703
480	116592	0x317244	96780	2657	24868	672	0.02702
600	139260	0x317244	121126	3315	24346	658	0.02703
720	161981	0x1d8efc	145584	3977	24458	662	0.02707
840	185199	0x3827e0	170628	4653	25044	676	0.02699
960	209109	0x3172e0	196385	5350	25757	697	0.02706
1080	232707	0x3827e0	221762	6035	25377	685	0.02699
1200	256253	0x317244	247148	6721	25386	686	0.02702
1320	279631	0x317244	272345	7402	25197	681	0.02703
1440	303220	0x3172e0	297691	8088	25346	686	0.02707
1560	326301	0x317244	322591	8760	24900	672	0.02699
1680	350341	0x377b1c	348522	9461	25931	701	0.02703
1800	374230	0x317244	374280	10157	25758	696	0.02702
1920	397336	0x317244	399107	10828	24827	671	0.02703
2040	419991	0x317244	423527	11488	24420	660	0.02703
2160	443363	0x317244	448724	12169	25197	681	0.02703
2280	465326	0x1d8efc	472368	12809	23644	640	0.02707
2400	488436	0x317244	497305	13482	24937	673	0.02699
2520	512111	0x3a0714	522726	14170	25421	688	0.02706
2640	536149	0x317244	548661	14870	25935	700	0.02699
2760	559159	0x1d8efc	573452	15541	24791	671	0.02707
2880	582011	0x317244	598093	16206	24641	665	0.02699
3000	605792	0x3a0714	623631	16897	25538	691	0.02706
3120	628551	0x377b1c	648185	17560	24554	663	0.02700
3240	651024	0x317244	672389	18214	24204	654	0.02702
3360	673725	0x317244	696846	18875	24457	661	0.02703
3480	697068	0x317244	721932	19553	25086	678	0.02703
3600	720659	0x317244	747351	20240	25419	687	0.02703
3720	743422	0x317244	771882	20903	24531	663	0.02703
3840	766805	0x317244	797079	21584	25197	681	0.02703
3960	789741	0x317244	821721	22250	24642	666	0.02703
4080	812914	0x317244	846696	22925	24975	675	0.02703
4200	837145	0x3825c0	872818	23631	26122	706	0.02703
4320	860176	0x317244	897645	24302	24827	671	0.02703
4440	883966	0x3172e0	923213	24994	25568	692	0.02707
4560	906746	0x317244	947780	25657	24567	663	0.02699
4680	930015	0x317244	972866	26335	25086	678	0.02703
4800	952338	0x317244	996916	26985	24050	650	0.02703
4920	975445	0x317244	1021743	27656	24827	671	0.02703
5040	998641	0x317244	1046755	28332	25012	676	0.02703
5160	1022147	0x317244	1072100	29017	25345	685	0.02703
5280	1045974	0x1d8efc	1097779	29712	25679	695	0.02706
5400	1069475	0x317244	1123049	30394	25270	682	0.02699
5520	1092624	0x3172e0	1147988	31069	24939	675	0.02707
5640	1116661	0x317244	1173924	31769	25936	700	0.02699
5760	1139589	0x317244	1198640	32437	24716	668	0.02703
5880	1162595	0x377b6c	1223356	33105	24716	668	0.02703
6000	1186381	0x382ae8	1248993	33798	25637	693	0.02703
6120	1209101	0x3a0714	1273463	34460	24470	662	0.02705
6240	1232651	0x3827e0	1298869	35146	25406	686	0.02700
6360	1255827	0x3827e0	1323770	35819	24901	673	0.02703
6480	1279189	0x317244	1348934	36499	25164	680	0.02702
6600	1302013	0x317244	1373539	37164	24605	665	0.02703
6720	1324491	0x1d8efc	1397738	37819	24199	655	0.02707
6840	1348492	0x317244	1423563	38516	25825	697	0.02699
6960	1372583	0x317244	1449537	39218	25974	702	0.02703
7080	1395937	0x317244	1474697	39898	25160	680	0.02703
7200	1419219	0x3172e0	1499784	40577	25087	679	0.02707
7320	1443126	0x317244	1525498	41271	25714	694	0.02699
7440	1467183	0x3825c0	1551435	41972	25937	701	0.02703
7560	1490087	0x317244	1576114	42639	24679	667	0.02703
7680	1513877	0x317244	1601681	43330	25567	691	0.02703
7800	1537316	0x3827e0	1626952	44013	25271	683	0.02703
7920	1560835	0x317244	1652297	44698	25345	685	0.02703
8040	1584144	0x317244	1677420	45377	25123	679	0.02703
8160	1607255	0x1d8efc	1702248	46049	24828	672	0.02707
8280	1630568	0x317244	1727407	46728	25159	679	0.02699
8400	1653786	0x3172e0	1752420	47405	25013	677	0.02707
8520	1676837	0x317244	1777283	48076	24863	671	0.02699
8640	1700479	0x377b1c	1802696	48763	25413	687	0.02703
8760	1723799	0x317244	1827825	49442	25129	679	0.02702
8880	1747277	0x317244	1853133	50126	25308	684	0.02703
9000	1770960	0x317244	1878663	50816	25530	690	0.02703
9120	1794257	0x3a0714	1903681	51493	25018	677	0.02706
9240	1818032	0x1d8efc	1929317	52186	25636	693	0.02703
9360	1841059	0x317244	1954143	52856	24826	670	0.02699
9480	1864095	0x317244	1978970	53527	24827	671	0.02703
9600	1887223	0x3827e0	2003830	54199	24860	672	0.02703
9720	1910972	0x317244	2029438	54891	25608	692	0.02702
9840	1934556	0x317244	2054857	55578	25419	687	0.02703
9960	1957373	0x36356c	2079455	56243	24598	665	0.02703
10080	1980535	0x1d8efc	2104327	56916	24872	673	0.02706
10200	2004586	0x317244	2130263	57616	25936	700	0.02699
10320	2027936	0x317244	2155423	58296	25160	680	0.02703
10440	2052026	0x317244	2181323	58996	25900	700	0.02703
10560	2075193	0x317244	2206298	59671	24975	675	0.02703
10680	2098646	0x317244	2231569	60354	25271	683	0.02703
10800	2122360	0x317244	2257136	61045	25567	691	0.02703
10920	2145967	0x317244	2282518	61731	25382	686	0.02703
11040	2169514	0x3827e0	2307900	62417	25382	686	0.02703
11160	2193040	0x1d8efc	2333246	63103	25346	686	0.02707
11280	2216892	0x39ee8c	2358887	63796	25641	693	0.02703
11400	2240302	0x317244	2384157	64478	25270	682	0.02699
11520	2264670	0x317244	2410427	65188	26270	710	0.02703
11640	2287403	0x317244	2434921	65850	24494	662	0.02703
11760	2311337	0x317244	2460636	66545	25715	695	0.02703
11880	2334234	0x3827e0	2485311	67212	24675	667	0.02703
12000	2357406	0x317244	2510290	67887	24979	675	0.02702
12120	2380404	0x317244	2535080	68557	24790	670	0.02703
12240	2403637	0x317244	2560055	69232	24975	675	0.02703
12360	2427385	0x317244	2585659	69924	25604	692	0.02703
12480	2450330	0x317244	2610745	70602	25086	678	0.02703
12600	2472682	0x317244	2635831	71280	25086	678	0.02703
12720	2490197	0x317244	2660695	71952	24864	672	0.02703
12840	2496465	0x31ac30	2669132	72181	8437	229	0.02714
12960	2498733	0x31ac30	2669132	72181	0	0	FROZEN
13080	2500857	0x31ac30	2669132	72181	0	0	FROZEN
13200	2503049	0x31ac30	2669132	72181	0	0	FROZEN
13320	2505215	0x31ac30	2669132	72181	0	0	FROZEN
13440	2507469	0x31ac30	2669132	72181	0	0	FROZEN
13560	2509738	0x31ac30	2669132	72181	0	0	FROZEN
13680	2512040	0x31ac30	2669132	72181	0	0	FROZEN
13800	2514283	0x31ac30	2669132	72181	0	0	FROZEN
13920	2516476	0x31ac30	2669132	72181	0	0	FROZEN
14040	2518740	0x31a490	2669132	72181	0	0	FROZEN
14160	2520909	0x31ac30	2669132	72181	0	0	FROZEN
14280	2523272	0x31ac30	2669132	72181	0	0	FROZEN
14400	2525485	0x31ac30	2669132	72181	0	0	FROZEN
14520	2527817	0x31ac30	2669132	72181	0	0	FROZEN
14640	2529931	0x31ac30	2669132	72181	0	0	FROZEN
14760	2532280	0x31ac30	2669132	72181	0	0	FROZEN
14880	2534509	0x31ac30	2669132	72181	0	0	FROZEN
15000	2536790	0x31ac30	2669132	72181	0	0	FROZEN
15120	2538969	0x31ac30	2669132	72181	0	0	FROZEN
15240	2541182	0x31ac30	2669132	72181	0	0	FROZEN
15360	2543294	0x31ac30	2669132	72181	0	0	FROZEN
15480	2545605	0x31ac30	2669132	72181	0	0	FROZEN
15600	2547830	0x31ac30	2669132	72181	0	0	FROZEN
15720	2549987	0x31ac30	2669132	72181	0	0	FROZEN
15840	2552212	0x31ac30	2669132	72181	0	0	FROZEN
15960	2554340	0x31ac30	2669132	72181	0	0	FROZEN
16080	2556657	0x31ac30	2669132	72181	0	0	FROZEN
16200	2558870	0x31ac30	2669132	72181	0	0	FROZEN
16320	2561066	0x3825c0	2669132	72181	0	0	FROZEN
16440	2563226	0x0	2669132	72181	0	0	FROZEN
16560	2565420	0x31ac30	2669132	72181	0	0	FROZEN
16680	2567662	0x31ac30	2669132	72181	0	0	FROZEN
16800	2569910	0x31ac30	2669132	72181	0	0	FROZEN
16920	2572114	0x31ac30	2669132	72181	0	0	FROZEN
17040	2574341	0x31ac30	2669132	72181	0	0	FROZEN
17160	2576498	0x3825c0	2669132	72181	0	0	FROZEN
17280	2578617	0x31ac30	2669132	72181	0	0	FROZEN
17400	2580944	0x0	2669132	72181	0	0	FROZEN
17520	2583204	0x31ac30	2669132	72181	0	0	FROZEN
17640	2585394	0x31ac30	2669132	72181	0	0	FROZEN
17760	2587638	0x31ac30	2669132	72181	0	0	FROZEN
17880	2590007	0x31ac30	2669132	72181	0	0	FROZEN
18000	2592238	0x31ac30	2669132	72181	0	0	FROZEN
18120	2594590	0x31ac30	2669132	72181	0	0	FROZEN
18240	2596858	0x31ac30	2669132	72181	0	0	FROZEN
18360	2599026	0x31ac30	2669132	72181	0	0	FROZEN
18480	2601263	0x31ac30	2669132	72181	0	0	FROZEN
18600	2603414	0x3825c0	2669132	72181	0	0	FROZEN
18720	2605616	0x31ac30	2669132	72181	0	0	FROZEN
18840	2607839	0x31ac30	2669132	72181	0	0	FROZEN
18960	2610071	0x31ac30	2669132	72181	0	0	FROZEN
19080	2612227	0x31ac30	2669132	72181	0	0	FROZEN
19200	2614428	0x31ac30	2669132	72181	0	0	FROZEN
19320	2616628	0x31ac30	2669132	72181	0	0	FROZEN
19440	2618812	0x31ac30	2669132	72181	0	0	FROZEN
19560	2620988	0x31ac30	2669132	72181	0	0	FROZEN
19680	2623213	0x31ac30	2669132	72181	0	0	FROZEN
19800	2625512	0x31ac30	2669132	72181	0	0	FROZEN
19920	2627712	0x31ac30	2669132	72181	0	0	FROZEN
20040	2630043	0x31ac30	2669132	72181	0	0	FROZEN
20160	2632234	0x31ac30	2669132	72181	0	0	FROZEN
20280	2634578	0x31ac30	2669132	72181	0	0	FROZEN
20400	2636824	0x31ac30	2669132	72181	0	0	FROZEN
20520	2639042	0x31ac30	2669132	72181	0	0	FROZEN
20640	2641231	0x31ac30	2669132	72181	0	0	FROZEN
20760	2643343	0x31ac30	2669132	72181	0	0	FROZEN
20880	2645614	0x31ac30	2669132	72181	0	0	FROZEN
21000	2647768	0x31ac30	2669132	72181	0	0	FROZEN
21120	2650006	0x3825c0	2669132	72181	0	0	FROZEN
21240	2652169	0x31ac30	2669132	72181	0	0	FROZEN
21360	2654456	0x31ac30	2669132	72181	0	0	FROZEN
21480	2656666	0x31ac30	2669132	72181	0	0	FROZEN
21600	2658923	0x31ac30	2669132	72181	0	0	FROZEN
21720	2661098	0x31ac30	2669132	72181	0	0	FROZEN
21840	2663286	0x31ac30	2669132	72181	0	0	FROZEN
21960	2665560	0x31ac30	2669132	72181	0	0	FROZEN
