block	distinct	logline	w29	w31	s29	s31	dormant
0	961	5702	530	530	531	531	1047
1	497	34253	301	300	300	300	626
2	222	50609	302	302	302	302	637
3	222	65240	303	303	303	303	640
4	222	75646	300	300	300	300	644
5	222	85954	300	301	301	301	636
6	222	96278	300	300	300	300	637
7	222	106571	300	300	300	300	632
8	222	116884	299	298	298	298	634
9	222	127141	303	303	303	303	649
10	222	137555	303	303	303	303	651
11	222	147974	303	303	303	303	647
12	222	158388	300	300	300	300	634
13	222	168692	302	302	302	302	641
14	222	179068	303	303	303	303	644
15	222	189478	302	302	302	302	643
16	222	199848	298	298	298	298	631
17	222	210091	300	300	300	300	638
18	222	220398	301	301	301	301	639
19	222	230738	302	303	303	303	639
20	222	241094	300	300	300	300	637
21	222	251399	300	300	300	300	632
22	222	261688	299	298	298	298	630
23	222	271985	302	302	302	302	646
24	222	282367	303	303	303	303	642
25	222	292774	300	301	301	301	636
26	222	303092	302	302	302	302	634
27	222	313464	299	298	298	298	632
28	222	323710	299	300	300	300	634
29	222	333987	302	302	302	302	638
30	222	344369	301	300	300	300	626
31	222	354683	300	301	301	301	638
32	222	365015	300	299	299	299	635
33	222	375292	302	302	302	302	643
34	222	385675	300	300	300	300	629
35	222	395973	301	302	302	302	644
36	222	406327	302	301	301	301	633
37	222	416686	301	301	301	301	639
38	222	427027	303	303	303	303	635
39	222	437429	298	298	298	298	633
40	222	447668	303	303	303	303	643
41	222	458078	300	301	301	301	636
42	222	468404	300	299	299	299	629
43	222	478681	302	302	302	302	640
44	222	489055	300	300	300	300	642
45	222	499366	301	302	302	302	636
46	222	509706	302	302	302	302	647
47	222	520084	301	300	300	300	640
48	222	530423	303	303	303	303	637
49	222	540828	301	301	301	301	636
50	222	551165	303	304	304	304	646
51	222	561602	298	297	297	297	629
52	222	571811	303	303	303	303	644
53	222	582223	299	299	299	299	631
54	222	592493	303	303	303	303	646
55	222	602901	298	299	299	299	641
56	222	613178	302	301	301	301	634
57	222	623520	303	303	303	303	641
58	222	633929	300	300	300	300	640
59	222	644238	302	302	302	302	641
60	222	654615	302	302	302	302	640
61	222	664988	302	302	302	302	646
62	222	675370	302	303	303	303	640
63	222	685766	299	299	299	299	635
64	222	696016	302	301	301	301	649
65	222	706397	303	303	303	303	643
66	222	716807	302	302	302	302	641
67	222	727175	300	301	301	301	641
68	222	737508	299	299	299	299	630
69	222	747776	303	303	303	303	651
70	222	758196	300	300	300	300	637
71	222	768502	300	300	300	300	638
72	222	778815	300	299	299	299	634
73	222	789089	299	299	299	299	637
74	222	799364	302	302	302	302	640
75	222	809739	302	302	302	302	643
76	222	820116	302	303	303	303	638
77	222	830517	298	298	298	298	637
78	222	840740	302	301	301	301	630
79	222	851094	299	300	300	300	637
80	222	861347	301	300	300	300	641
81	222	871681	301	301	301	301	633
82	222	882014	298	298	298	298	632
83	222	892280	301	301	301	301	631
84	222	902612	300	300	300	300	636
85	222	912920	300	300	300	300	632
86	222	923221	303	303	303	303	642
87	222	933629	303	303	303	303	650
88	222	944046	300	301	301	301	635
89	222	954375	303	302	302	302	646
90	222	964763	301	301	301	301	635
91	222	975099	301	301	301	301	637
92	222	985440	301	302	302	302	631
93	222	995797	300	299	300	300	635
94	222	1006082	299	300	299	299	632
95	222	1016365	302	301	301	301	641
96	222	1026718	301	301	301	301	637
97	222	1037055	304	304	304	304	643
98	222	1047496	303	303	303	303	643
99	222	1057904	301	301	301	301	635
100	222	1068242	301	302	302	302	643
101	222	1078614	302	301	301	301	636
102	222	1088956	300	300	300	300	632
103	222	1099258	302	302	302	302	636
104	222	1109626	300	300	300	300	638
105	222	1119936	303	303	303	303	643
106	222	1130344	304	304	304	304	640
107	222	1140784	300	300	300	300	640
108	222	1151095	301	301	301	301	634
109	222	1161432	303	303	303	303	644
110	222	1171842	301	302	302	302	643
111	222	1182207	300	299	299	299	635
112	222	1192490	302	303	303	303	643
113	222	1202887	300	299	299	299	634
114	222	1213172	301	302	302	302	638
115	222	1223532	302	301	301	301	638
116	222	1233885	299	300	300	300	632
117	222	1244178	300	299	299	299	640
118	222	1254465	300	300	300	300	641
119	222	1264775	302	302	302	302	650
120	222	1275160	301	302	302	302	636
121	222	1285506	299	298	298	298	631
122	222	1295765	303	304	304	304	647
123	222	1306199	297	296	296	296	631
124	222	1316382	303	303	303	303	639
125	222	1326789	300	300	300	300	639
126	222	1337097	299	299	299	299	630
127	222	1347366	303	304	304	304	642
128	222	1357785	297	296	296	296	624
129	222	1367980	303	303	303	303	644
130	222	1378390	300	300	300	300	646
131	222	1388705	302	303	303	303	642
132	222	1399052	299	298	298	298	630
133	222	1409347	300	301	301	301	641
134	222	1419651	303	302	302	302	638
135	222	1430062	301	302	302	302	643
136	222	1440406	301	300	300	300	635
137	222	1450742	303	303	303	303	640
138	222	1461147	303	303	303	303	645
139	222	1471558	301	301	301	301	642
140	222	1481903	302	302	302	302	642
141	222	1492281	302	302	302	302	641
142	222	1502655	303	303	303	304	644
143	222	1513061	299	299	299	299	635
144	222	1523333	301	301	301	300	625
145	222	1533661	303	303	303	303	647
146	222	1544074	301	301	301	301	645
147	222	1554422	302	302	302	302	645
148	222	1564803	298	298	298	298	632
149	222	1575040	302	302	302	302	634
150	222	1585410	300	300	300	300	632
151	222	1595713	303	303	303	303	638
152	222	1606116	301	301	301	301	638
153	222	1616456	303	304	304	304	641
154	222	1626864	299	298	298	298	628
155	222	1637127	301	301	301	301	636
156	222	1647464	303	304	304	304	646
157	222	1657877	299	298	298	298	632
158	222	1668144	302	302	302	302	634
159	222	1678514	301	301	301	301	637
160	222	1688854	301	301	301	301	636
161	222	1699191	303	304	304	304	647
162	222	1709587	300	300	300	300	643
163	222	1719888	300	299	299	299	631
164	222	1730217	300	300	300	300	639
165	222	1740525	303	303	303	304	644
166	222	1750934	298	299	299	298	637
167	222	1761191	302	301	301	301	635
168	222	1771548	299	299	299	299	632
169	222	1781817	303	304	304	304	647
170	222	1792258	298	297	297	297	623
171	222	1802458	301	301	301	301	643
172	222	1812802	302	302	302	302	641
173	222	1823179	302	302	302	302	644
174	222	1833558	302	302	302	302	636
175	222	1843930	302	302	302	302	641
176	222	1854303	301	301	301	301	640
177	222	1864647	300	301	301	301	636
178	222	1874965	300	300	300	300	638
179	222	1885274	301	301	301	301	634
180	222	1895610	302	301	301	301	635
181	222	1905962	299	300	300	300	637
182	222	1916262	298	298	298	298	633
183	222	1926458	302	301	301	301	638
184	222	1936846	303	303	303	303	645
185	222	1947256	303	303	303	303	641
186	222	1957665	301	302	302	302	633
187	222	1967982	301	300	300	300	641
188	222	1978342	297	298	298	298	634
189	222	1988558	303	302	302	303	641
190	222	1998955	299	299	299	298	642
191	222	2009237	302	302	302	302	649
192	222	2019619	302	303	303	303	638
193	222	2029964	299	299	299	299	636
194	222	2040288	299	298	298	298	627
195	222	2050527	300	300	300	300	635
196	222	2060832	300	301	301	301	640
197	222	2071114	303	302	302	302	640
198	222	2081546	301	302	302	302	646
199	222	2091917	302	301	301	301	642
200	222	2102269	302	302	302	302	636
201	222	2112638	300	301	301	301	639
202	222	2122948	300	299	299	299	626
203	222	2133241	300	301	301	301	641
204	222	2143576	304	303	303	303	637
205	222	2153986	303	303	303	303	644
206	222	2164397	300	301	301	301	640
207	222	2174678	300	300	300	300	635
208	222	2184981	303	303	303	303	647
209	222	2195405	300	299	299	299	633
210	222	2205723	302	303	303	303	634
211	222	2216113	300	299	299	299	629
212	222	2226388	302	303	303	303	638
213	222	2236776	299	299	299	299	641
214	222	2247050	302	301	301	301	636
215	222	2257405	303	303	303	303	643
216	222	2267814	302	302	302	302	644
217	222	2278191	304	304	304	304	648
218	222	2288637	302	302	302	302	640
219	222	2299010	302	303	303	303	656
220	222	2309419	300	299	299	299	637
221	222	2319707	302	302	302	302	644
222	222	2330086	300	301	301	301	637
223	222	2340418	300	300	300	300	633
224	222	2350666	300	299	299	299	626
225	222	2360990	302	303	303	303	646
226	222	2371386	299	299	299	299	634
227	222	2381647	300	300	300	300	631
228	222	2391952	301	301	301	301	638
229	222	2402281	301	300	300	300	634
230	222	2412614	301	301	301	301	638
231	222	2422953	303	303	303	303	644
232	222	2433365	300	301	301	301	642
233	222	2443647	302	301	301	301	644
234	222	2453481	298	298	298	298	601
235	218	2463373	300	301	301	301	604
236	211	2473295	304	303	303	303	608
237	211	2482790	299	299	299	299	598
238	189	2489103	279	299	280	299	601
239	189	2495099	0	305	0	305	615
240	13	2496661	0	302	0	302	611
241	13	2498189	0	304	0	304	611
242	13	2499728	0	300	0	300	605
243	13	2501247	0	305	0	305	615
244	13	2502784	0	302	0	302	610
245	13	2504318	0	302	0	302	608
246	13	2505839	0	298	0	298	598
247	13	2507349	0	302	0	302	608
248	13	2508875	0	300	0	300	604
249	13	2510393	0	306	0	306	618
250	13	2511942	0	303	0	303	610
251	13	2513472	0	299	0	300	607
252	13	2514990	0	304	0	303	609
253	13	2516520	0	300	0	300	605
254	13	2518038	0	299	0	299	605
255	13	2519555	0	304	0	304	613
256	13	2521096	0	299	0	299	602
257	13	2522604	0	299	0	299	601
258	13	2524117	0	305	0	305	614
259	13	2525661	0	302	0	302	605
260	13	2527183	0	303	0	303	613
261	13	2528723	0	301	0	301	607
262	13	2530246	0	303	0	303	611
263	13	2531776	0	300	0	300	603
264	13	2533293	0	303	0	303	612
265	13	2534825	0	306	0	306	619
266	13	2536375	0	304	0	304	617
267	13	2537920	0	301	0	301	604
268	13	2539440	0	304	0	304	615
269	13	2540976	0	303	0	303	608
270	13	2542510	0	295	0	295	597
271	13	2544005	0	305	0	305	615
272	13	2545549	0	306	0	306	616
273	13	2547091	0	303	0	303	613
274	13	2548630	0	306	0	306	615
275	13	2550177	0	304	0	304	613
276	13	2551711	0	302	0	302	609
277	13	2553238	0	304	0	304	610
278	13	2554776	0	302	0	302	611
279	13	2556304	0	302	0	302	611
280	13	2557833	0	304	0	304	611
281	13	2559372	0	300	0	300	605
282	13	2560890	0	305	0	305	616
283	13	2562436	0	304	0	304	611
284	13	2563969	0	301	0	301	605
285	13	2565490	0	299	0	299	600
286	13	2567001	0	303	0	303	610
287	13	2568531	0	307	0	307	617
288	13	2570082	0	302	0	302	611
289	13	2571616	0	302	0	302	610
290	13	2573144	0	300	0	300	601
291	13	2574659	0	301	0	301	603
292	13	2576177	0	303	0	303	614
293	13	2577711	0	306	0	306	616
294	13	2579254	0	300	0	300	605
295	13	2580775	0	306	0	307	618
296	13	2582323	0	297	0	296	598
297	13	2583825	0	301	0	301	605
298	13	2585346	0	303	0	303	608
299	13	2586880	0	299	0	299	607
300	13	2588399	0	306	0	306	616
301	13	2589941	0	297	0	297	596
302	13	2591445	0	303	0	303	608
303	13	2592973	0	301	0	301	608
304	13	2594497	0	302	0	302	612
305	13	2596033	0	303	0	303	612
306	13	2597565	0	306	0	306	617
307	13	2599114	0	299	0	299	603
308	13	2600628	0	303	0	303	612
309	13	2602160	0	300	0	300	606
310	13	2603680	0	303	0	303	609
311	13	2605208	0	302	0	302	610
312	13	2606742	0	304	0	304	616
313	13	2608280	0	303	0	304	617
314	13	2609819	0	296	0	295	591
315	13	2611312	0	301	0	301	606
316	13	2612834	0	302	0	302	607
317	13	2614358	0	305	0	305	616
318	13	2615904	0	302	0	302	610
319	13	2617432	0	304	0	304	617
320	13	2618977	0	298	0	298	598
321	13	2620478	0	300	0	300	606
322	13	2621998	0	306	0	306	618
323	13	2623548	0	304	0	304	614
324	13	2625089	0	303	0	303	612
325	13	2626621	0	294	0	294	595
326	13	2628112	0	306	0	306	616
327	13	2629654	0	298	0	298	602
328	13	2631169	0	303	0	303	613
329	13	2632702	0	294	0	294	593
330	13	2634190	0	306	0	306	615
331	13	2635737	0	306	0	306	617
332	13	2637286	0	303	0	303	611
333	13	2638816	0	304	0	304	615
334	13	2640359	0	301	0	301	609
335	13	2641880	0	296	0	296	596
336	13	2643379	0	304	0	304	615
337	13	2644921	0	303	0	303	610
338	13	2646451	0	302	0	302	609
339	13	2647978	0	300	0	300	604
340	13	2649495	0	301	0	302	608
341	13	2651019	0	298	0	297	602
342	13	2652530	0	304	0	304	613
343	13	2654065	0	302	0	302	610
344	13	2655599	0	295	0	295	594
345	13	2657091	0	303	0	303	611
346	13	2658621	0	305	0	305	618
347	13	2660169	0	299	0	299	605
348	13	2661686	0	297	0	297	599
