t=8.3 tick=258 busy=394182 total=1013673 pct=38.9
t=15.2 tick=879 busy=498637 total=1010702 pct=49.3
t=21.8 tick=1202 busy=429857 total=1002240 pct=42.9
t=26.9 tick=1457 busy=273126 total=1004527 pct=27.2
t=33.6 tick=1623 busy=231782 total=1003930 pct=23.1
t=38.8 tick=1680 busy=230380 total=1015009 pct=22.7
t=45.2 tick=1735 busy=269714 total=1000558 pct=27.0
t=52.2 tick=1844 busy=278346 total=1034431 pct=26.9
t=59.4 tick=1901 busy=289362 total=1041464 pct=27.8
t=65.8 tick=2028 busy=510300 total=1004482 pct=50.8
t=71.3 tick=2092 busy=457777 total=1001906 pct=45.7
t=78.2 tick=2170 busy=353261 total=1000222 pct=35.3
t=83.3 tick=2241 busy=371937 total=1012834 pct=36.7
t=89.6 tick=2317 busy=381601 total=1006259 pct=37.9
t=94.8 tick=2393 busy=363403 total=1000784 pct=36.3
t=101.2 tick=2552 busy=343683 total=1002885 pct=34.3
t=106.7 tick=2633 busy=342163 total=1002526 pct=34.1
t=113.3 tick=2714 busy=339415 total=1002509 pct=33.9
t=118.8 tick=2798 busy=380491 total=1021571 pct=37.2
t=125.1 tick=2879 busy=376786 total=1001291 pct=37.6
t=130.2 tick=3042 busy=363122 total=1005075 pct=36.1
t=136.6 tick=3124 busy=354078 total=1021497 pct=34.7
t=142.2 tick=3208 busy=374588 total=1001284 pct=37.4
t=149.1 tick=3290 busy=383584 total=1000840 pct=38.3
t=154.3 tick=3371 busy=353263 total=1000520 pct=35.3
t=160.8 tick=3536 busy=369671 total=1005547 pct=36.8
t=166.2 tick=3618 busy=343658 total=1015660 pct=33.8
t=173.0 tick=3700 busy=379218 total=1001602 pct=37.9
t=178.2 tick=3782 busy=356900 total=1011006 pct=35.3
t=184.6 tick=3864 busy=336727 total=1011830 pct=33.3
t=190.1 tick=3948 busy=354732 total=1001071 pct=35.4
t=196.6 tick=4115 busy=391575 total=1003600 pct=39.0
t=202.2 tick=4196 busy=369063 total=1004729 pct=36.7
t=208.6 tick=4290 busy=450484 total=1004571 pct=44.8
t=213.9 tick=4381 busy=354911 total=1006552 pct=35.3
t=220.4 tick=4586 busy=365697 total=1003019 pct=36.5
