window ticks 1980->2553 (573 frames) wall 25.16 s = 43.90 ms/frame, 22.78 vs/s
tid comm cpu_s cpu_ms_per_frame util_pct
24606 MTVU 16.43 28.67 65.3
24597 GameThread 7.48 13.05 29.7
24578 GsWorker 4.99 8.71 19.8
24595 AAudio_1 0.08 0.14 0.3
24576 com.ps2x.runner 0.04 0.07 0.2
24599 PGS-Waiter 0.03 0.05 0.1
24569 binder:24556_2 0.02 0.03 0.1
24571 binder:24556_3 0.01 0.02 0.0
