half: n ee_top6 iop_top6 cdvd sif misc
332.0: n=395423 ee=[(196362, 'GetThreadId'), (61686, 'WaitSema'), (61422, 'SignalSema'), (13229, 'ReferThreadStatus'), (12966, 'RotateThreadReadyQueue'), (526, 'iSignalSema')]
    iop=[(4061, 'intrman.017:CpuSuspendIntr'), (3916, 'intrman.023:QueryIntrContext'), (3383, 'intrman.018:CpuResumeIntr'), (2650, 'sifman.008:sceSifDmaStat'), (1632, 'libsd.010:sceSdGetAddr'), (835, 'cdvdman.050:_sceCdSC')] cdvd=3684 sif=20290 misc=1324
332.5: n=402146 ee=[(219766, 'GetThreadId'), (71261, 'WaitSema'), (71102, 'SignalSema'), (7132, 'ReferThreadStatus'), (7038, 'RotateThreadReadyQueue'), (292, 'RFU005')]
    iop=[(2274, 'intrman.023:QueryIntrContext'), (2245, 'intrman.017:CpuSuspendIntr'), (1728, 'libsd.010:sceSdGetAddr'), (1691, 'intrman.018:CpuResumeIntr'), (1250, 'sifman.008:sceSifDmaStat'), (465, 'thevent.010:WaitEventFlag')] cdvd=1311 sif=10056 misc=650
333.0: n=402510 ee=[(215521, 'GetThreadId'), (67096, 'WaitSema'), (66940, 'SignalSema'), (15295, 'ReferThreadStatus'), (15228, 'RotateThreadReadyQueue'), (285, 'RFU005')]
    iop=[(2153, 'intrman.023:QueryIntrContext'), (2070, 'intrman.017:CpuSuspendIntr'), (1920, 'libsd.010:sceSdGetAddr'), (1508, 'intrman.018:CpuResumeIntr'), (850, 'sifman.008:sceSifDmaStat'), (476, 'thevent.010:WaitEventFlag')] cdvd=923 sif=8192 misc=574
333.5: n=402093 ee=[(219145, 'GetThreadId'), (69402, 'WaitSema'), (69260, 'SignalSema'), (11931, 'ReferThreadStatus'), (11875, 'RotateThreadReadyQueue'), (265, 'RFU005')]
    iop=[(2022, 'intrman.023:QueryIntrContext'), (1928, 'intrman.017:CpuSuspendIntr'), (1824, 'libsd.010:sceSdGetAddr'), (1383, 'intrman.018:CpuResumeIntr'), (829, 'sifman.008:sceSifDmaStat'), (464, 'thevent.010:WaitEventFlag')] cdvd=780 sif=7298 misc=527
334.0: n=389472 ee=[(211733, 'GetThreadId'), (68228, 'WaitSema'), (68072, 'SignalSema'), (8159, 'ReferThreadStatus'), (8071, 'RotateThreadReadyQueue'), (287, 'RFU005')]
    iop=[(2227, 'intrman.023:QueryIntrContext'), (2189, 'intrman.017:CpuSuspendIntr'), (1728, 'libsd.010:sceSdGetAddr'), (1643, 'intrman.018:CpuResumeIntr'), (1271, 'sifman.008:sceSifDmaStat'), (462, 'thevent.010:WaitEventFlag')] cdvd=1235 sif=9733 misc=641
334.5: n=370175 ee=[(186426, 'GetThreadId'), (54264, 'WaitSema'), (54101, 'SignalSema'), (24759, 'ReferThreadStatus'), (24685, 'RotateThreadReadyQueue'), (298, 'RFU005')]
    iop=[(2276, 'intrman.023:QueryIntrContext'), (2205, 'intrman.017:CpuSuspendIntr'), (1968, 'libsd.010:sceSdGetAddr'), (1614, 'intrman.018:CpuResumeIntr'), (1509, 'sifman.008:sceSifDmaStat'), (501, 'thevent.010:WaitEventFlag')] cdvd=1143 sif=10097 misc=634
335.0: n=400101 ee=[(219290, 'GetThreadId'), (71083, 'WaitSema'), (70929, 'SignalSema'), (7151, 'ReferThreadStatus'), (7063, 'RotateThreadReadyQueue'), (284, 'RFU005')]
    iop=[(2224, 'intrman.023:QueryIntrContext'), (2184, 'intrman.017:CpuSuspendIntr'), (1682, 'libsd.010:sceSdGetAddr'), (1642, 'intrman.018:CpuResumeIntr'), (1167, 'sifman.008:sceSifDmaStat'), (461, 'thevent.010:WaitEventFlag')] cdvd=1205 sif=9347 misc=630
335.5: n=397044 ee=[(214668, 'GetThreadId'), (67312, 'WaitSema'), (67166, 'SignalSema'), (13735, 'ReferThreadStatus'), (13678, 'RotateThreadReadyQueue'), (271, 'RFU005')]
    iop=[(2025, 'intrman.023:QueryIntrContext'), (1934, 'intrman.017:CpuSuspendIntr'), (1870, 'libsd.010:sceSdGetAddr'), (1386, 'intrman.018:CpuResumeIntr'), (741, 'sifman.008:sceSifDmaStat'), (463, 'thevent.010:WaitEventFlag')] cdvd=773 sif=7319 misc=523
336.0: n=409280 ee=[(224800, 'GetThreadId'), (72274, 'WaitSema'), (72130, 'SignalSema'), (8972, 'ReferThreadStatus'), (8906, 'RotateThreadReadyQueue'), (265, 'RFU005')]
    iop=[(2029, 'intrman.023:QueryIntrContext'), (1961, 'intrman.017:CpuSuspendIntr'), (1776, 'libsd.010:sceSdGetAddr'), (1439, 'intrman.018:CpuResumeIntr'), (1102, 'sifman.008:sceSifDmaStat'), (443, 'thevent.010:WaitEventFlag')] cdvd=961 sif=8352 misc=559
336.5: n=395253 ee=[(208140, 'GetThreadId'), (64567, 'WaitSema'), (64399, 'SignalSema'), (15639, 'ReferThreadStatus'), (15550, 'RotateThreadReadyQueue'), (310, 'RFU005')]
    iop=[(2407, 'intrman.023:QueryIntrContext'), (2351, 'intrman.017:CpuSuspendIntr'), (1920, 'libsd.010:sceSdGetAddr'), (1745, 'intrman.018:CpuResumeIntr'), (1422, 'sifman.008:sceSifDmaStat'), (512, 'thevent.010:WaitEventFlag')] cdvd=1259 sif=10349 misc=677
337.0: n=396999 ee=[(204699, 'GetThreadId'), (60924, 'WaitSema'), (60764, 'SignalSema'), (23030, 'ReferThreadStatus'), (22960, 'RotateThreadReadyQueue'), (295, 'RFU005')]
    iop=[(2242, 'intrman.023:QueryIntrContext'), (2164, 'intrman.017:CpuSuspendIntr'), (1968, 'libsd.010:sceSdGetAddr'), (1578, 'intrman.018:CpuResumeIntr'), (1277, 'sifman.008:sceSifDmaStat'), (498, 'thevent.010:WaitEventFlag')] cdvd=1043 sif=9308 misc=623
337.5: n=396261 ee=[(213195, 'GetThreadId'), (68022, 'WaitSema'), (67860, 'SignalSema'), (10293, 'ReferThreadStatus'), (10200, 'RotateThreadReadyQueue'), (299, 'RFU005')]
    iop=[(2328, 'intrman.023:QueryIntrContext'), (2291, 'intrman.017:CpuSuspendIntr'), (1824, 'libsd.010:sceSdGetAddr'), (1719, 'intrman.018:CpuResumeIntr'), (1431, 'sifman.008:sceSifDmaStat'), (482, 'thevent.010:WaitEventFlag')] cdvd=1297 sif=10382 misc=667
338.0: n=162241 ee=[(48420, 'GetThreadId'), (12758, 'WaitSema'), (12467, 'SignalSema'), (12222, 'ReferThreadStatus'), (12025, 'RotateThreadReadyQueue'), (582, 'RFU005')]
    iop=[(5086, 'intrman.023:QueryIntrContext'), (5017, 'intrman.017:CpuSuspendIntr'), (5003, 'sifman.008:sceSifDmaStat'), (3936, 'libsd.010:sceSdGetAddr'), (3754, 'intrman.018:CpuResumeIntr'), (1055, 'thevent.010:WaitEventFlag')] cdvd=3179 sif=26549 misc=1515
338.5: n=55904 ee=[(5639, 'GetThreadId'), (2290, 'WaitSema'), (2150, 'SignalSema'), (350, 'RFU005'), (265, 'iSignalSema'), (166, 'sceSifSetDma_isceSifSetDma')]
    iop=[(5329, 'sifman.008:sceSifDmaStat'), (2908, 'intrman.017:CpuSuspendIntr'), (2883, 'intrman.023:QueryIntrContext'), (2193, 'intrman.018:CpuResumeIntr'), (2016, 'libsd.010:sceSdGetAddr'), (590, 'thevent.010:WaitEventFlag')] cdvd=2326 sif=20899 misc=1183
339.0: n=29791 ee=[(2593, 'GetThreadId'), (1441, 'WaitSema'), (1302, 'SignalSema'), (475, 'RFU005'), (200, 'iSignalSema'), (99, 'sceSifSetDma_isceSifSetDma')]
    iop=[(1992, 'intrman.023:QueryIntrContext'), (1935, 'intrman.017:CpuSuspendIntr'), (1775, 'sifman.008:sceSifDmaStat'), (1728, 'libsd.010:sceSdGetAddr'), (1405, 'intrman.018:CpuResumeIntr'), (441, 'thevent.010:WaitEventFlag')] cdvd=1009 sif=9642 misc=602
339.5: n=22936 ee=[(2496, 'GetThreadId'), (1389, 'WaitSema'), (1266, 'SignalSema'), (502, 'RFU005'), (146, 'iSignalSema'), (60, 'sceSifSetDChain_isceSifSetDChain')]
    iop=[(1824, 'libsd.010:sceSdGetAddr'), (1673, 'intrman.023:QueryIntrContext'), (1549, 'intrman.017:CpuSuspendIntr'), (1064, 'sifman.008:sceSifDmaStat'), (1047, 'intrman.018:CpuResumeIntr'), (421, 'thevent.010:WaitEventFlag')] cdvd=422 sif=6300 misc=419
340.0: n=17034 ee=[(2379, 'GetThreadId'), (1351, 'WaitSema'), (1236, 'SignalSema'), (469, 'RFU005'), (115, 'iSignalSema'), (40, 'sceSifSetDChain_isceSifSetDChain')]
    iop=[(1872, 'libsd.010:sceSdGetAddr'), (1508, 'intrman.023:QueryIntrContext'), (1340, 'intrman.017:CpuSuspendIntr'), (851, 'intrman.018:CpuResumeIntr'), (415, 'thevent.010:WaitEventFlag'), (355, 'thevent.006:SetEventFlag')] cdvd=0 sif=3151 misc=324
340.5: n=18004 ee=[(2523, 'GetThreadId'), (1430, 'WaitSema'), (1312, 'SignalSema'), (487, 'RFU005'), (120, 'iSignalSema'), (44, 'sceSifSetDma_isceSifSetDma')]
    iop=[(1920, 'libsd.010:sceSdGetAddr'), (1587, 'intrman.023:QueryIntrContext'), (1409, 'intrman.017:CpuSuspendIntr'), (901, 'intrman.018:CpuResumeIntr'), (433, 'thevent.010:WaitEventFlag'), (373, 'thevent.006:SetEventFlag')] cdvd=33 sif=3377 misc=343
341.0: n=22647 ee=[(2741, 'GetThreadId'), (1513, 'WaitSema'), (1383, 'SignalSema'), (489, 'RFU005'), (155, 'iSignalSema'), (64, 'sceSifSetDChain_isceSifSetDChain')]
    iop=[(1872, 'libsd.010:sceSdGetAddr'), (1750, 'intrman.023:QueryIntrContext'), (1617, 'intrman.017:CpuSuspendIntr'), (1099, 'intrman.018:CpuResumeIntr'), (647, 'sifman.008:sceSifDmaStat'), (438, 'thevent.010:WaitEventFlag')] cdvd=424 sif=5574 misc=420
341.5: n=16957 ee=[(2401, 'GetThreadId'), (1364, 'WaitSema'), (1250, 'SignalSema'), (462, 'RFU005'), (113, 'iSignalSema'), (40, 'sceSifSetDma_isceSifSetDma')]
    iop=[(1872, 'libsd.010:sceSdGetAddr'), (1477, 'intrman.023:QueryIntrContext'), (1313, 'intrman.017:CpuSuspendIntr'), (837, 'intrman.018:CpuResumeIntr'), (402, 'thevent.010:WaitEventFlag'), (344, 'thevent.006:SetEventFlag')] cdvd=0 sif=3171 misc=323
342.0: n=10 ee=[]
    iop=[(3, 'intrman.023:QueryIntrContext'), (2, 'intrman.017:CpuSuspendIntr'), (1, 'thevent.008:ClearEventFlag'), (1, 'thevent.007:iSetEventFlag'), (1, 'thevent.006:SetEventFlag'), (1, 'intrman.018:CpuResumeIntr')] cdvd=0 sif=0 misc=1
