Cmdline: /system/bin/simpleperf record --app com.ps2x.runner --add-meta-info app_type=profileable --in-app --tracepoint-events /data/local/tmp/tracepoint_events --out-fd 3 --stop-signal-fd 4 --call-graph fp --duration 30
Arch: arm64
Event: cpu-cycles (type 0, config 0)
Samples: 137186
Event count: 111751374042

Overhead  Command          Symbol
10.42%    GameThread       VU1Interpreter::run(unsigned char*, unsigned int, unsigned char*, unsigned int, GS&, PS2Memory*, unsigned int)
8.98%     GameThread       VU1Interpreter::commitReadyPipelines()
6.35%     GameThread       VU1Interpreter::execUpper(unsigned int)
5.25%     GameThread       VU1Interpreter::calculatePairReadyCycle(VU1Interpreter::DecodedInstructionPair const&) const
3.89%     GameThread       __memset_aarch64_nt
3.60%     GameThread       VU1Interpreter::execLower(unsigned int, unsigned char*, unsigned int, GS&, PS2Memory*, unsigned int)
3.58%     GameThread       VU1Interpreter::calculateFmacExactResults(unsigned char, double*) const
3.43%     GameThread       VU1Interpreter::normalizeFmacResult(float*, unsigned char, unsigned char*)
2.73%     GameThread       VU1Interpreter::calculateFmacProductSticky(unsigned char) const
2.58%     GameThread       [kernel.kallsyms][+ffffffe761a8e810]
2.57%     GameThread       @plt
2.48%     GameThread       VU1Interpreter::getDecodedInstructionPairForPc(unsigned char const*, unsigned int, PS2Memory*, unsigned int)
2.25%     GsWorker         [kernel.kallsyms][+ffffffe761a8e860]
2.16%     GsWorker         [kernel.kallsyms][+ffffffe761a8e810]
1.76%     GameThread       VU1Interpreter::markPairWrites(VU1Interpreter::DecodedInstructionPair const&)
1.39%     GameThread       VU1Interpreter::updateFmacFlags(unsigned char const*, unsigned char, unsigned int)
1.31%     GsWorker         [kernel.kallsyms][+ffffffe760a47efc]
1.15%     com.ps2x.runner  clock_gettime
1.15%     GameThread       VU1Interpreter::broadcast(float const*, unsigned char)
1.00%     GameThread       VU1Interpreter::queueVfWrite(unsigned char, unsigned char, float const*, unsigned int)
0.93%     GsWorker         [kernel.kallsyms][+ffffffe760cfb750]
0.85%     com.ps2x.runner  __kernel_clock_gettime
0.75%     GsWorker         [kernel.kallsyms][+ffffffe760a21688]
0.73%     GsWorker         [kernel.kallsyms][+ffffffe760a21680]
0.70%     GameThread       VU1Interpreter::applyDest(float*, float const*, unsigned char)
0.61%     GsWorker         [kernel.kallsyms][+ffffffe760d2cbf8]
0.55%     GameThread       PS2Memory::processVIF1DataImpl(unsigned char const*, unsigned int)
0.43%     GameThread       VU1Interpreter::progressXgkick()
0.42%     GsWorker         [kernel.kallsyms][+ffffffe761a795a0]
0.40%     GameThread       VU1Interpreter::applyFmacDest(float*, float*, unsigned char)
0.39%     GameThread       __memcpy_aarch64_nt
0.39%     GameThread       VU1Interpreter::applyFmacDestAcc(float*, unsigned char)
0.38%     GsWorker         [kernel.kallsyms][+ffffffe760a2168c]
0.37%     GameThread       [kernel.kallsyms][+ffffffe760a2784c]
0.37%     GsWorker         void ParallelGS::GSInterface::drawing_kick_append<false, false, false, 3u>()
0.34%     GsWorker         GS::writeRegisterPacked(unsigned char, unsigned long, unsigned long)
0.31%     GsWorker         [kernel.kallsyms][+ffffffe760b99edc]
0.29%     GameThread       __vfprintf
0.27%     GsWorker         GS::vertexKick(bool)
0.26%     GsWorker         [kernel.kallsyms][+ffffffe760b98830]
0.26%     GameThread       libunwind::findUnwindSectionsByPhdr(dl_phdr_info*, unsigned long, void*)
0.26%     GsWorker         GS::buildDrawBatch(int) const
0.25%     GameThread       [kernel.kallsyms][+ffffffe760a277ec]
0.25%     GameThread       sub_0037E120_0x37e120(unsigned char*, R5900Context*, PS2Runtime*)
0.25%     GsWorker         [kernel.kallsyms][+ffffffe761a79608]
0.22%     GameThread       [kernel.kallsyms][+ffffffe761a8e664]
0.22%     GameThread       VU1Interpreter::decodeLowerUsage(unsigned int) const
0.21%     GameThread       VU1Interpreter::queueStore(unsigned int, unsigned int const*, unsigned char)
0.20%     GsWorker         [kernel.kallsyms][+ffffffe760a15520]
0.19%     GsWorker         [kernel.kallsyms][+ffffffe760a21684]
0.19%     GsWorker         [kernel.kallsyms][+ffffffe760dd6c84]
0.17%     GsWorker         [kernel.kallsyms][+ffffffe7611d5040]
0.17%     com.ps2x.runner  !!!0000!a0d82c13dd4b4e4f31b6cd30a2cb0d!a9ee82cd83!
0.17%     GsWorker         [kernel.kallsyms][+ffffffe761a8e6e0]
0.16%     GameThread       VU1Interpreter::decodeUpperUsage(unsigned int) const
0.16%     GsWorker         @plt
0.15%     GsWorker         [kernel.kallsyms][+ffffffe761a79580]
0.15%     GameThread       __sfvwrite
0.14%     GameThread       VU1Interpreter::resetScheduler()
0.14%     GameThread       [kernel.kallsyms][+ffffffe760ad37c0]
0.14%     GsWorker         [kernel.kallsyms][+ffffffe761a7ae44]
0.14%     GsWorker         void ParallelGS::GSInterface::packed_XYZ<false, true, (ParallelGS::PRIMType)4>(void const*)
0.14%     GsWorker         [kernel.kallsyms][+ffffffe760a277ec]
0.13%     GsWorker         [kernel.kallsyms][+ffffffe760dd6c20]
0.13%     GsWorker         GS::processGIFPacket(unsigned char const*, unsigned int)
0.13%     GsWorker         GS::recordDrawDebugEventUnlocked(int)
0.13%     GameThread       sub_00376938_0x376938(unsigned char*, R5900Context*, PS2Runtime*)
0.12%     GsWorker         [kernel.kallsyms][+ffffffe760855968]
0.12%     GsWorker         [kernel.kallsyms][+ffffffe761a79560]
0.12%     GameThread       __emutls_get_address
0.12%     GameThread       sub_0032E100_0x32e100(unsigned char*, R5900Context*, PS2Runtime*)
0.11%     GameThread       VU1Interpreter::decodeInstructionPair(unsigned char const*, unsigned int) const
0.11%     GameThread       pthread_mutex_unlock
0.11%     GameThread       std::__ndk1::pair<std::__ndk1::__hash_iterator<std::__ndk1::__hash_node<std::__ndk1::__hash_value_type<unsigned int, ps2_park::ParkHotPcEntry>, void*>*>, bool> std::__ndk1::__hash_table<std::__ndk1::__hash_value_type<unsigned int, ps2_park::ParkHotPcEntry>, std::__ndk1::__unordered_map_hasher<unsigned int, std::__ndk1::__hash_value_type<unsigned int, ps2_park::ParkHotPcEntry>, std::__ndk1::hash<unsigned int>, std::__ndk1::equal_to<unsigned int>, true>, std::__ndk1::__unordered_map_equal<unsigned int, std::__ndk1::__hash_value_type<unsigned int, ps2_park::ParkHotPcEntry>, std::__ndk1::equal_to<unsigned int>, std::__ndk1::hash<unsigned int>, true>, std::__ndk1::allocator<std::__ndk1::__hash_value_type<unsigned int, ps2_park::ParkHotPcEntry>>>::__emplace_unique_key_args<unsigned int, std::__ndk1::piecewise_construct_t const&, std::__ndk1::tuple<unsigned int const&>, std::__ndk1::tuple<>>(unsigned int const&, std::__ndk1::piecewise_construct_t const&, std::__ndk1::tuple<unsigned int const&>&&, std::__ndk1::tuple<>&&)
0.11%     GameThread       sub_002E8938_0x2e8938(unsigned char*, R5900Context*, PS2Runtime*)
