Cmdline: /system/bin/simpleperf record --app com.ps2x.runner --add-meta-info app_type=profileable --in-app --tracepoint-events /data/local/tmp/tracepoint_events --out-fd 3 --stop-signal-fd 4 --call-graph fp --duration 30
Arch: arm64
Event: cpu-cycles (type 0, config 0)
Samples: 137186
Event count: 111751374042

Overhead  Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Shared Object
1.15%     VU1Interpreter::broadcast(float const*, unsigned char)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                /data/app/~~nYRd8kouwvq7q2v5A-TA_w==/com.ps2x.runner-1DLptr4PfA1hiwdyAMjP8g==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so
1.00%     VU1Interpreter::queueVfWrite(unsigned char, unsigned char, float const*, unsigned int)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                /data/app/~~nYRd8kouwvq7q2v5A-TA_w==/com.ps2x.runner-1DLptr4PfA1hiwdyAMjP8g==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so
0.93%     [kernel.kallsyms][+ffffffe760cfb750]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  [kernel.kallsyms]
0.87%     __kernel_clock_gettime                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                [vdso]
0.75%     [kernel.kallsyms][+ffffffe760a21688]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  [kernel.kallsyms]
0.73%     [kernel.kallsyms][+ffffffe760a21680]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  [kernel.kallsyms]
0.70%     VU1Interpreter::applyDest(float*, float const*, unsigned char)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        /data/app/~~nYRd8kouwvq7q2v5A-TA_w==/com.ps2x.runner-1DLptr4PfA1hiwdyAMjP8g==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so
0.61%     [kernel.kallsyms][+ffffffe760d2cbf8]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  [kernel.kallsyms]
0.56%     __memcpy_aarch64_nt                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   /apex/com.android.runtime/lib64/bionic/libc.so
0.55%     PS2Memory::processVIF1DataImpl(unsigned char const*, unsigned int)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    /data/app/~~nYRd8kouwvq7q2v5A-TA_w==/com.ps2x.runner-1DLptr4PfA1hiwdyAMjP8g==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so
