Cmdline: /system/bin/simpleperf record --app com.ps2x.runner --add-meta-info app_type=profileable --in-app --tracepoint-events /data/local/tmp/tracepoint_events --out-fd 3 --stop-signal-fd 4 --call-graph fp --duration 30
Arch: arm64
Event: cpu-cycles (type 0, config 0)
Samples: 137186
Event count: 111751374042

Children  Self    Symbol
98.87%    0.00%   __pthread_start(void*)
98.87%    0.00%   __start_thread
74.17%    0.00%   void* std::__ndk1::__thread_proxy[abi:ne190000]<std::__ndk1::tuple<std::__ndk1::unique_ptr<std::__ndk1::__thread_struct, std::__ndk1::default_delete<std::__ndk1::__thread_struct>>, PS2Runtime::run()::$_0>>(void*)
74.15%    0.01%   EeScheduler::run()
60.89%    0.01%   sub_00382760_0x382760(unsigned char*, R5900Context*, PS2Runtime*)
60.64%    0.01%   PS2Runtime::Store32(unsigned char*, R5900Context*, unsigned int, unsigned int)
60.56%    0.05%   PS2Memory::writeIORegister(unsigned int, unsigned int)
60.27%    0.00%   PS2Memory::processPendingTransfers()
60.17%    0.00%   PS2Memory::processVIF1Data(unsigned char const*, unsigned int)
60.13%    0.55%   PS2Memory::processVIF1DataImpl(unsigned char const*, unsigned int)
58.64%    0.00%   std::__ndk1::__function::__func<PS2Runtime::syncCoreSubsystems()::$_3, std::__ndk1::allocator<PS2Runtime::syncCoreSubsystems()::$_3>, void (unsigned int, unsigned int, unsigned int)>::operator()(unsigned int&&, unsigned int&&, unsigned int&&)
41.74%    10.42%  VU1Interpreter::run(unsigned char*, unsigned int, unsigned char*, unsigned int, GS&, PS2Memory*, unsigned int)
21.24%    0.00%   void* std::__ndk1::__thread_proxy[abi:ne190000]<std::__ndk1::tuple<std::__ndk1::unique_ptr<std::__ndk1::__thread_struct, std::__ndk1::default_delete<std::__ndk1::__thread_struct>>, void (GsWorker::*)(), GsWorker*>>(void*)
21.23%    0.00%   [kernel.kallsyms][+ffffffe760a11586]
21.17%    0.03%   GsWorker::threadMain()
20.82%    0.00%   [kernel.kallsyms][+ffffffe761a7d85e]
20.29%    0.02%   GS::executeQueuedCommand(GsCommand&)
17.37%    6.35%   VU1Interpreter::execUpper(unsigned int)
16.47%    0.00%   __ioctl
16.27%    0.18%   GS::processGIFPacket(unsigned char const*, unsigned int)
16.26%    0.00%   [kernel.kallsyms][+ffffffe761a7d8ea]
16.26%    0.00%   [kernel.kallsyms][+ffffffe760a3aece]
16.25%    0.00%   [kernel.kallsyms][+ffffffe760a3af86]
16.24%    0.00%   [kernel.kallsyms][+ffffffe760a3b042]
14.33%    0.01%   ps2x_gs_parallel::(anonymous namespace)::GSParallelBackend::RawGifPacket(unsigned int, unsigned char const*, unsigned int)
14.28%    0.07%   ParallelGS::GSInterface::gif_transfer(unsigned int, void const*, unsigned long)
12.60%    0.00%   [kernel.kallsyms][+ffffffe760e13696]
12.53%    0.00%   [kernel.kallsyms][+ffffffe76084c36a]
12.52%    0.00%   [kernel.kallsyms][+ffffffe76084c2da]
12.09%    0.00%   libvulkan_freedreno.so[+9cdf72]
12.09%    0.00%   libvulkan_freedreno.so[+a3a6ce]
12.08%    0.00%   [kernel.kallsyms][+ffffffe76083fcf2]
11.99%    0.00%   Vulkan::Device::create_buffer(Vulkan::BufferCreateInfo const&, void const*)
11.98%    0.00%   Vulkan::Allocator::allocate(unsigned int, unsigned int, Vulkan::AllocationMode, Vulkan::DeviceAllocation*)
11.98%    0.00%   Util::ArenaAllocator<Vulkan::ClassAllocator, Vulkan::DeviceAllocation>::allocate(unsigned int, Vulkan::DeviceAllocation*)
11.97%    0.00%   Vulkan::DeviceAllocator::internal_allocate(unsigned int, unsigned int, Vulkan::AllocationMode, VkDeviceMemory_T**, unsigned char**, VkObjectType, unsigned long, Vulkan::ExternalHandle*)
11.97%    0.00%   [kernel.kallsyms][+ffffffe76083f5ee]
11.97%    0.00%   [kernel.kallsyms][+ffffffe760856326]
11.93%    0.00%   libvulkan_freedreno.so[+9be4b6]
11.82%    0.00%   Vulkan::request_block(Vulkan::Device&, Vulkan::BufferBlock&, unsigned long, Vulkan::BufferPool&, std::__ndk1::vector<Vulkan::BufferBlock, std::__ndk1::allocator<Vulkan::BufferBlock>>&)
11.82%    0.00%   Vulkan::BufferPool::allocate_block(unsigned long)
11.71%    0.00%   ParallelGS::GSInterface::flush_pending_transfer(bool)
11.39%    0.00%   ParallelGS::GSRenderer::copy_vram(ParallelGS::CopyDescriptor const&, ParallelGS::PageRect const&)
11.36%    0.00%   Vulkan::CommandBuffer::request_scratch_buffer_memory(unsigned long)
11.36%    0.00%   Vulkan::Device::request_staging_block(Vulkan::BufferBlock&, unsigned long)
9.98%     0.09%   PS2Runtime::dispatchGuestBranch(unsigned char*, R5900Context*, unsigned int, unsigned int, unsigned int, PS2Runtime::GuestBranchKind, char const*)
9.52%     0.00%   [kernel.kallsyms][+ffffffe760857eaa]
9.00%     8.98%   VU1Interpreter::commitReadyPipelines()
7.93%     0.00%   [kernel.kallsyms][+ffffffe760d2ecf6]
6.97%     3.43%   VU1Interpreter::normalizeFmacResult(float*, unsigned char, unsigned char*)
6.34%     0.08%   PS2Runtime::executeVU0Microprogram(unsigned char*, R5900Context*, unsigned int)
5.26%     5.25%   VU1Interpreter::calculatePairReadyCycle(VU1Interpreter::DecodedInstructionPair const&) const
4.84%     4.84%   [kernel.kallsyms][+ffffffe761a8e810]
4.79%     0.43%   VU1Interpreter::progressXgkick()
4.66%     0.10%   sub_0022ADD8_0x22add8(unsigned char*, R5900Context*, PS2Runtime*)
4.55%     0.01%   PS2Memory::submitGifPacket(GifPathId, unsigned char const*, unsigned int, bool, bool)
4.45%     0.02%   GifArbiter::drain()
4.45%     0.00%   GS::latchHostPresentationFrame()
4.41%     0.00%   ps2x_gs_parallel::(anonymous namespace)::GSParallelBackend::Present(GSPresentationRequest const&)
4.19%     0.00%   Vulkan::Device::wait_idle()
4.18%     0.00%   Vulkan::Device::wait_idle_nolock()
4.10%     0.00%   libvulkan_freedreno.so[+a3b0fe]
4.06%     0.04%   syscall
4.05%     3.94%   __memset_aarch64_nt
4.03%     0.39%   VU1Interpreter::applyFmacDestAcc(float*, unsigned char)
4.02%     0.03%   GsWorker::enqueue(GsCommand)
3.97%     0.00%   Vulkan::DeviceAllocator::garbage_collect()
3.97%     0.00%   libvulkan_freedreno.so[+9be9e2]
3.84%     0.00%   [kernel.kallsyms][+ffffffe760dfb456]
