Cmdline: /system/bin/simpleperf record --app com.ps2x.runner --add-meta-info app_type=profileable --in-app --tracepoint-events /data/local/tmp/tracepoint_events --out-fd 3 --stop-signal-fd 4 -g -e cpu-clock --trace-offcpu --duration 20
Arch: arm64
Event: cpu-clock (type 1, config 0)
Samples: 474268
Time in ns: 204904141954

Children  Self    Symbol
4.94%     0.00%   void* std::__ndk1::__thread_proxy[abi:ne190000]<std::__ndk1::tuple<std::__ndk1::unique_ptr<std::__ndk1::__thread_struct, std::__ndk1::default_delete<std::__ndk1::__thread_struct>>, ParallelGS::GSRenderer::GSRenderer(ParallelGS::PageTracker&)::$_0>>(void*)
4.77%     0.00%   GsWorker::threadMain()
4.77%     0.00%   void* std::__ndk1::__thread_proxy[abi:ne190000]<std::__ndk1::tuple<std::__ndk1::unique_ptr<std::__ndk1::__thread_struct, std::__ndk1::default_delete<std::__ndk1::__thread_struct>>, void (GsWorker::*)(), GsWorker*>>(void*)
4.41%     0.00%   libvulkan_freedreno.so[+a21dc0]
3.55%     0.00%   libvulkan_freedreno.so[+ac4764]
3.19%     0.00%   GS::latchHostPresentationFrame()
2.93%     0.00%   libvulkan_freedreno.so[+b64698]
2.64%     0.00%   libvulkan_freedreno.so[+a96b44]
2.56%     0.00%   libvulkan_freedreno.so[+add38c]
2.41%     0.13%   VU1Interpreter::progressXgkick()
2.40%     0.00%   libvulkan_freedreno.so[+a27074]
2.37%     0.00%   PS2Memory::submitGifPacket(GifPathId, unsigned char const*, unsigned int, bool, bool)
2.14%     0.00%   libvulkan_freedreno.so[+ac10f4]
2.09%     0.01%   libvulkan_freedreno.so[+c653bc]
2.07%     0.00%   libvulkan_freedreno.so[+a96b90]
2.03%     0.00%   libvulkan_freedreno.so[+a97b34]
1.88%     0.02%   PS2Runtime::dispatchGuestBranch(unsigned char*, R5900Context*, unsigned int, unsigned int, unsigned int, PS2Runtime::GuestBranchKind, char const*)
1.86%     0.00%   libvulkan_freedreno.so[+c60624]
1.81%     0.00%   libvulkan_freedreno.so[+c44140]
1.73%     0.00%   libvulkan_freedreno.so[+ac6614]
1.60%     0.00%   libvulkan_freedreno.so[+c18c0c]
1.58%     0.00%   libvulkan_freedreno.so[+c19504]
1.58%     0.00%   GifArbiter::drain()
1.48%     0.01%   GsWorker::enqueue(GsCommand)
1.47%     0.31%   scudo::Allocator<scudo::AndroidNormalConfig, &scudo_malloc_postinit>::deallocate(void*, scudo::Chunk::Origin, unsigned long, unsigned long)
1.46%     0.00%   libvulkan_freedreno.so[+b45988]
1.37%     0.00%   GS::noteGifPath(GifPathId)
1.32%     0.00%   libvulkan_freedreno.so[+a97238]
1.27%     0.00%   libvulkan_freedreno.so[+a98334]
1.25%     0.00%   libvulkan_freedreno.so[+c1d5a4]
1.22%     0.00%   libvulkan_freedreno.so[+c19618]
1.17%     0.26%   scudo::Allocator<scudo::AndroidNormalConfig, &scudo_malloc_postinit>::quarantineOrDeallocateChunk(scudo::Options const&, void*, scudo::Chunk::UnpackedHeader*, unsigned long)
1.15%     0.00%   libvulkan_freedreno.so[+a21cc4]
1.15%     0.00%   libvulkan_freedreno.so[+c19448]
1.08%     0.00%   libvulkan_freedreno.so[+a21c54]
1.08%     0.00%   libvulkan_freedreno.so[+a84f24]
1.01%     0.00%   libvulkan_freedreno.so[+c1d364]
1.01%     0.00%   libvulkan_freedreno.so[+c1d3cc]
