Cmdline: /system/bin/simpleperf record --app com.ps2x.runner --add-meta-info app_type=profileable --in-app --tracepoint-events /data/local/tmp/tracepoint_events --out-fd 3 --stop-signal-fd 4 -g -e cpu-clock --trace-offcpu --duration 20
Arch: arm64
Event: cpu-clock (type 1, config 0)
Samples: 474268
Time in ns: 204904141954

Overhead  Symbol                                                                                                                                                                         Shared Object
0.09%     libvulkan_freedreno.so[+b6b8ac]                                                                                                                                                /data/app/~~J9yZketwqaeWe_94jlP_lg==/com.ps2x.runner-rKnedQzg6II7qeuwr5Ef_Q==/base.apk!/lib/arm64-v8a/libvulkan_freedreno.so
0.08%     libvulkan_freedreno.so[+b489ac]                                                                                                                                                /data/app/~~J9yZketwqaeWe_94jlP_lg==/com.ps2x.runner-rKnedQzg6II7qeuwr5Ef_Q==/base.apk!/lib/arm64-v8a/libvulkan_freedreno.so
0.08%     VU1RecompImage<12499688582289950957ul>::B14b0(VU1Interpreter&, VU1Interpreter::RunContext&)                                                                                    /data/app/~~J9yZketwqaeWe_94jlP_lg==/com.ps2x.runner-rKnedQzg6II7qeuwr5Ef_Q==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so
0.08%     VU1RecompImage<12499688582289950957ul>::B1500(VU1Interpreter&, VU1Interpreter::RunContext&)                                                                                    /data/app/~~J9yZketwqaeWe_94jlP_lg==/com.ps2x.runner-rKnedQzg6II7qeuwr5Ef_Q==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so
0.07%     libvulkan_freedreno.so[+b40f9c]                                                                                                                                                /data/app/~~J9yZketwqaeWe_94jlP_lg==/com.ps2x.runner-rKnedQzg6II7qeuwr5Ef_Q==/base.apk!/lib/arm64-v8a/libvulkan_freedreno.so
0.07%     libvulkan_freedreno.so[+c1d100]                                                                                                                                                /data/app/~~J9yZketwqaeWe_94jlP_lg==/com.ps2x.runner-rKnedQzg6II7qeuwr5Ef_Q==/base.apk!/lib/arm64-v8a/libvulkan_freedreno.so
0.07%     sub_0037E120_0x37e120(unsigned char*, R5900Context*, PS2Runtime*)                                                                                                              /data/app/~~J9yZketwqaeWe_94jlP_lg==/com.ps2x.runner-rKnedQzg6II7qeuwr5Ef_Q==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so
0.07%     libvulkan_freedreno.so[+c1d0dc]                                                                                                                                                /data/app/~~J9yZketwqaeWe_94jlP_lg==/com.ps2x.runner-rKnedQzg6II7qeuwr5Ef_Q==/base.apk!/lib/arm64-v8a/libvulkan_freedreno.so
0.07%     libunwind::findUnwindSectionsByPhdr(dl_phdr_info*, unsigned long, void*)                                                                                                       /data/app/~~J9yZketwqaeWe_94jlP_lg==/com.ps2x.runner-rKnedQzg6II7qeuwr5Ef_Q==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so
0.07%     @plt                                                                                                                                                                           /data/app/~~J9yZketwqaeWe_94jlP_lg==/com.ps2x.runner-rKnedQzg6II7qeuwr5Ef_Q==/base.apk!/lib/arm64-v8a/libvulkan_freedreno.so
0.06%     VU1RecompImage<17692172933381506641ul>::B2ea0(VU1Interpreter&, VU1Interpreter::RunContext&)                                                                                    /data/app/~~J9yZketwqaeWe_94jlP_lg==/com.ps2x.runner-rKnedQzg6II7qeuwr5Ef_Q==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so
0.06%     libvulkan_freedreno.so[+c1d11c]                                                                                                                                                /data/app/~~J9yZketwqaeWe_94jlP_lg==/com.ps2x.runner-rKnedQzg6II7qeuwr5Ef_Q==/base.apk!/lib/arm64-v8a/libvulkan_freedreno.so
0.06%     libvulkan_freedreno.so[+b6b8d0]                                                                                                                                                /data/app/~~J9yZketwqaeWe_94jlP_lg==/com.ps2x.runner-rKnedQzg6II7qeuwr5Ef_Q==/base.apk!/lib/arm64-v8a/libvulkan_freedreno.so
0.06%     __aarch64_ldadd4_rel                                                                                                                                                           /apex/com.android.runtime/lib64/bionic/libc.so
0.06%     VU1Interpreter::execLower(unsigned int, unsigned char*, unsigned int, GS&, PS2Memory*, unsigned int)                                                                           /data/app/~~J9yZketwqaeWe_94jlP_lg==/com.ps2x.runner-rKnedQzg6II7qeuwr5Ef_Q==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so
0.06%     [kernel.kallsyms][+ffffffe760a2784c]                                                                                                                                           [kernel.kallsyms]
0.06%     VU1RecompImage<11917748289753363281ul>::B0720(VU1Interpreter&, VU1Interpreter::RunContext&)                                                                                    /data/app/~~J9yZketwqaeWe_94jlP_lg==/com.ps2x.runner-rKnedQzg6II7qeuwr5Ef_Q==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so
0.06%     scudo_malloc                                                                                                                                                                   /apex/com.android.runtime/lib64/bionic/libc.so
0.06%     libvulkan_freedreno.so[+c1d000]                                                                                                                                                /data/app/~~J9yZketwqaeWe_94jlP_lg==/com.ps2x.runner-rKnedQzg6II7qeuwr5Ef_Q==/base.apk!/lib/arm64-v8a/libvulkan_freedreno.so
0.05%     libvulkan_freedreno.so[+b48538]                                                                                                                                                /data/app/~~J9yZketwqaeWe_94jlP_lg==/com.ps2x.runner-rKnedQzg6II7qeuwr5Ef_Q==/base.apk!/lib/arm64-v8a/libvulkan_freedreno.so
0.05%     void ParallelGS::GSInterface::drawing_kick_append<false, false, false, 3u>()                                                                                                   /data/app/~~J9yZketwqaeWe_94jlP_lg==/com.ps2x.runner-rKnedQzg6II7qeuwr5Ef_Q==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so
0.05%     GS::writeRegisterPacked(unsigned char, unsigned long, unsigned long)                                                                                                           /data/app/~~J9yZketwqaeWe_94jlP_lg==/com.ps2x.runner-rKnedQzg6II7qeuwr5Ef_Q==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so
