Cmdline: /system/bin/simpleperf record --app com.ps2x.runner --add-meta-info app_type=profileable --in-app --tracepoint-events /data/local/tmp/tracepoint_events --out-fd 3 --stop-signal-fd 4 -g -e cpu-clock --trace-offcpu --duration 20
Arch: arm64
Event: cpu-clock (type 1, config 0)
Samples: 387188
Time in ns: 68002175599

Children  Self    Command   Symbol
2.35%     0.00%   GsWorker  libvulkan_freedreno.so[+a981a4]
2.31%     0.00%   GsWorker  libvulkan_freedreno.so[+c1ae68]
2.22%     0.00%   GsWorker  libvulkan_freedreno.so[+ac6cb4]
2.20%     0.00%   GsWorker  libvulkan_freedreno.so[+c1cbc4]
2.15%     0.00%   GsWorker  libvulkan_freedreno.so[+c1d3f8]
2.09%     0.17%   GsWorker  scudo_malloc
2.07%     0.00%   GsWorker  libvulkan_freedreno.so[+b6c69c]
2.01%     0.98%   GsWorker  scudo::Allocator<scudo::AndroidNormalConfig, &scudo_malloc_postinit>::allocate(unsigned long, scudo::Chunk::Origin, unsigned long, bool)
1.99%     0.01%   GsWorker  libvulkan_freedreno.so[+b862d0]
1.92%     0.97%   GsWorker  __memset_aarch64_nt
1.83%     0.00%   GsWorker  libvulkan_freedreno.so[+b45464]
1.81%     0.04%   GsWorker  scudo::SizeClassAllocator64<scudo::PrimaryConfig<scudo::AndroidNormalConfig>>::releaseToOSMaybe(scudo::SizeClassAllocator64<scudo::PrimaryConfig<scudo::AndroidNormalConfig>>::RegionInfo*, unsigned long, scudo::ReleaseToOS)
1.78%     0.00%   GsWorker  libvulkan_freedreno.so[+c1928c]
1.74%     0.01%   GsWorker  GS::executeQueuedCommand(GsCommand&)
1.64%     0.00%   GsWorker  libvulkan_freedreno.so[+c18c24]
1.62%     0.00%   GsWorker  libvulkan_freedreno.so[+c1c244]
1.61%     0.00%   GsWorker  libvulkan_freedreno.so[+c98a74]
1.59%     0.00%   GsWorker  libvulkan_freedreno.so[+a969ac]
1.56%     0.13%   GsWorker  void scudo::releaseFreeMemoryToOS<scudo::RegionReleaseRecorder<scudo::MemMapLinux>, scudo::SizeClassAllocator64<scudo::PrimaryConfig<scudo::AndroidNormalConfig>>::releaseToOSMaybe(scudo::SizeClassAllocator64<scudo::PrimaryConfig<scudo::AndroidNormalConfig>>::RegionInfo*, unsigned long, scudo::ReleaseToOS)::'lambda'(unsigned long)>(scudo::PageReleaseContext&, scudo::RegionReleaseRecorder<scudo::MemMapLinux>&, scudo::SizeClassAllocator64<scudo::PrimaryConfig<scudo::AndroidNormalConfig>>::releaseToOSMaybe(scudo::SizeClassAllocator64<scudo::PrimaryConfig<scudo::AndroidNormalConfig>>::RegionInfo*, unsigned long, scudo::ReleaseToOS)::'lambda'(unsigned long))
1.54%     0.06%   GsWorker  GS::processGIFPacket(unsigned char const*, unsigned int)
1.50%     0.00%   GsWorker  libvulkan_freedreno.so[+afcc74]
1.44%     0.03%   GsWorker  scudo::MemMapLinux::releaseAndZeroPagesToOSImpl(unsigned long, unsigned long)
1.41%     0.05%   GsWorker  madvise
1.40%     0.00%   GsWorker  [kernel.kallsyms][+ffffffe761a7d88e]
1.36%     0.01%   GsWorker  libvulkan_freedreno.so[+c60354]
1.35%     0.00%   GsWorker  libvulkan_freedreno.so[+c65d00]
