Cmdline: /system/bin/simpleperf record --app com.ps2x.runner --add-meta-info app_type=profileable --in-app --tracepoint-events /data/local/tmp/tracepoint_events --out-fd 3 --stop-signal-fd 4 -g -e cpu-clock --trace-offcpu --duration 20
Arch: arm64
Event: cpu-clock (type 1, config 0)
Samples: 474268
Time in ns: 204904141954

Overhead  Shared Object
70.07%    [kernel.kallsyms]
18.31%    /data/app/~~J9yZketwqaeWe_94jlP_lg==/com.ps2x.runner-rKnedQzg6II7qeuwr5Ef_Q==/base.apk!/lib/arm64-v8a/libvulkan_freedreno.so
7.83%     /data/app/~~J9yZketwqaeWe_94jlP_lg==/com.ps2x.runner-rKnedQzg6II7qeuwr5Ef_Q==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so
3.74%     /apex/com.android.runtime/lib64/bionic/libc.so
0.04%     /apex/com.android.runtime/bin/linker64
0.01%     [vdso]
0.00%     /system/lib64/libgui.so
0.00%     /system/lib64/libaaudio_internal.so
0.00%     /system/lib64/libutils.so
0.00%     /system/lib64/libbinder.so
0.00%     /system/lib64/libEGL.so
0.00%     /apex/com.android.art/lib64/libsigchain.so
0.00%     /system/lib64/libc++.so
0.00%     /vendor/lib64/egl/libGLESv2_adreno.so
0.00%     /system/lib64/libandroid.so
0.00%     /apex/com.android.runtime/lib64/bionic/libdl.so
0.00%     /vendor/lib64/egl/eglSubDriverAndroid.so
0.00%     /vendor/lib64/egl/libEGL_adreno.so
0.00%     /system/lib64/libui.so
0.00%     /system/lib64/libandroid_runtime.so
0.00%     /system/lib64/libnativewindow.so
0.00%     /apex/com.android.runtime/lib64/bionic/libm.so
0.00%     /system/lib64/libcutils.so
