window ticks 1948->2574 (626 frames) wall 30.31 s = 48.42 ms/frame, 20.65 vs/s
tid comm cpu_s cpu_ms_per_frame util_pct
2841 MTVU 17.90 28.59 59.1
2800 GameThread 7.74 12.36 25.5
2712 GsWorker 6.29 10.05 20.8
2795 AAudio_1 0.10 0.16 0.3
2819 PGS-Waiter 0.04 0.06 0.1
2709 com.ps2x.runner 0.04 0.06 0.1
2769 binder:2640_4 0.02 0.03 0.1
2682 binder:2640_1 0.01 0.02 0.0
