shape	tail_n	J_vs_s0	n257	ov257	pres257	n277	ov277	pres277	n296	ov296	pres296	n301	ov301	pres301	n321	ov321	pres321	n340	ov340	pres340	n342	ov342	pres342	n343	ov343	pres343
53	102	1.0000	10	10	1	10	10	1	9	9	1	11	11	1	10	10	1	8	8	1	5	5	1	2	2	1
54	102	1.0000	10	10	1	10	10	1	9	9	1	11	11	1	10	10	1	8	8	1	5	5	1	2	2	1
55	102	1.0000	10	10	1	10	10	1	9	9	1	11	11	1	10	10	1	8	8	1	5	5	1	2	2	1
56	102	1.0000	10	10	1	10	10	1	9	9	1	11	11	1	10	10	1	8	8	1	5	5	1	2	2	1
57	102	1.0000	10	10	1	10	10	1	9	9	1	11	11	1	10	10	1	8	8	1	5	5	1	2	2	1
58	102	1.0000	10	10	1	10	10	1	9	9	1	11	11	1	10	10	1	8	8	1	5	5	1	2	2	1
59	102	1.0000	10	10	1	10	10	1	9	9	1	11	11	1	10	10	1	8	8	1	5	5	1	2	2	1
60	102	1.0000	10	10	1	10	10	1	9	9	1	11	11	1	10	10	1	8	8	1	5	5	1	2	2	1
61	102	1.0000	10	10	1	10	10	1	9	9	1	11	11	1	10	10	1	8	8	1	5	5	1	2	2	1
62	102	1.0000	10	10	1	10	10	1	9	9	1	11	11	1	10	10	1	8	8	1	5	5	1	2	2	1
63	102	1.0000	10	10	1	10	10	1	9	9	1	11	11	1	10	10	1	8	8	1	5	5	1	2	2	1
64	102	1.0000	10	10	1	10	10	1	9	9	1	11	11	1	10	10	1	8	8	1	5	5	1	2	2	1
65	102	1.0000	10	10	1	10	10	1	9	9	1	11	11	1	10	10	1	8	8	1	5	5	1	2	2	1
66	102	1.0000	10	10	1	10	10	1	9	9	1	11	11	1	10	10	1	8	8	1	5	5	1	2	2	1
67	102	1.0000	10	10	1	10	10	1	9	9	1	11	11	1	10	10	1	8	8	1	5	5	1	2	2	1
68	102	1.0000	10	10	1	10	10	1	9	9	1	11	11	1	10	10	1	8	8	1	5	5	1	2	2	1
69	102	1.0000	10	10	1	10	10	1	9	9	1	11	11	1	10	10	1	8	8	1	5	5	1	2	2	1
70	102	1.0000	10	10	1	10	10	1	9	9	1	11	11	1	10	10	1	8	8	1	5	5	1	2	2	1
71	102	1.0000	10	10	1	10	10	1	9	9	1	11	11	1	10	10	1	8	8	1	5	5	1	2	2	1
72	102	1.0000	10	10	1	10	10	1	9	9	1	11	11	1	10	10	1	8	8	1	5	5	1	2	2	1
73	102	1.0000	10	10	1	10	10	1	9	9	1	11	11	1	10	10	1	8	8	1	5	5	1	2	2	1
74	102	1.0000	10	10	1	10	10	1	9	9	1	11	11	1	10	10	1	8	8	1	5	5	1	2	2	1
75	102	1.0000	10	10	1	10	10	1	9	9	1	11	11	1	10	10	1	8	8	1	5	5	1	2	2	1
76	102	1.0000	10	10	1	10	10	1	9	9	1	11	11	1	10	10	1	8	8	1	5	5	1	2	2	1
77	102	1.0000	10	10	1	10	10	1	9	9	1	11	11	1	10	10	1	8	8	1	5	5	1	2	2	1
78	102	1.0000	10	10	1	10	10	1	9	9	1	11	11	1	10	10	1	8	8	1	5	5	1	2	2	1
79	102	1.0000	10	10	1	10	10	1	9	9	1	11	11	1	10	10	1	8	8	1	5	5	1	2	2	1
80	102	1.0000	10	10	1	10	10	1	9	9	1	11	11	1	10	10	1	8	8	1	5	5	1	2	2	1
81	102	1.0000	10	10	1	10	10	1	9	9	1	11	11	1	10	10	1	8	8	1	5	5	1	2	2	1
82	102	1.0000	10	10	1	10	10	1	9	9	1	11	11	1	10	10	1	8	8	1	5	5	1	2	2	1
83	102	1.0000	10	10	1	10	10	1	9	9	1	11	11	1	10	10	1	8	8	1	5	5	1	2	2	1
84	102	1.0000	10	10	1	10	10	1	9	9	1	11	11	1	10	10	1	8	8	1	5	5	1	2	2	1
85	102	1.0000	10	10	1	10	10	1	9	9	1	11	11	1	10	10	1	8	8	1	5	5	1	2	2	1
86	102	1.0000	10	10	1	10	10	1	9	9	1	11	11	1	10	10	1	8	8	1	5	5	1	2	2	1
87	102	1.0000	10	10	1	10	10	1	9	9	1	11	11	1	10	10	1	8	8	1	5	5	1	2	2	1
88	102	1.0000	10	10	1	10	10	1	9	9	1	11	11	1	10	10	1	8	8	1	5	5	1	2	2	1
89	102	1.0000	10	10	1	10	10	1	9	9	1	11	11	1	10	10	1	8	8	1	5	5	1	2	2	1
90	102	1.0000	10	10	1	10	10	1	9	9	1	11	11	1	10	10	1	8	8	1	5	5	1	2	2	1
91	102	1.0000	10	10	1	10	10	1	9	9	1	11	11	1	10	10	1	8	8	1	5	5	1	2	2	1
92	102	1.0000	10	10	1	10	10	1	9	9	1	11	11	1	10	10	1	8	8	1	5	5	1	2	2	1
93	102	1.0000	10	10	1	10	10	1	9	9	1	11	11	1	10	10	1	8	8	1	5	5	1	2	2	1
94	102	1.0000	10	10	1	10	10	1	9	9	1	11	11	1	10	10	1	8	8	1	5	5	1	2	2	1
