tick,live_vram,nearest_vram,path1_rtz_vram,all_rtz_vram,nearest_match,path1_rtz_match,all_rtz_match
96,355d391b,2a156a2b,355d391b,355d391b,0,1,1
97,53e5391b,742e1eaa,53e5391b,53e5391b,0,1,1
98,cab9391b,624a1eaa,cab9391b,cab9391b,0,1,1
99,955d391b,a70b668b,955d391b,955d391b,0,1,1
100,43e5391b,dc2e1eaa,43e5391b,43e5391b,0,1,1
101,3949391b,8f679ef9,3949391b,3949391b,0,1,1
102,155d391b,24c509cb,155d391b,155d391b,0,1,1
103,13e5391b,d42e1eaa,13e5391b,13e5391b,0,1,1
104,bf19391b,f5114459,bf19391b,bf19391b,0,1,1
105,b55d391b,3db4789b,b55d391b,b55d391b,0,1,1
106,2051391b,3c2e1eaa,2051391b,2051391b,0,1,1
107,7aa1e8e6,7aa1e8e6,7aa1e8e6,7aa1e8e6,1,1,1
108,7aa1e8e6,7aa1e8e6,7aa1e8e6,7aa1e8e6,1,1,1
109,7aa1e8e6,7aa1e8e6,7aa1e8e6,7aa1e8e6,1,1,1
110,7aa1e8e6,7aa1e8e6,7aa1e8e6,7aa1e8e6,1,1,1
111,7361b361,4b89968c,7361b361,7361b361,0,1,1
112,e2685c57,1d5f4ad7,e2685c57,e2685c57,0,1,1
113,5f907182,8d0bdca5,5f907182,5f907182,0,1,1
114,e0260b60,195e2cc2,e0260b60,e0260b60,0,1,1
115,07177a3d,9ba83525,07177a3d,07177a3d,0,1,1
116,f8a70ad3,8ab68c78,f8a70ad3,f8a70ad3,0,1,1
117,f8a70ad3,8ab68c78,f8a70ad3,f8a70ad3,0,1,1
118,7f05f13b,849f205c,7f05f13b,83e41d9f,0,1,0
119,2ebbd68f,4be23470,2ebbd68f,2bb180c6,0,1,0
120,2ebbd68f,4be23470,2ebbd68f,2bb180c6,0,1,0
