window ticks 1955->2562 (607 frames) wall 20.43 s = 33.66 ms/frame, 29.71 vs/s
tid comm cpu_s cpu_ms_per_frame util_pct
21604 MTVU 19.25 31.71 94.2
21589 GsWorker 19.05 31.38 93.2
21590 GsWorker 19.03 31.35 93.1
21591 GsWorker 18.98 31.27 92.9
21586 GameThread 7.92 13.05 38.8
21565 GsWorker 5.91 9.74 28.9
21583 AAudio_1 0.07 0.12 0.3
21588 PGS-Waiter 0.04 0.07 0.2
21563 com.ps2x.runner 0.03 0.05 0.1
21555 binder:21541_2 0.02 0.03 0.1
