window ticks 1955->2562 (607 frames) wall 20.43 s = 33.66 ms/frame, 29.71 vs/s
tid comm cpu run_ms_per_frame wait_ms_per_frame blocked_ms_per_frame cpu_ms_per_frame(proc) slices util_pct
21604 MTVU 7 31.66 0.45 1.54 31.65 5456 94.1
21589 GsWorker 5 31.36 1.84 0.46 31.35 2645 93.2
21591 GsWorker 0 31.30 1.80 0.56 31.29 2612 93.0
21590 GsWorker 3 31.25 1.99 0.42 31.24 2705 92.8
21586 GameThread 6 13.05 0.21 20.39 13.05 2030 38.8
21565 GsWorker 2 9.71 5.19 18.75 9.74 407612 28.9
21583 AAudio_1 1 0.12 0.00 33.54 0.12 2043 0.3
21563 com.ps2x.runner 1 0.07 0.03 33.56 0.05 1888 0.2
21588 PGS-Waiter 3 0.05 0.09 33.52 0.07 2449 0.1
21555 binder:21541_2 2 0.04 0.04 33.57 0.03 1142 0.1
21577 binder:21541_4 3 0.01 0.02 33.63 0.00 304 0.0
21564 com.ps2x.runner 3 0.00 0.00 33.65 0.00 36 0.0
21552 FinalizerWatchd 1 0.00 0.00 33.66 0.00 1 0.0
21549 HeapTaskDaemon 3 0.00 0.00 33.66 0.00 2 0.0
21541 com.ps2x.runner 7 0.00 0.00 33.66 0.00 0 0.0
21545 Signal Catcher 0 0.00 0.00 33.66 0.00 0 0.0
21546 perfetto_hprof_ 1 0.00 0.00 33.66 0.00 0 0.0
21547 ADB-JDWP Connec 1 0.00 0.00 33.66 0.00 0 0.0
21548 Jit thread pool 5 0.00 0.00 33.66 0.00 0 0.0
21550 ReferenceQueueD 3 0.00 0.00 33.66 0.00 0 0.0
21551 FinalizerDaemon 4 0.00 0.00 33.66 0.00 0 0.0
21554 binder:21541_1 5 0.00 0.00 33.66 0.00 0 0.0
21557 binder:21541_3 1 0.00 0.00 33.66 0.00 0 0.0
21558 RenderThread 0 0.00 0.00 33.66 0.00 0 0.0
21567 VsyncReceiver 4 0.00 0.00 33.66 0.00 0 0.0
21568 SurfaceSyncGrou 4 0.00 0.00 33.66 0.00 0 0.0
21569 InsetsAnimation 4 0.00 0.00 33.66 0.00 0 0.0
21576 com.ps2x.runner 2 0.00 0.00 33.66 0.00 0 0.0
21587 com.ps:traceq0 5 0.00 0.00 33.66 0.00 0 0.0
21593 binder:21541_4 2 0.00 0.00 33.66 0.00 0 0.0
21595 InteractionJank 4 0.00 0.00 33.66 0.00 0 0.0
