tick	line	dma	gif	dd	dg
18480	2596445	2669132	72181	0	0
18600	2598394	2669132	72181	0	0
18720	2600486	2669132	72181	0	0
18840	2602425	2669132	72181	0	0
18960	2604415	2669132	72181	0	0
19080	2606462	2669132	72181	0	0
19200	2608609	2669132	72181	0	0
19320	2610640	2669132	72181	0	0
19440	2612640	2669132	72181	0	0
19560	2614729	2669132	72181	0	0
19680	2616716	2669132	72181	0	0
19800	2618931	2669132	72181	0	0
19920	2620977	2669132	72181	0	0
20040	2622905	2669132	72181	0	0
20160	2625014	2669132	72181	0	0
20280	2627073	2669132	72181	0	0
20400	2629032	2669132	72181	0	0
20520	2631551	2669132	72181	0	0
20640	2633632	2669132	72181	0	0
20760	2635622	2669132	72181	0	0
20880	2637632	2669132	72181	0	0
21000	2640249	2669132	72181	0	0
21120	2642206	2669132	72181	0	0
21240	2644124	2669132	72181	0	0
21360	2646872	2669132	72181	0	0
21480	2649377	2669132	72181	0	0
21600	2651439	2669132	72181	0	0
21720	2653561	2669132	72181	0	0
21840	2655664	2669132	72181	0	0
21960	2657807	2669132	72181	0	0
22080	2659863	2669132	72181	0	0
22200	2661922	2669132	72181	0	0
22320	2663910	2669132	72181	0	0
22440	2665908	2669132	72181	0	0
22560	2668013	2669132	72181	0	0
22680	2670065	2669132	72181	0	0
22800	2672082	2669132	72181	0	0
22920	2674075	2669132	72181	0	0
23040	2676095	2669132	72181	0	0
23160	2678071	2669132	72181	0	0
23280	2680467	2669132	72181	0	0
23400	2682405	2669132	72181	0	0
23520	2684364	2669132	72181	0	0
23640	2686381	2669132	72181	0	0
23760	2688603	2669132	72181	0	0
23880	2690638	2669132	72181	0	0
24000	2692668	2669132	72181	0	0
24120	2694594	2669132	72181	0	0
24240	2696542	2669132	72181	0	0
24360	2698641	2669132	72181	0	0
24480	2701111	2669132	72181	0	0
24600	2703707	2669132	72181	0	0
24720	2705792	2669132	72181	0	0
24840	2707822	2669132	72181	0	0
24960	2710138	2669132	72181	0	0
25080	2712367	2669132	72181	0	0
25200	2714398	2669132	72181	0	0
25320	2716357	2669132	72181	0	0
25440	2718355	2669132	72181	0	0
25560	2720345	2669132	72181	0	0
25680	2722391	2669132	72181	0	0
25800	2724428	2669132	72181	0	0
25920	2727067	2669132	72181	0	0
26040	2729102	2669132	72181	0	0
26160	2731688	2669132	72181	0	0
26280	2733661	2669132	72181	0	0
26400	2735609	2669132	72181	0	0
26520	2737693	2669132	72181	0	0
26640	2739667	2669132	72181	0	0
26760	2741609	2669132	72181	0	0
26880	2743621	2669132	72181	0	0
27000	2745544	2669132	72181	0	0
27120	2747542	2669132	72181	0	0
27240	2749459	2669132	72181	0	0
27360	2751528	2669132	72181	0	0
27480	2753528	2669132	72181	0	0
27600	2755536	2669132	72181	0	0
27720	2757500	2669132	72181	0	0
27840	2759469	2669132	72181	0	0
27960	2761545	2669132	72181	0	0
28080	2763478	2669132	72181	0	0
28200	2765433	2669132	72181	0	0
28320	2767417	2669132	72181	0	0
28440	2769361	2669132	72181	0	0
28560	2771445	2669132	72181	0	0
28680	2773459	2669132	72181	0	0
28800	2775575	2669132	72181	0	0
28920	2777702	2669132	72181	0	0
29040	2779829	2669132	72181	0	0
29160	2781766	2669132	72181	0	0
29280	2783778	2669132	72181	0	0
29400	2785857	2669132	72181	0	0
29520	2787924	2669132	72181	0	0
29640	2789887	2669132	72181	0	0
