window ticks 1980->2566 (586 frames) wall 22.78 s = 38.87 ms/frame, 25.73 vs/s
tid comm cpu_s cpu_ms_per_frame util_pct
4839 MTVU 15.08 25.73 66.2
4829 GameThread 6.97 11.89 30.6
4810 GsWorker 4.62 7.88 20.3
4827 AAudio_1 0.07 0.12 0.3
4831 PGS-Waiter 0.04 0.07 0.2
4808 com.ps2x.runner 0.04 0.07 0.2
4801 binder:4789_2 0.03 0.05 0.1
4821 binder:4789_4 0.01 0.02 0.0
