window ticks 1936->2545 (609 frames) wall 29.28 s = 48.07 ms/frame, 20.80 vs/s
tid comm cpu_s cpu_ms_per_frame util_pct
23368 MTVU 17.20 28.24 58.7
23346 GameThread 7.29 11.97 24.9
23280 GsWorker 5.77 9.47 19.7
23328 AAudio_1 0.10 0.16 0.3
23278 com.ps2x.runner 0.05 0.08 0.2
23352 PGS-Waiter 0.04 0.07 0.1
23240 binder:23219_2 0.03 0.05 0.1
23297 binder:23219_4 0.01 0.02 0.0
