window ticks 1959->3157 (1198 frames) wall 39.71 s = 33.15 ms/frame, 30.17 vs/s
tid comm cpu run_ms_per_frame wait_ms_per_frame blocked_ms_per_frame cpu_ms_per_frame(proc) slices util_pct
18492 MTVU 7 31.04 0.38 1.73 31.04 15016 93.6
18481 GameThread 6 13.69 0.58 18.87 13.69 30648 41.3
18460 GsWorker 5 10.33 4.43 18.39 10.33 712610 31.2
18479 AAudio_1 0 0.12 0.00 33.03 0.12 3982 0.3
18458 com.ps2x.runner 5 0.05 0.02 33.08 0.06 3209 0.1
18483 PGS-Waiter 4 0.04 0.08 33.02 0.05 5285 0.1
18449 binder:18433_3 4 0.02 0.02 33.12 0.03 1006 0.1
18467 binder:18433_5 5 0.01 0.01 33.13 0.01 875 0.0
18466 binder:18433_4 5 0.01 0.03 33.11 0.01 683 0.0
18464 InsetsAnimation 5 0.00 0.01 33.14 0.00 146 0.0
18433 com.ps2x.runner 2 0.00 0.01 33.13 0.02 89 0.0
18459 com.ps2x.runner 1 0.00 0.00 33.15 0.00 64 0.0
18441 Jit thread pool 0 0.00 0.00 33.15 0.00 1 0.0
18455 RenderThread 0 0.00 0.00 33.15 0.00 4 0.0
18491 InteractionJank 5 0.00 0.00 33.15 0.00 2 0.0
18442 HeapTaskDaemon 3 0.00 0.00 33.15 0.00 2 0.0
18445 FinalizerWatchd 5 0.00 0.00 33.15 0.00 1 0.0
18488 binder:18433_4 2 0.00 0.00 33.15 0.00 3 0.0
18463 SurfaceSyncGrou 1 0.00 0.00 33.15 0.00 1 0.0
18438 Signal Catcher 4 0.00 0.00 33.15 0.00 0 0.0
18439 perfetto_hprof_ 5 0.00 0.00 33.15 0.00 0 0.0
18440 ADB-JDWP Connec 4 0.00 0.00 33.15 0.00 0 0.0
18443 ReferenceQueueD 2 0.00 0.00 33.15 0.00 0 0.0
18444 FinalizerDaemon 5 0.00 0.00 33.15 0.00 0 0.0
18446 binder:18433_1 3 0.00 0.00 33.15 0.00 0 0.0
18447 binder:18433_2 3 0.00 0.00 33.15 0.00 0 0.0
18462 VsyncReceiver 2 0.00 0.00 33.15 0.00 0 0.0
18465 com.ps2x.runner 0 0.00 0.00 33.15 0.00 0 0.0
18482 com.ps:traceq0 4 0.00 0.00 33.15 0.00 0 0.0
