window ticks 1959->3157 (1198 frames) wall 39.71 s = 33.15 ms/frame, 30.17 vs/s
tid comm cpu_s cpu_ms_per_frame util_pct
18492 MTVU 37.25 31.09 93.8
18481 GameThread 16.38 13.67 41.2
18460 GsWorker 12.38 10.33 31.2
18479 AAudio_1 0.14 0.12 0.4
18458 com.ps2x.runner 0.07 0.06 0.2
18483 PGS-Waiter 0.05 0.04 0.1
18449 binder:18433_3 0.03 0.03 0.1
18433 com.ps2x.runner 0.02 0.02 0.1
18466 binder:18433_4 0.01 0.01 0.0
