# line addr width value pc thread ra copies; identical-run grouping only, not a RAM guest-store count
638 0x12000080 8 0x1bfa0002032281 0x382e5c 5 0x382e18 x2
640 0x120000e0 8 0x0 0x382e70 5 0x382e18 x2
647 0x12000000 8 0xff21 0x382cac 5 0x382824 x1
648 0x12000020 8 0x1 0x382cd0 5 0x382824 x2
650 0x12000070 8 0x9070 0x382cf0 5 0x382824 x2
652 0x12000080 8 0x1bfa0002032281 0x382e5c 5 0x382e18 x2
654 0x120000e0 8 0x0 0x382e70 5 0x382e18 x2
661 0x12000000 8 0xff21 0x382cac 5 0x382824 x1
662 0x12000020 8 0x1 0x382cd0 5 0x382824 x2
664 0x12000070 8 0x9070 0x382cf0 5 0x382824 x2
666 0x12000080 8 0x1bfa0002032281 0x382e5c 5 0x382e18 x2
668 0x120000e0 8 0x0 0x382e70 5 0x382e18 x2
675 0x12000000 8 0xff21 0x382cac 5 0x382824 x1
676 0x12000020 8 0x1 0x382cd0 5 0x382824 x2
678 0x12000070 8 0x9070 0x382cf0 5 0x382824 x2
680 0x12000080 8 0x1bfa0002032281 0x382e5c 5 0x382e18 x2
682 0x120000e0 8 0x0 0x382e70 5 0x382e18 x2
689 0x12000000 8 0xff21 0x382cac 5 0x382824 x1
690 0x12000020 8 0x1 0x382cd0 5 0x382824 x2
692 0x12000070 8 0x9070 0x382cf0 5 0x382824 x2
694 0x12000080 8 0x1bfa0002032281 0x382e5c 5 0x382e18 x2
696 0x120000e0 8 0x0 0x382e70 5 0x382e18 x2
951 0x12000000 8 0xff21 0x382cac 5 0x382824 x1
952 0x12000020 8 0x1 0x382cd0 5 0x382824 x2
954 0x12000070 8 0x9070 0x382cf0 5 0x382824 x2
956 0x12000080 8 0x1bfa0002032281 0x382e5c 5 0x382e18 x2
958 0x120000e0 8 0x0 0x382e70 5 0x382e18 x2
969 0x12000000 8 0xff21 0x382cac 5 0x382824 x1
970 0x12000020 8 0x1 0x382cd0 5 0x382824 x2
972 0x12000070 8 0x9070 0x382cf0 5 0x382824 x2
974 0x12000080 8 0x1bfa0002032281 0x382e5c 5 0x382e18 x2
976 0x120000e0 8 0x0 0x382e70 5 0x382e18 x2
993 0x12000000 8 0xff21 0x382cac 5 0x382824 x1
