samples=44 last=t+220.5s tick=4572
| Phase | Ticks | Wall (s) | Guest vsyncs/s | Ratio (÷59.94) | SF presents/s (polls) |
|---|---|---|---|---|---|
| title/startup | 0→636 | 11.1 | 57.07 | 0.952× | 59.6–59.6 (n=1) |
| main menu | 636→766 | 2.4 | 55.31 | 0.923× | — |
| Select Character | 766→884 | 2.1 | 55.79 | 0.931× | — |
| Setup Character / Peak | 884→1099 | 3.3 | 64.63 | 1.078× | — |
| Select Mode / Event / My Rules | 1099→1440 | 6.3 | 54.27 | 0.905× | 59.9–59.9 (n=1) |
| loading + Rival card | 1440→1714 | 13.2 | 20.72 | 0.346× | 60.1–60.1 (n=1) |
| race | 1714→4572 | 182.1 | 15.70 | 0.262× | 59.9–60.1 (n=16) |
race per-5s: 10.0 11.0 11.4 11.4 13.8 15.0 15.4 14.6 15.0 14.4 15.0 16.2 16.8 16.4 16.4 15.8 16.0 16.2 16.8 16.8 15.8 16.2 16.8 16.2 16.6 16.4 16.0 16.2 16.4 16.8 16.0 15.6 18.4 18.4 20.0 21.0
