Cmdline: /system/bin/simpleperf record --app com.ps2x.runner --add-meta-info app_type=profileable --in-app --tracepoint-events /data/local/tmp/tracepoint_events --out-fd 3 --stop-signal-fd 4 -g --duration 30
Arch: arm64
Event: cpu-cycles (type 0, config 0)
Samples: 148317
Event count: 126658118938

Overhead  Command          Symbol
24.96%    GameThread       VU1Interpreter::commitReadyPipelines()
12.73%    GameThread       VU1Interpreter::calculatePairReadyCycle(VU1Interpreter::DecodedInstructionPair const&) const
7.34%     GameThread       VU1Interpreter::run(unsigned char*, unsigned int, unsigned char*, unsigned int, GS&, PS2Memory*, unsigned int)
4.84%     GameThread       @plt
3.80%     GameThread       VU1Interpreter::execUpper(unsigned int)
3.46%     GameThread       VU1Interpreter::normalizeOperand(float) const
3.23%     GameThread       VU1Interpreter::markPairWrites(VU1Interpreter::DecodedInstructionPair const&)
2.44%     GameThread       VU1Interpreter::calculateFmacExactResult(unsigned int, double&) const
2.28%     GameThread       [kernel.kallsyms][+ffffffe761a8e810]
2.02%     GameThread       VU1Interpreter::execLower(unsigned int, unsigned char*, unsigned int, GS&, PS2Memory*, unsigned int)
1.87%     GameThread       __memset_aarch64_nt
1.66%     GameThread       VU1Interpreter::normalizeFmacResult(float*, unsigned char, unsigned char*)
1.50%     GameThread       VU1Interpreter::calculateFmacProductSticky(unsigned char) const
1.33%     GsWorker         [kernel.kallsyms][+ffffffe761a8e860]
1.31%     GameThread       VU1Interpreter::getDecodedInstructionPairForPc(unsigned char const*, unsigned int, PS2Memory*, unsigned int)
1.23%     GsWorker         [kernel.kallsyms][+ffffffe761a8e810]
1.13%     GameThread       VU1Interpreter::updateFmacFlags(unsigned char const*, unsigned char, unsigned int)
1.12%     GameThread       VU1Interpreter::progressXgkick()
0.99%     com.ps2x.runner  clock_gettime
0.79%     GameThread       VU1Interpreter::queueVfWrite(unsigned char, unsigned char, float const*, unsigned int)
0.78%     GsWorker         [kernel.kallsyms][+ffffffe760a47efc]
0.75%     com.ps2x.runner  __kernel_clock_gettime
0.50%     GsWorker         [kernel.kallsyms][+ffffffe760a21688]
0.48%     GsWorker         [kernel.kallsyms][+ffffffe760cfb750]
0.45%     GsWorker         [kernel.kallsyms][+ffffffe760a21680]
0.41%     GameThread       PS2Memory::advanceEeTimers(unsigned long)
0.30%     GameThread       [kernel.kallsyms][+ffffffe760a2784c]
0.30%     GameThread       PS2Memory::processVIF1Data(unsigned char const*, unsigned int)
0.28%     GameThread       VU1Interpreter::applyFmacDestAcc(float*, unsigned char)
0.27%     GsWorker         [kernel.kallsyms][+ffffffe760d2cbf8]
0.26%     GameThread       EeScheduler::accountCycles(unsigned int)
0.25%     GameThread       VU1Interpreter::applyFmacDest(float*, float*, unsigned char)
0.25%     GsWorker         [kernel.kallsyms][+ffffffe760a2168c]
0.23%     GsWorker         GS::buildDrawBatch(int) const
0.22%     GameThread       sub_00416810_0x416810(unsigned char*, R5900Context*, PS2Runtime*)
0.21%     GsWorker         void ParallelGS::GSInterface::drawing_kick_append<false, false, false, 3u>()
0.21%     GsWorker         [kernel.kallsyms][+ffffffe761a795a0]
0.20%     GameThread       __memcpy_aarch64_nt
0.19%     GsWorker         GS::vertexKick(bool)
0.19%     GsWorker         GS::writeRegisterPacked(unsigned char, unsigned long, unsigned long)
0.19%     GameThread       VU1Interpreter::applyDest(float*, float const*, unsigned char)
0.17%     GameThread       [kernel.kallsyms][+ffffffe761a8e664]
0.16%     GameThread       VU1Interpreter::queueAccWrite(unsigned char, float const*, unsigned int)
0.16%     GameThread       [kernel.kallsyms][+ffffffe760a277ec]
0.16%     GameThread       __vfprintf
