Cmdline: /system/bin/simpleperf record --app com.ps2x.runner --add-meta-info app_type=profileable --in-app --tracepoint-events /data/local/tmp/tracepoint_events --out-fd 3 --stop-signal-fd 4 -g --duration 30
Arch: arm64
Event: cpu-cycles (type 0, config 0)
Samples: 601798
Event count: 428955035635

Overhead  Command          Symbol
3.18%     GsWorker         scudo::HybridMutex::tryLock()
1.99%     GameThread       VU1Interpreter::commitReadyPipelines()
1.59%     GsWorker         [kernel.kallsyms][+ffffffe761a8e810]
1.47%     GsWorker         scudo::HybridMutex::unlock()
1.22%     GameThread       VU1Interpreter::calculatePairReadyCycle(VU1Interpreter::DecodedInstructionPair const&) const
1.17%     GsWorker         [kernel.kallsyms][+ffffffe761a8e860]
1.13%     GsWorker         scudo::Allocator<scudo::AndroidNormalConfig, &scudo_malloc_postinit>::allocate(unsigned long, scudo::Chunk::Origin, unsigned long, bool)
1.10%     GsWorker         __memset_aarch64_nt
1.03%     GsWorker         libvulkan_freedreno.so[+b40d34]
0.98%     GsWorker         scudo::Allocator<scudo::AndroidNormalConfig, &scudo_malloc_postinit>::deallocate(void*, scudo::Chunk::Origin, unsigned long, unsigned long)
0.91%     GsWorker         scudo::Allocator<scudo::AndroidNormalConfig, &scudo_malloc_postinit>::quarantineOrDeallocateChunk(scudo::Options const&, void*, scudo::Chunk::UnpackedHeader*, unsigned long)
0.86%     GsWorker         __memcpy_aarch64_nt
0.70%     GsWorker         [kernel.kallsyms][+ffffffe760a47efc]
0.67%     GameThread       VU1Interpreter::run(unsigned char*, unsigned int, unsigned char*, unsigned int, GS&, PS2Memory*, unsigned int)
0.63%     GsWorker         libvulkan_freedreno.so[+b40d68]
0.59%     GsWorker         malloc
0.55%     GameThread       libunwind::findUnwindSectionsByPhdr(dl_phdr_info*, unsigned long, void*)
0.44%     GsWorker         libvulkan_freedreno.so[+b489b8]
0.42%     GsWorker         libvulkan_freedreno.so[+b40d74]
0.42%     GsWorker         [kernel.kallsyms][+ffffffe760a277ec]
0.42%     GsWorker         [kernel.kallsyms][+ffffffe760a21688]
0.40%     GsWorker         libvulkan_freedreno.so[+b40d3c]
0.40%     GsWorker         [kernel.kallsyms][+ffffffe760a21680]
0.39%     GameThread       VU1Interpreter::execUpper(unsigned int)
0.38%     GsWorker         libvulkan_freedreno.so[+b40f60]
0.37%     GameThread       VU1Interpreter::normalizeOperand(float) const
0.36%     GameThread       VU1Interpreter::calculateFmacExactResult(unsigned int, double&) const
0.35%     GsWorker         __aarch64_cas4_acq
0.35%     GsWorker         [kernel.kallsyms][+ffffffe760cfb750]
0.34%     GameThread       @plt
0.31%     GsWorker         libvulkan_freedreno.so[+c1d314]
0.30%     com.ps2x.runner  clock_gettime
0.30%     GsWorker         libvulkan_freedreno.so[+b489ac]
0.29%     GameThread       VU1Interpreter::markPairWrites(VU1Interpreter::DecodedInstructionPair const&)
0.29%     GsWorker         libvulkan_freedreno.so[+b6b8ac]
0.28%     GameThread       VU1Interpreter::calculateFmacProductSticky(unsigned char) const
0.27%     GsWorker         libvulkan_freedreno.so[+c1d0dc]
0.26%     GsWorker         [kernel.kallsyms][+ffffffe760d65040]
0.25%     GsWorker         [kernel.kallsyms][+ffffffe760d2cbf8]
0.25%     GsWorker         @plt
0.25%     GsWorker         libvulkan_freedreno.so[+b40f9c]
0.23%     com.ps2x.runner  __kernel_clock_gettime
0.23%     GsWorker         [kernel.kallsyms][+ffffffe761a795a0]
0.23%     GsWorker         __aarch64_ldadd4_rel
0.23%     GsWorker         libvulkan_freedreno.so[+b6b8d0]
0.22%     GsWorker         libvulkan_freedreno.so[+c1d11c]
0.22%     GameThread       VU1Interpreter::normalizeFmacResult(float*, unsigned char, unsigned char*)
0.21%     GsWorker         [kernel.kallsyms][+ffffffe760a2168c]
0.21%     GameThread       [linker]do_dl_iterate_phdr(int (*)(dl_phdr_info*, unsigned long, void*), void*)
0.21%     GsWorker         libvulkan_freedreno.so[+c1cf58]
0.21%     GsWorker         [kernel.kallsyms][+ffffffe760ad37c0]
0.20%     GsWorker         libvulkan_freedreno.so[+b48538]
0.20%     GameThread       VU1Interpreter::execLower(unsigned int, unsigned char*, unsigned int, GS&, PS2Memory*, unsigned int)
0.20%     com.ps2x.runner  !!!0000!a0d82c13dd4b4e4f31b6cd30a2cb0d!a9ee82cd83!
0.20%     GsWorker         libvulkan_freedreno.so[+c1d100]
0.19%     GsWorker         [kernel.kallsyms][+ffffffe760d8565c]
0.18%     GsWorker         scudo_malloc
0.18%     GameThread       __memset_aarch64_nt
0.18%     GsWorker         libvulkan_freedreno.so[+b419a8]
0.17%     GsWorker         [kernel.kallsyms][+ffffffe760dd6c84]
0.17%     GameThread       sub_00376938_0x376938(unsigned char*, R5900Context*, PS2Runtime*)
0.17%     GameThread       VU1Interpreter::getDecodedInstructionPairForPc(unsigned char const*, unsigned int, PS2Memory*, unsigned int)
0.16%     GsWorker         libvulkan_freedreno.so[+b6d648]
0.16%     GsWorker         void scudo::releaseFreeMemoryToOS<scudo::RegionReleaseRecorder<scudo::MemMapLinux>, scudo::SizeClassAllocator64<scudo::PrimaryConfig<scudo::AndroidNormalConfig>>::releaseToOSMaybe(scudo::SizeClassAllocator64<scudo::PrimaryConfig<scudo::AndroidNormalConfig>>::RegionInfo*, unsigned long, scudo::ReleaseToOS)::'lambda'(unsigned long)>(scudo::PageReleaseContext&, scudo::RegionReleaseRecorder<scudo::MemMapLinux>&, scudo::SizeClassAllocator64<scudo::PrimaryConfig<scudo::AndroidNormalConfig>>::releaseToOSMaybe(scudo::SizeClassAllocator64<scudo::PrimaryConfig<scudo::AndroidNormalConfig>>::RegionInfo*, unsigned long, scudo::ReleaseToOS)::'lambda'(unsigned long))
0.16%     GsWorker         libvulkan_freedreno.so[+c656ac]
0.16%     GameThread       [kernel.kallsyms][+ffffffe761a8e810]
0.15%     GameThread       sub_0019D250_0x19d250(unsigned char*, R5900Context*, PS2Runtime*)
0.15%     GsWorker         libvulkan_freedreno.so[+b482dc]
0.15%     GsWorker         libvulkan_freedreno.so[+c658b8]
0.15%     GsWorker         scudo::SizeClassAllocator64<scudo::PrimaryConfig<scudo::AndroidNormalConfig>>::pushBlocks(scudo::SizeClassAllocatorLocalCache<scudo::SizeClassAllocator64<scudo::PrimaryConfig<scudo::AndroidNormalConfig>>>*, unsigned long, unsigned int*, unsigned int)
0.15%     GsWorker         libvulkan_freedreno.so[+c658a4]
0.15%     GameThread       VU1Interpreter::updateFmacFlags(unsigned char const*, unsigned char, unsigned int)
0.15%     GsWorker         libvulkan_freedreno.so[+b6b86c]
0.15%     GsWorker         free
0.14%     GsWorker         libvulkan_freedreno.so[+c1c670]
0.14%     GsWorker         scudo::SizeClassAllocatorLocalCache<scudo::SizeClassAllocator64<scudo::PrimaryConfig<scudo::AndroidNormalConfig>>>::drain(scudo::SizeClassAllocatorLocalCache<scudo::SizeClassAllocator64<scudo::PrimaryConfig<scudo::AndroidNormalConfig>>>::PerClass*, unsigned long)
0.14%     GsWorker         libvulkan_freedreno.so[+b48510]
0.13%     GsWorker         libvulkan_freedreno.so[+b482c8]
0.13%     GsWorker         [kernel.kallsyms][+ffffffe7611d5040]
0.13%     GsWorker         libvulkan_freedreno.so[+b6bfb4]
0.13%     GsWorker         libvulkan_freedreno.so[+b6d64c]
0.13%     GsWorker         libvulkan_freedreno.so[+c1d000]
0.13%     GsWorker         libvulkan_freedreno.so[+aa12b8]
0.12%     GsWorker         libvulkan_freedreno.so[+c65898]
0.12%     GsWorker         libvulkan_freedreno.so[+b41974]
0.12%     GsWorker         [kernel.kallsyms][+ffffffe761a79608]
0.12%     GsWorker         libvulkan_freedreno.so[+c1cf48]
0.12%     GsWorker         libvulkan_freedreno.so[+c65b38]
0.12%     GsWorker         libvulkan_freedreno.so[+c65348]
0.12%     GsWorker         libvulkan_freedreno.so[+c657a0]
0.12%     GsWorker         [kernel.kallsyms][+ffffffe760b98830]
0.12%     GsWorker         libvulkan_freedreno.so[+c1c68c]
0.12%     GsWorker         [kernel.kallsyms][+ffffffe760b99edc]
0.11%     GsWorker         libvulkan_freedreno.so[+b6bfa4]
0.11%     GsWorker         scudo::SizeClassAllocator64<scudo::PrimaryConfig<scudo::AndroidNormalConfig>>::pushBlocksImpl(scudo::SizeClassAllocatorLocalCache<scudo::SizeClassAllocator64<scudo::PrimaryConfig<scudo::AndroidNormalConfig>>>*, unsigned long, scudo::SizeClassAllocator64<scudo::PrimaryConfig<scudo::AndroidNormalConfig>>::RegionInfo*, unsigned int*, unsigned int, bool)
0.11%     GsWorker         [kernel.kallsyms][+ffffffe760a15520]
0.11%     GsWorker         libvulkan_freedreno.so[+b6b87c]
0.11%     GsWorker         libvulkan_freedreno.so[+b40be8]
0.10%     GsWorker         libvulkan_freedreno.so[+b6b968]
0.10%     GsWorker         libvulkan_freedreno.so[+b6b994]
0.10%     GameThread       VU1Interpreter::progressXgkick()
0.10%     GsWorker         libvulkan_freedreno.so[+c631e8]
0.10%     GsWorker         libvulkan_freedreno.so[+c65b80]
0.10%     GsWorker         libvulkan_freedreno.so[+c1d4d0]
0.10%     GsWorker         [kernel.kallsyms][+ffffffe760dd6c20]
0.10%     GsWorker         libvulkan_freedreno.so[+aa0e38]
0.10%     GsWorker         libvulkan_freedreno.so[+c631f0]
0.10%     GsWorker         libvulkan_freedreno.so[+ae57b4]
0.10%     GsWorker         libvulkan_freedreno.so[+c3f644]
0.10%     GameThread       __memcpy_aarch64_nt
0.10%     GsWorker         libvulkan_freedreno.so[+c65b8c]
0.09%     GsWorker         libvulkan_freedreno.so[+c65984]
0.09%     GsWorker         libvulkan_freedreno.so[+b41998]
0.09%     GsWorker         libvulkan_freedreno.so[+c3e908]
0.09%     GsWorker         libvulkan_freedreno.so[+aa1274]
0.09%     GsWorker         [kernel.kallsyms][+ffffffe761a79580]
0.09%     GsWorker         libvulkan_freedreno.so[+b6c370]
0.09%     GsWorker         libvulkan_freedreno.so[+c19210]
0.09%     GsWorker         [kernel.kallsyms][+ffffffe760a21684]
0.09%     GsWorker         libvulkan_freedreno.so[+c1f254]
0.09%     GsWorker         libvulkan_freedreno.so[+aa1324]
0.09%     GsWorker         libvulkan_freedreno.so[+b40bd8]
0.09%     GsWorker         libvulkan_freedreno.so[+ab04d8]
0.09%     GsWorker         libvulkan_freedreno.so[+c632b0]
0.09%     GsWorker         libvulkan_freedreno.so[+c65394]
0.09%     GsWorker         libvulkan_freedreno.so[+c65a7c]
0.09%     GsWorker         libvulkan_freedreno.so[+c656a0]
0.09%     GsWorker         libvulkan_freedreno.so[+b47350]
0.09%     GsWorker         libvulkan_freedreno.so[+ae6884]
0.08%     GsWorker         libvulkan_freedreno.so[+aa12c0]
0.08%     GsWorker         libvulkan_freedreno.so[+b48524]
