window ticks 1900->2588 (688 frames) wall 30.10 s = 43.75 ms/frame, 22.86 vs/s
tid comm cpu_s cpu_ms_per_frame util_pct
8568 MTVU 19.83 28.82 65.9
8559 GameThread 8.78 12.76 29.2
8540 GsWorker 6.10 8.87 20.3
8558 AAudio_1 0.10 0.15 0.3
8561 PGS-Waiter 0.06 0.09 0.2
8537 com.ps2x.runner 0.04 0.06 0.1
8531 binder:8518_2 0.02 0.03 0.1
8530 binder:8518_1 0.02 0.03 0.1
