t=9.0 tick=187 busy=165877 total=1008668 pct=16.4
t=16.0 tick=512 busy=163744 total=1002224 pct=16.3
t=22.9 tick=673 busy=212945 total=1006641 pct=21.2
t=28.0 tick=828 busy=194622 total=1007126 pct=19.3
t=34.7 tick=928 busy=237390 total=1008830 pct=23.5
t=39.9 tick=1052 busy=283222 total=1013675 pct=27.9
t=46.2 tick=1455 busy=114121 total=1003544 pct=11.4
t=51.7 tick=1565 busy=149742 total=1014866 pct=14.8
t=58.1 tick=1621 busy=181828 total=1004904 pct=18.1
t=63.1 tick=1649 busy=182235 total=1000967 pct=18.2
t=70.0 tick=1681 busy=206916 total=1002461 pct=20.6
t=75.1 tick=1716 busy=219658 total=1007111 pct=21.8
t=81.7 tick=1787 busy=236103 total=1006435 pct=23.5
t=87.0 tick=1824 busy=217502 total=1000341 pct=21.7
t=93.3 tick=1860 busy=247887 total=1004311 pct=24.7
t=98.9 tick=1897 busy=221800 total=1012091 pct=21.9
t=105.3 tick=1934 busy=235619 total=1004069 pct=23.5
t=110.7 tick=2006 busy=233133 total=1003057 pct=23.2
t=117.0 tick=2043 busy=234371 total=1016198 pct=23.1
t=122.1 tick=2080 busy=236109 total=1013152 pct=23.3
t=129.1 tick=2119 busy=238976 total=1007309 pct=23.7
t=134.2 tick=2156 busy=247670 total=1006782 pct=24.6
t=140.8 tick=2231 busy=247658 total=1008090 pct=24.6
t=146.0 tick=2268 busy=250219 total=1011332 pct=24.7
t=152.4 tick=2308 busy=245765 total=1008139 pct=24.4
t=157.7 tick=2350 busy=254839 total=1015877 pct=25.1
t=164.1 tick=2391 busy=243130 total=1001513 pct=24.3
t=169.1 tick=2432 busy=249464 total=1011635 pct=24.7
t=176.1 tick=2514 busy=251853 total=1009594 pct=24.9
t=181.1 tick=2556 busy=230945 total=1006269 pct=23.0
t=187.7 tick=2599 busy=240708 total=1000638 pct=24.1
t=192.8 tick=2641 busy=227843 total=1001048 pct=22.8
t=199.3 tick=2684 busy=228621 total=1012519 pct=22.6
t=204.5 tick=2726 busy=224221 total=1006360 pct=22.3
t=211.1 tick=2811 busy=264847 total=1010676 pct=26.2
t=216.1 tick=2853 busy=267036 total=1012848 pct=26.4
t=222.6 tick=2895 busy=253207 total=1008034 pct=25.1
t=227.8 tick=2937 busy=245712 total=1006622 pct=24.4
t=234.2 tick=2980 busy=237670 total=1003850 pct=23.7
t=239.6 tick=3022 busy=234545 total=1015185 pct=23.1
t=246.1 tick=3107 busy=255720 total=1010802 pct=25.3
t=251.3 tick=3149 busy=239299 total=1007115 pct=23.8
t=257.9 tick=3192 busy=219792 total=1004079 pct=21.9
t=263.1 tick=3234 busy=274074 total=1005230 pct=27.3
t=269.7 tick=3277 busy=263569 total=1002396 pct=26.3
t=275.1 tick=3319 busy=255472 total=1001778 pct=25.5
t=281.5 tick=3404 busy=236934 total=1007183 pct=23.5
t=286.7 tick=3446 busy=254855 total=1010679 pct=25.2
t=293.2 tick=3489 busy=232085 total=1004515 pct=23.1
t=298.6 tick=3531 busy=248952 total=1010589 pct=24.6
t=305.1 tick=3574 busy=248161 total=1000963 pct=24.8
t=310.2 tick=3616 busy=253027 total=1003183 pct=25.2
t=316.6 tick=3701 busy=266982 total=1009406 pct=26.4
t=321.8 tick=3744 busy=251653 total=1006225 pct=25.0
t=328.2 tick=3786 busy=238948 total=1000443 pct=23.9
t=333.4 tick=3828 busy=260857 total=1016587 pct=25.7
t=340.1 tick=3871 busy=246647 total=1003960 pct=24.6
t=345.2 tick=3913 busy=238527 total=1004110 pct=23.8
t=351.9 tick=3997 busy=239114 total=1004037 pct=23.8
t=357.2 tick=4040 busy=226557 total=1003293 pct=22.6
t=365.0 tick=4083 busy=255817 total=1009264 pct=25.3
t=371.3 tick=4167 busy=244950 total=1007303 pct=24.3
t=376.7 tick=4210 busy=249158 total=1013617 pct=24.6
t=383.2 tick=4255 busy=243026 total=1010692 pct=24.0
t=388.7 tick=4299 busy=216203 total=1003246 pct=21.6
t=395.1 tick=4343 busy=225353 total=1008945 pct=22.3
t=400.5 tick=4389 busy=240309 total=1007273 pct=23.9
t=407.1 tick=4496 busy=286863 total=1009617 pct=28.4
t=412.1 tick=4556 busy=260977 total=1013031 pct=25.8
