window ticks 1927->2561 (634 frames) wall 25.63 s = 40.42 ms/frame, 24.74 vs/s
tid comm cpu_s cpu_ms_per_frame util_pct
16155 MTVU 13.45 21.21 52.5
16144 GameThread 7.56 11.92 29.5
16121 GsWorker 5.13 8.09 20.0
16143 AAudio_1 0.08 0.13 0.3
16146 PGS-Waiter 0.05 0.08 0.2
16118 com.ps2x.runner 0.03 0.05 0.1
16125 binder:16099_3 0.02 0.03 0.1
16110 binder:16099_2 0.02 0.03 0.1
