t=8.4 tick=249 busy=215906 total=1000887 pct=21.6
t=13.4 tick=601 busy=320707 total=1001068 pct=32.0
t=20.0 tick=890 busy=367252 total=1000942 pct=36.7
t=25.1 tick=1201 busy=257374 total=1001024 pct=25.7
t=31.4 tick=1631 busy=230041 total=1000840 pct=23.0
t=36.6 tick=1692 busy=230019 total=1000960 pct=23.0
t=43.1 tick=1749 busy=260086 total=1000935 pct=26.0
t=48.2 tick=1804 busy=265012 total=1000764 pct=26.5
t=54.6 tick=1863 busy=286145 total=1006898 pct=28.4
t=59.8 tick=1922 busy=292323 total=1000849 pct=29.2
t=66.4 tick=2058 busy=370300 total=1001274 pct=37.0
t=71.9 tick=2138 busy=356789 total=1004064 pct=35.5
t=78.8 tick=2214 busy=356198 total=1017786 pct=35.0
t=84.3 tick=2291 busy=376912 total=1010266 pct=37.3
t=92.1 tick=2451 busy=371335 total=1001112 pct=37.1
t=98.6 tick=2533 busy=347109 total=1001186 pct=34.7
t=104.0 tick=2618 busy=350482 total=1016900 pct=34.5
t=110.4 tick=2790 busy=344336 total=1013014 pct=34.0
t=115.8 tick=2872 busy=385683 total=1006238 pct=38.3
t=122.2 tick=2954 busy=376004 total=1006373 pct=37.4
t=127.4 tick=3038 busy=347022 total=1001209 pct=34.7
t=134.3 tick=3125 busy=355423 total=1001303 pct=35.5
t=139.5 tick=3212 busy=391771 total=1001097 pct=39.1
t=146.0 tick=3379 busy=360418 total=1001241 pct=36.0
t=151.4 tick=3465 busy=366724 total=1018023 pct=36.0
t=157.9 tick=3552 busy=341985 total=1001340 pct=34.2
t=163.2 tick=3636 busy=370322 total=1001356 pct=37.0
t=170.2 tick=3719 busy=373509 total=1000989 pct=37.3
t=175.4 tick=3888 busy=354550 total=1001151 pct=35.4
t=181.9 tick=3974 busy=368946 total=1007416 pct=36.6
t=187.3 tick=4061 busy=382564 total=1003959 pct=38.1
t=195.1 tick=4143 busy=419267 total=1001563 pct=41.9
t=201.4 tick=4331 busy=361157 total=1009099 pct=35.8
t=206.8 tick=4430 busy=337262 total=1001187 pct=33.7
