samples=42 last=t+210.5s tick=4534
| Phase | Ticks | Wall (s) | Guest vsyncs/s | Ratio (÷59.94) | SF presents/s (polls) |
|---|---|---|---|---|---|
| title/startup | 0→636 | 11.1 | 57.33 | 0.956× | 59.9–59.9 (n=1) |
| main menu | 636→766 | 2.2 | 57.80 | 0.964× | — |
| Select Character | 766→884 | 2.0 | 57.80 | 0.964× | — |
| Setup Character / Peak | 884→1099 | 3.5 | 62.03 | 1.035× | — |
| Select Mode / Event / My Rules | 1099→1440 | 6.3 | 53.74 | 0.897× | 60.1–60.1 (n=1) |
| loading + Rival card | 1440→1714 | 12.2 | 22.37 | 0.373× | 59.7–59.7 (n=1) |
| race | 1714→4534 | 173.1 | 16.29 | 0.272× | 59.9–60.4 (n=15) |
race per-5s: 11.0 11.8 11.8 12.2 15.0 16.0 15.2 15.4 16.4 15.6 16.4 17.0 17.2 17.2 16.4 16.4 16.8 17.4 17.4 16.4 17.0 17.2 17.4 16.8 16.6 16.6 17.2 17.2 17.4 16.4 17.8 19.8 19.8 20.8
