PVD root_ext=261 root_size=488
lbn=270173 sectors=30 size=60728 name=/DATA/LOCALE/FEAMER.LOC
lbn=270203 sectors=33 size=67408 name=/DATA/LOCALE/OVAMER.LOC
lbn=270236 sectors=46 size=94088 name=/DATA/LOCALE/TOSAMER.LOC
lbn=270282 sectors=15 size=30216 name=/DATA/TEXTURES/BACKS.SSH
lbn=270297 sectors=66 size=133360 name=/DATA/TEXTURES/CRWD.SSH
lbn=270363 sectors=17 size=33312 name=/DATA/TEXTURES/DBGIRAD.SSH
lbn=270380 sectors=3 size=4224 name=/DATA/TEXTURES/DOT.SSH
lbn=270383 sectors=96 size=195200 name=/DATA/TEXTURES/EFFECTS.SSH
lbn=270479 sectors=513 size=1049088 name=/DATA/TEXTURES/FE_1.SSH
lbn=270992 sectors=96 size=196000 name=/DATA/TEXTURES/PARTICLE.SSH
lbn=271088 sectors=1 size=16 name=/DATA/MISSIONS/PLAYBACK.BIG
lbn=271089 sectors=5 size=9024 name=/DATA/FONTS/DEBUGFNT.SFN
lbn=271094 sectors=29 size=58934 name=/DATA/FONTS/FEFONT.SFN
lbn=271123 sectors=129 size=263328 name=/DATA/FONTS/FLOAD.SSH
lbn=271252 sectors=5 size=9024 name=/DATA/FONTS/FONT.SFN
lbn=271257 sectors=129 size=263328 name=/DATA/FONTS/GLOAD.SSH
lbn=271386 sectors=8 size=15030 name=/DATA/FONTS/HUDFONT.SFN
lbn=271394 sectors=9 size=16528 name=/DATA/FONTS/MENU.SSH
lbn=271403 sectors=129 size=263328 name=/DATA/FONTS/SPLASH.SSH
lbn=271532 sectors=36 size=73144 name=/DATA/ICON/SSX1.ICO
lbn=271568 sectors=492 size=1007260 name=/DATA/UI/CHARPIC.BIG
lbn=272060 sectors=554 size=1134588 name=/DATA/UI/COURSPIC.BIG
lbn=272614 sectors=220 size=449152 name=/DATA/UI/FE.LUI
lbn=272834 sectors=980 size=2005536 name=/DATA/UI/FE_1.SSH
lbn=273814 sectors=14 size=28360 name=/DATA/UI/FL.LUI
lbn=273828 sectors=163 size=332704 name=/DATA/UI/FL_1.SSH
lbn=273991 sectors=18 size=35064 name=/DATA/UI/GL.LUI
lbn=274009 sectors=196 size=399392 name=/DATA/UI/GL_1.SSH
lbn=274205 sectors=209 size=426648 name=/DATA/UI/OV.LUI
lbn=274414 sectors=237 size=484384 name=/DATA/UI/OV_1.SSH
lbn=274651 sectors=3 size=5828 name=/DATA/UI/SU.LUI
lbn=274654 sectors=66 size=133424 name=/DATA/UI/SU_1.SSH
lbn=274720 sectors=27 size=54064 name=/DATA/AUDIO/GRNT_AI.BNK
lbn=274747 sectors=8 size=14768 name=/DATA/AUDIO/GRNT_ARI.BNK
lbn=274755 sectors=7 size=13776 name=/DATA/AUDIO/GRNT_ELI.BNK
lbn=274762 sectors=9 size=16928 name=/DATA/AUDIO/GRNT_GRF.BNK
lbn=274771 sectors=10 size=18624 name=/DATA/AUDIO/GRNT_KAO.BNK
lbn=274781 sectors=8 size=15152 name=/DATA/AUDIO/GRNT_MAC.BNK
lbn=274789 sectors=9 size=16704 name=/DATA/AUDIO/GRNT_MOB.BNK
lbn=274798 sectors=9 size=17072 name=/DATA/AUDIO/GRNT_NAT.BNK
lbn=274807 sectors=10 size=18880 name=/DATA/AUDIO/GRNT_PSY.BNK
lbn=274817 sectors=7 size=13312 name=/DATA/AUDIO/GRNT_VIG.BNK
lbn=274824 sectors=9 size=17568 name=/DATA/AUDIO/GRNT_ZOE.BNK
lbn=274833 sectors=8532 size=17473350 name=/DATA/CHAR/ALLEGTXP.BIG
lbn=283365 sectors=636 size=1302367 name=/DATA/CHAR/ANM.BIG
lbn=284001 sectors=270 size=551279 name=/DATA/CHAR/BOLTPS2.DAT
lbn=284271 sectors=5959 size=12203437 name=/DATA/CHAR/ELISETXP.BIG
lbn=290230 sectors=5345 size=10945435 name=/DATA/CHAR/GRIFFTXP.BIG
lbn=295575 sectors=7442 size=15239901 name=/DATA/CHAR/KAORITXP.BIG
lbn=303017 sectors=6712 size=13744353 name=/DATA/CHAR/MACTXP.BIG
lbn=309729 sectors=7223 size=14791520 name=/DATA/CHAR/MDLPS2.BIG
lbn=316952 sectors=11624 size=23804838 name=/DATA/CHAR/MOBYTXP.BIG
lbn=328576 sectors=5268 size=10788519 name=/DATA/CHAR/NATETXP.BIG
lbn=333844 sectors=1186 size=2427233 name=/DATA/CHAR/OTHERTXP.BIG
lbn=335030 sectors=5724 size=11721317 name=/DATA/CHAR/PSYMOTXP.BIG
