[  561.2545] Bios    :  intrman.023: QueryIntrContext (25dd05, 2, a0, 14)
[  561.2545] Bios    : Bios call: RFU005 (5)
[  561.2545] Bios    :  thevent.009: iClearEventFlag (25dd05, fffffff6, a0, 14)
[  561.2545] Bios    :  intrman.023: QueryIntrContext (25dd05, fffffff6, a0, 14)
[  561.2545] Bios    : Bios call: WaitSema (44)
[  561.2546] Bios    :  thevent.008: ClearEventFlag (12f0c19, fffffffe, 6, d01e7ec9)
[  561.2546] Bios    :  intrman.023: QueryIntrContext (12f0c19, fffffffe, 6, d01e7ec9)
[  561.2546] Bios    :  intrman.017: CpuSuspendIntr (1f0a40, fffffffe, 6, d01e7ec9)
[  561.2546] Bios    :  intrman.018: CpuResumeIntr (1, 97860, 6, d01e7ec9)
[  561.2546] Bios    :  sio2man.046:  (1, 97860, 6, d01e7ec9)
[  561.2546] Bios    :  thevent.006: SetEventFlag (716717, 1, 6, d01e7ec9)
[  561.2546] Bios    :  intrman.023: QueryIntrContext (716717, 1, 6, d01e7ec9)
[  561.2546] Bios    :  intrman.017: CpuSuspendIntr (1f0a68, 1, 6, d01e7ec9)
[  561.2546] Bios    : Bios call: SignalSema (42)
[  561.2546] Bios    : Bios call: WaitSema (44)
[  561.2546] Bios    :  thevent.008: ClearEventFlag (716717, fffffffe, 0, f6a2e3e)
[  561.2546] Bios    :  intrman.023: QueryIntrContext (716717, fffffffe, 0, f6a2e3e)
[  561.2546] Bios    :  intrman.017: CpuSuspendIntr (1f6388, fffffffe, 0, f6a2e3e)
[  561.2546] Bios    :  intrman.018: CpuResumeIntr (1, 38b38, 0, f6a2e3e)
[  561.2546] Bios    :  thevent.006: SetEventFlag (716717, 2, 0, f6a2e3e)
[  561.2546] Bios    :  intrman.023: QueryIntrContext (716717, 2, 0, f6a2e3e)
[  561.2546] Bios    :  intrman.017: CpuSuspendIntr (1f6378, 2, 0, f6a2e3e)
[  561.2546] Bios    :  intrman.018: CpuResumeIntr (1, 2, 0, f6a2e3e)
[  561.2546] Bios    :  thevent.010: WaitEventFlag (716717, 1400, 1, 1f63d0)
[  561.2546] Bios    :  intrman.023: QueryIntrContext (716717, 1400, 1, 1f63d0)
[  561.2546] Bios    :  intrman.017: CpuSuspendIntr (1f6380, 1400, 1, 1f63d0)
[  561.2546] Bios    :  thevent.010: WaitEventFlag (716717, 2, 0, 0)
[  561.2546] Bios    :  intrman.023: QueryIntrContext (716717, 2, 0, 0)
[  561.2546] Bios    :  intrman.017: CpuSuspendIntr (1f0a70, 2, 0, 0)
[  561.2546] Bios    :  intrman.018: CpuResumeIntr (1, 2, 38b38, 0)
[  561.2546] Bios    :  thevent.008: ClearEventFlag (716717, fffffffd, 38b38, 0)
[  561.2546] Bios    :  intrman.023: QueryIntrContext (716717, fffffffd, 38b38, 0)
[  561.2546] Bios    :  intrman.017: CpuSuspendIntr (1f0a78, fffffffd, 38b38, 0)
[  561.2546] Bios    :  intrman.018: CpuResumeIntr (1, 38b38, 38b38, 0)
[  561.2546] Bios    :  sio2man.057:  (505c8, 1, 38b38, 0)
[  561.2547] Bios    :  sio2man.011:  (0, 1, 1, 0)
[  561.2547] Bios    :  sio2man.051:  (50530, 4, 50601, 5)
[  561.2547] Bios    :  thevent.006: SetEventFlag (716717, 400, 50601, 5)
[  561.2547] Bios    :  intrman.023: QueryIntrContext (716717, 400, 50601, 5)
[  561.2547] Bios    :  intrman.017: CpuSuspendIntr (1f0a38, 400, 50601, 5)
[  561.2547] Bios    :  thevent.008: ClearEventFlag (716717, fffffbff, 0, f6a3070)
[  561.2547] Bios    :  intrman.023: QueryIntrContext (716717, fffffbff, 0, f6a3070)
