t=8.4 tick=259 busy=598199 total=1012220 pct=59.1
t=13.4 tick=600 busy=662448 total=1009286 pct=65.6
t=19.9 tick=850 busy=691444 total=1001963 pct=69.0
t=25.1 tick=1076 busy=682667 total=1011893 pct=67.5
t=31.4 tick=1607 busy=62238 total=1004452 pct=6.2
t=36.6 tick=1647 busy=326065 total=1004259 pct=32.5
t=43.3 tick=1689 busy=344793 total=1010075 pct=34.1
t=48.5 tick=1730 busy=350267 total=1017609 pct=34.4
t=54.9 tick=1767 busy=428597 total=1010722 pct=42.4
t=60.1 tick=1807 busy=385589 total=1004627 pct=38.4
t=66.4 tick=1892 busy=475603 total=1005248 pct=47.3
t=72.0 tick=1939 busy=465308 total=1014593 pct=45.9
t=78.4 tick=1984 busy=482410 total=1007400 pct=47.9
t=83.9 tick=2029 busy=475582 total=1010468 pct=47.1
t=90.3 tick=2077 busy=477192 total=1008298 pct=47.3
t=96.3 tick=2174 busy=482233 total=1001134 pct=48.2
t=102.8 tick=2220 busy=470280 total=1003764 pct=46.9
t=108.1 tick=2268 busy=460602 total=1014477 pct=45.4
t=114.6 tick=2317 busy=527843 total=1003046 pct=52.6
t=120.1 tick=2365 busy=478121 total=1007812 pct=47.4
t=126.3 tick=2460 busy=490879 total=1004667 pct=48.9
t=132.3 tick=2511 busy=462062 total=1001318 pct=46.1
t=139.8 tick=2562 busy=461610 total=1007226 pct=45.8
t=146.4 tick=2667 busy=457558 total=1004335 pct=45.6
t=151.8 tick=2719 busy=479792 total=1014730 pct=47.3
t=158.4 tick=2770 busy=497255 total=1005185 pct=49.5
t=163.9 tick=2823 busy=506976 total=1001985 pct=50.6
t=170.6 tick=2928 busy=461244 total=1019356 pct=45.2
t=176.3 tick=2982 busy=471037 total=1006965 pct=46.8
t=183.1 tick=3035 busy=494328 total=1021447 pct=48.4
t=188.6 tick=3087 busy=451331 total=1006238 pct=44.9
t=196.4 tick=3193 busy=460033 total=1009856 pct=45.6
t=203.3 tick=3247 busy=501327 total=1007660 pct=49.8
t=208.8 tick=3298 busy=491334 total=1009229 pct=48.7
t=215.3 tick=3350 busy=476013 total=1010803 pct=47.1
t=220.8 tick=3453 busy=471657 total=1008923 pct=46.7
t=228.4 tick=3505 busy=500836 total=1017540 pct=49.2
t=234.9 tick=3556 busy=480391 total=1006961 pct=47.7
t=240.3 tick=3607 busy=480430 total=1005376 pct=47.8
t=247.1 tick=3713 busy=472865 total=1002930 pct=47.1
t=252.6 tick=3766 busy=484976 total=1003434 pct=48.3
t=259.2 tick=3819 busy=488232 total=1012025 pct=48.2
t=264.6 tick=3873 busy=502753 total=1008687 pct=49.8
t=271.4 tick=3979 busy=479537 total=1007210 pct=47.6
t=277.0 tick=4033 busy=476493 total=1000775 pct=47.6
t=282.0 tick=4087 busy=483675 total=1017448 pct=47.5
t=287.3 tick=4139 busy=467876 total=1012537 pct=46.2
t=294.0 tick=4188 busy=483159 total=1006509 pct=48.0
t=299.3 tick=4246 busy=539590 total=1004794 pct=53.7
t=305.8 tick=4364 busy=449462 total=1021962 pct=44.0
t=311.2 tick=4424 busy=484764 total=1008691 pct=48.1
t=317.8 tick=4485 busy=513783 total=1006294 pct=51.1
t=323.1 tick=4546 busy=501774 total=1000135 pct=50.2
