tick	logline	pc	dma	gif	d_dma	d_gif	ratio
120	38731	0x317244	22188	641	NA	NA	NA
240	70951	0x232df0	47590	1328	25402	687	0.02705
360	93550	0x3825c0	71953	1986	24363	658	0.02701
480	116641	0x317244	96854	2659	24901	673	0.02703
600	140329	0x317244	122310	3347	25456	688	0.02703
720	163974	0x317244	147803	4036	25493	689	0.02703
840	187799	0x317244	173481	4730	25678	694	0.02703
960	211551	0x0	199011	5420	25530	690	0.02703
1080	234407	0x3827e0	223649	6086	24638	666	0.02703
1200	258333	0x317244	249442	6783	25793	697	0.02702
1320	281627	0x3827e0	274561	7462	25119	679	0.02703
1440	305136	0x317244	299836	8145	25275	683	0.02702
1560	328707	0x317244	325255	8832	25419	687	0.02703
1680	351533	0x3171bc	349824	9497	24569	665	0.02707
1800	375455	0x317244	375575	10192	25751	695	0.02699
1920	398760	0x317244	400698	10871	25123	679	0.02703
2040	422234	0x317244	426006	11555	25308	684	0.02703
2160	445309	0x31ac30	450871	12228	24865	673	0.02707
2280	468657	0x1d8efc	475957	12906	25086	678	0.02703
2400	492205	0x377b1c	501369	13592	25412	686	0.02700
2520	516241	0x317244	527275	14292	25906	700	0.02702
2640	540274	0x317244	553175	14992	25900	700	0.02703
2760	564327	0x232df0	579021	15691	25846	699	0.02704
2880	587993	0x317244	604531	16380	25510	689	0.02701
3000	611416	0x1d8efc	629766	17063	25235	683	0.02707
3120	635103	0x3172e0	655222	17751	25456	688	0.02703
3240	658635	0x36356c	680596	18436	25374	685	0.02700
3360	682203	0x3172e0	705986	19123	25390	687	0.02706
3480	706291	0x3172e0	731960	19825	25974	702	0.02703
3600	729559	0x317244	756971	20500	25011	675	0.02699
3720	752822	0x317244	782057	21178	25086	678	0.02703
3840	776452	0x317244	807550	21867	25493	689	0.02703
3960	799316	0x317244	832192	22533	24642	666	0.02703
4080	821590	0x3e4db8	856131	23180	23939	647	0.02703
4200	844986	0x317244	881365	23862	25234	682	0.02703
4320	865717	0x3172e0	903751	24468	22386	606	0.02707
4440	884906	0x3a0714	924477	25028	20726	560	0.02702
4560	900683	0x3a0714	941567	25490	17090	462	0.02703
4680	916192	0x3827e0	958321	25942	16754	452	0.02698
4800	930280	0x3827e0	973570	26355	15249	413	0.02708
4920	944189	0x31a490	988555	26760	14985	405	0.02703
5040	958896	0x377ae8	1004485	27190	15930	430	0.02699
5160	973303	0x1d8efc	1020079	27612	15594	422	0.02706
5280	986178	0x3825c0	1033953	27986	13874	374	0.02696
5400	996707	0x3a0714	1045328	28294	11375	308	0.02708
5520	1007632	0x382ae8	1057150	28613	11822	319	0.02698
5640	1019100	0x31ac30	1069548	28949	12398	336	0.02710
5760	1029555	0x377ae8	1080852	29254	11304	305	0.02698
5880	1040712	0x3827e0	1092927	29580	12075	326	0.02700
6000	1050909	0x377ae8	1103941	29878	11014	298	0.02706
6120	1060298	0x3827e0	1114091	30152	10150	274	0.02700
6240	1072294	0x39e72c	1127028	30502	12937	350	0.02705
6360	1082328	0x3a0714	1137819	30794	10791	292	0.02706
6480	1092008	0x3172e0	1148284	31077	10465	283	0.02704
6600	1101022	0x1d8efc	1158015	31340	9731	263	0.02703
6720	1113648	0x377ae8	1171688	31709	13673	369	0.02699
6840	1121673	0x3a0714	1180342	31943	8654	234	0.02704
6960	1130220	0x317244	1189575	32192	9233	249	0.02697
7080	1139863	0x1d8efc	1199973	32474	10398	282	0.02712
7200	1150476	0x377ae8	1211463	32784	11490	310	0.02698
7320	1160847	0x3171bc	1222654	33087	11191	303	0.02708
7440	1172656	0x423dc8	1235453	33432	12799	345	0.02696
7560	1183357	0x3a0714	1247009	33745	11556	313	0.02709
7680	1194374	0x3a0714	1258850	34065	11841	320	0.02702
7800	1205361	0x3827e0	1270749	34386	11899	321	0.02698
7920	1216532	0x3172e0	1282816	34713	12067	327	0.02710
8040	1227241	0x3172e0	1294397	35026	11581	313	0.02703
8160	1236937	0x1d8efc	1304868	35309	10471	283	0.02703
8280	1247831	0x3827e0	1316666	35627	11798	318	0.02695
8400	1258066	0x3827e0	1327729	35926	11063	299	0.02703
8520	1268370	0x3827e0	1338866	36227	11137	301	0.02703
8640	1279576	0x1d8efc	1350970	36555	12104	328	0.02710
8760	1291000	0x3172e0	1363328	36889	12358	334	0.02703
8880	1302269	0x377b1c	1375531	37218	12203	329	0.02696
9000	1313681	0x3172e0	1387785	37550	12254	332	0.02709
9120	1324235	0x377b1c	1399211	37858	11426	308	0.02696
9240	1335591	0x377ae8	1411485	38190	12274	332	0.02705
9360	1345350	0x377ae8	1422030	38475	10545	285	0.02703
9480	1355100	0x1d8efc	1432555	38760	10525	285	0.02708
9600	1367556	0x3a0714	1446027	39124	13472	364	0.02702
9720	1378164	0x1d8efc	1457493	39434	11466	310	0.02704
9840	1389782	0x1d8efc	1470073	39774	12580	340	0.02703
9960	1401811	0x3827e0	1483022	40123	12949	349	0.02695
10080	1411794	0x39ee8c	1493864	40417	10842	294	0.02712
10200	1423798	0x36356c	1506806	40766	12942	349	0.02697
10320	1435261	0x3827e0	1519204	41101	12398	335	0.02702
10440	1445075	0x1d8efc	1529791	41388	10587	287	0.02711
10560	1456158	0x3172e0	1541779	41712	11988	324	0.02703
10680	1466325	0x3172e0	1552768	42009	10989	297	0.02703
10800	1475148	0x3827e0	1562309	42266	9541	257	0.02694
10920	1484325	0x3988dc	1572211	42534	9902	268	0.02707
11040	1493858	0x3825c0	1582515	42812	10304	278	0.02698
11160	1503571	0x377ae8	1593007	43096	10492	284	0.02707
11280	1512008	0x3827e0	1602121	43342	9114	246	0.02699
11400	1521188	0x377b1c	1612035	43610	9914	268	0.02703
11520	1530796	0x3172e0	1622402	43891	10367	281	0.02711
11640	1540904	0x1d8efc	1633317	44186	10915	295	0.02703
11760	1550806	0x3827e0	1644042	44475	10725	289	0.02695
11880	1562299	0x377b1c	1656472	44811	12430	336	0.02703
12000	1573755	0x377b1c	1668867	45146	12395	335	0.02703
12120	1583753	0x3a0714	1679651	45438	10784	292	0.02708
12240	1594192	0x36356c	1690955	45743	11304	305	0.02698
12360	1605367	0x3172e0	1702951	46068	11996	325	0.02709
12480	1615750	0x39ec2c	1714181	46371	11230	303	0.02698
12600	1626824	0x3172e0	1726150	46695	11969	324	0.02707
12720	1636653	0x1d8efc	1736769	46982	10619	287	0.02703
12840	1647147	0x377b6c	1748127	47288	11358	306	0.02694
12960	1658495	0x377b1c	1760405	47620	12278	332	0.02704
13080	1669247	0x382ae8	1772025	47934	11620	314	0.02702
13200	1677252	0x3172e0	1780651	48168	8626	234	0.02713
13320	1684852	0x3827e0	1788860	48389	8209	221	0.02692
13440	1692571	0x3827e0	1797185	48614	8325	225	0.02703
13560	1699688	0x3827e0	1804848	48821	7663	207	0.02701
13680	1707078	0x1d8efc	1812804	49037	7956	216	0.02715
13800	1715385	0x3a0714	1821760	49279	8956	242	0.02702
13920	1724147	0x3172e0	1831230	49535	9470	256	0.02703
14040	1732222	0x3827e0	1839957	49770	8727	235	0.02693
14160	1739687	0x3172e0	1847991	49988	8034	218	0.02713
14280	1746436	0x3827e0	1855275	50184	7284	196	0.02691
14400	1754865	0x377ae8	1864365	50430	9090	246	0.02706
14520	1762108	0x3171bc	1872152	50641	7787	211	0.02710
14640	1769748	0x3172e0	1880403	50864	8251	223	0.02703
14760	1780765	0x3172e0	1892317	51186	11914	322	0.02703
14880	1791556	0x3a0714	1903903	51499	11586	313	0.02702
15000	1802187	0x1d8efc	1915405	51810	11502	311	0.02704
15120	1813590	0x3171bc	1927726	52143	12321	333	0.02703
15240	1824170	0x3827e0	1939191	52452	11465	309	0.02695
15360	1836513	0x3827e0	1952548	52813	13357	361	0.02703
15480	1849600	0x3a0714	1966703	53196	14155	383	0.02706
15600	1860246	0x3827e0	1978224	53507	11521	311	0.02699
15720	1872354	0x3827e0	1991250	53859	13026	352	0.02702
15840	1883391	0x1d8efc	2003169	54182	11919	323	0.02710
15960	1894522	0x377b1c	2015224	54507	12055	325	0.02696
16080	1906943	0x0	2028661	54870	13437	363	0.02701
16200	1918326	0x3827e0	2040978	55203	12317	333	0.02704
16320	1928715	0x3172e0	2052194	55507	11216	304	0.02710
16440	1937738	0x377ae8	2061945	55770	9751	263	0.02697
16560	1946651	0x3827e0	2071577	56030	9632	260	0.02699
16680	1955431	0x317244	2081053	56286	9476	256	0.02702
16800	1964841	0x377ae8	2091219	56561	10166	275	0.02705
16920	1974633	0x1d8efc	2101774	56847	10555	286	0.02710
17040	1984903	0x377b1c	2112904	57147	11130	300	0.02695
17160	1995478	0x1d8efc	2124307	57456	11403	309	0.02710
17280	2005927	0x317244	2135628	57761	11321	305	0.02694
17400	2017041	0x3827e0	2147649	58086	12021	325	0.02704
17520	2026649	0x3172e0	2158014	58367	10365	281	0.02711
17640	2035098	0x3827e0	2167148	58613	9134	246	0.02693
17760	2044211	0x3827e0	2176916	58877	9768	264	0.02703
17880	2054621	0x423dc0	2188166	59181	11250	304	0.02702
18000	2079779	0x3827e0	2215396	59917	27230	736	0.02703
18120	2126046	0x1d8efc	2265573	61274	50177	1357	0.02704
18240	2174797	0x3172e0	2318483	62704	52910	1430	0.02703
18360	2219751	0x1d8efc	2367175	64020	48692	1316	0.02703
18480	2261925	0x1d8efc	2412907	65256	45732	1236	0.02703
18600	2284877	0x3172e0	2437660	65925	24753	669	0.02703
18720	2308149	0x317244	2462745	66602	25085	677	0.02699
18840	2330626	0x1d8efc	2486944	67257	24199	655	0.02707
18960	2353538	0x317244	2511622	67923	24678	666	0.02699
19080	2376405	0x317244	2536264	68589	24642	666	0.02703
19200	2399754	0x3825c0	2561424	69269	25160	680	0.02703
19320	2423069	0x3827e0	2586548	69949	25124	680	0.02707
19440	2445707	0x1d8efc	2611264	70617	24716	668	0.02703
19560	2467990	0x317244	2636275	71292	25011	675	0.02699
19680	2484929	0x3172e0	2660474	71947	24199	655	0.02707
19800	2491454	0x31ac30	2669132	72181	8658	234	0.02703
19920	2493756	0x31ac30	2669132	72181	0	0	FROZEN
