block	distinct	logline	w29	w31	s29	s31	dormant
0	897	5444	531	531	531	531	1039
1	588	34195	302	302	302	302	631
2	222	50654	300	300	300	300	632
3	222	65197	303	304	304	304	647
4	222	75626	299	298	298	298	627
5	222	85873	300	301	301	301	642
6	222	96186	303	303	303	303	640
7	222	106590	300	299	299	299	626
8	222	116884	299	300	300	300	638
9	222	127184	301	301	301	301	643
10	222	137478	301	301	301	301	631
11	222	147860	301	300	300	300	637
12	222	158173	298	298	298	298	639
13	222	168421	303	303	303	303	643
14	222	178825	300	300	300	300	637
15	222	189134	301	302	302	302	642
16	222	199460	301	301	301	301	639
17	222	209824	300	300	300	300	642
18	222	220110	298	297	297	297	625
19	222	230356	303	303	303	303	642
20	222	240764	301	301	301	301	634
21	222	251099	300	301	301	301	645
22	222	261427	303	302	302	302	637
23	222	271815	303	304	304	304	640
24	222	282234	300	299	299	299	629
25	222	292518	303	303	303	303	639
26	222	302922	302	303	303	303	642
27	222	313271	301	300	300	300	631
28	222	323629	300	301	301	301	639
29	222	333963	303	302	302	302	644
30	222	344347	300	301	301	301	638
31	222	354668	302	302	302	302	641
32	222	365029	299	299	299	299	627
33	222	375292	300	299	299	299	633
34	222	385593	300	300	300	300	635
35	222	395899	300	301	301	301	634
36	222	406221	301	301	301	301	642
37	222	416544	299	298	298	298	631
38	222	426811	303	303	303	303	644
39	222	437222	303	303	303	303	640
40	222	447628	302	303	303	303	640
41	222	458021	300	300	300	300	635
42	222	468312	300	299	299	299	626
43	222	478601	302	302	302	302	641
44	222	488975	302	302	302	302	643
45	222	499352	300	301	301	301	644
46	222	509694	300	300	300	300	636
47	222	519995	303	302	302	302	640
48	222	530375	303	303	303	303	650
49	222	540793	299	299	299	299	637
50	222	551067	303	304	304	304	645
51	222	561478	300	299	299	299	643
52	222	571791	299	299	299	299	633
53	222	582063	300	300	300	300	634
54	222	592367	303	303	303	303	646
55	222	602778	304	304	304	304	641
56	222	613217	302	302	302	302	644
57	222	623596	302	302	302	302	639
58	222	633968	303	303	303	303	643
59	222	644379	299	299	299	299	642
60	222	654658	303	303	303	303	634
61	222	665060	299	299	299	299	632
62	222	675329	300	300	300	300	646
63	222	685641	302	302	302	302	636
64	222	696013	301	301	301	301	638
65	222	706355	300	301	301	301	639
66	222	716683	300	299	299	299	637
67	222	726968	302	302	302	302	636
68	222	737338	303	304	304	304	645
69	222	747728	298	298	298	298	625
70	222	757961	302	301	301	301	623
71	222	768333	303	303	303	303	641
72	222	778740	300	301	301	301	640
73	222	789074	300	300	300	300	639
74	222	799375	301	300	300	300	631
75	222	809689	300	301	301	301	632
76	222	820014	303	302	302	302	633
77	222	830389	303	303	303	303	641
78	222	840797	302	302	302	302	624
79	222	851157	300	301	301	301	602
80	222	861441	300	300	300	300	600
81	222	871698	300	299	300	300	600
82	222	881963	300	301	300	300	600
83	222	892247	299	299	299	299	598
84	222	902486	301	301	301	301	602
85	222	912784	300	300	300	300	600
86	222	923058	298	298	298	298	596
87	222	933255	302	302	302	302	604
88	222	943549	299	299	299	299	598
89	222	953796	300	300	300	300	600
90	222	964053	300	299	299	299	599
91	222	974314	299	300	300	300	599
92	222	984568	291	291	291	291	582
93	222	994531	289	289	289	289	578
94	222	1004436	277	277	277	277	554
95	222	1013913	288	288	288	288	576
96	222	1023779	282	282	282	282	564
97	222	1033432	289	289	289	289	578
98	222	1043327	282	282	282	282	564
99	222	1052972	278	278	278	278	556
100	222	1062509	285	285	285	285	570
101	222	1072263	289	289	289	289	578
102	222	1082162	272	272	272	272	544
103	222	1091465	242	242	242	242	484
104	222	1099763	304	304	304	304	608
105	222	1110179	263	263	263	263	526
106	222	1119195	250	250	250	250	500
107	222	1127748	259	259	259	259	518
108	222	1136636	224	224	224	224	448
109	222	1144321	288	287	287	287	575
110	222	1154163	295	296	296	296	591
111	222	1164282	301	301	301	301	602
112	222	1174575	280	279	279	279	559
113	222	1184156	284	285	285	285	569
114	222	1193902	293	293	293	293	586
115	222	1203915	293	293	293	293	586
116	222	1213964	298	298	298	298	596
117	222	1224161	280	280	280	280	560
118	222	1233750	276	276	276	276	552
119	222	1243206	284	284	284	284	568
120	222	1252938	293	292	292	292	584
