Cmdline: /system/bin/simpleperf record --app com.ps2x.runner --add-meta-info app_type=profileable --in-app --tracepoint-events /data/local/tmp/tracepoint_events --out-fd 3 --stop-signal-fd 4 -g --duration 30
Arch: arm64
Event: cpu-cycles (type 0, config 0)
Samples: 130515
Event count: 120242448377

Overhead  Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                              Shared Object
17.85%    VU1Interpreter::commitReadyPipelines()                                                                                                                                                                                                                                                                                                                                                                                                                              /data/app/~~F_TXGpzZKpUi8TmYNi8VZg==/com.ps2x.runner-p99lIzv1Tx2JYqcmszRZNw==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so
11.23%    GSCpuBackend::WritePixel(GSDrawState const&, int, int, int, unsigned char, unsigned char, unsigned char, unsigned char, unsigned char)                                                                                                                                                                                                                                                                                                                              /data/app/~~F_TXGpzZKpUi8TmYNi8VZg==/com.ps2x.runner-p99lIzv1Tx2JYqcmszRZNw==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so
9.40%     VU1Interpreter::calculatePairReadyCycle(VU1Interpreter::DecodedInstructionPair const&) const                                                                                                                                                                                                                                                                                                                                                                        /data/app/~~F_TXGpzZKpUi8TmYNi8VZg==/com.ps2x.runner-p99lIzv1Tx2JYqcmszRZNw==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so
7.28%     GSCpuBackend::SampleTexture(GSDrawState const&, float, float, float, unsigned short, unsigned short)::$_0::operator()(int, int) const                                                                                                                                                                                                                                                                                                                               /data/app/~~F_TXGpzZKpUi8TmYNi8VZg==/com.ps2x.runner-p99lIzv1Tx2JYqcmszRZNw==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so
5.08%     VU1Interpreter::run(unsigned char*, unsigned int, unsigned char*, unsigned int, GS&, PS2Memory*, unsigned int)                                                                                                                                                                                                                                                                                                                                                      /data/app/~~F_TXGpzZKpUi8TmYNi8VZg==/com.ps2x.runner-p99lIzv1Tx2JYqcmszRZNw==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so
4.58%     GSCpuBackend::SampleTexture(GSDrawState const&, float, float, float, unsigned short, unsigned short)                                                                                                                                                                                                                                                                                                                                                                /data/app/~~F_TXGpzZKpUi8TmYNi8VZg==/com.ps2x.runner-p99lIzv1Tx2JYqcmszRZNw==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so
4.36%     @plt                                                                                                                                                                                                                                                                                                                                                                                                                                                                /data/app/~~F_TXGpzZKpUi8TmYNi8VZg==/com.ps2x.runner-p99lIzv1Tx2JYqcmszRZNw==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so
2.81%     VU1Interpreter::execUpper(unsigned int)                                                                                                                                                                                                                                                                                                                                                                                                                             /data/app/~~F_TXGpzZKpUi8TmYNi8VZg==/com.ps2x.runner-p99lIzv1Tx2JYqcmszRZNw==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so
2.42%     VU1Interpreter::normalizeOperand(float) const                                                                                                                                                                                                                                                                                                                                                                                                                       /data/app/~~F_TXGpzZKpUi8TmYNi8VZg==/com.ps2x.runner-p99lIzv1Tx2JYqcmszRZNw==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so
2.33%     VU1Interpreter::markPairWrites(VU1Interpreter::DecodedInstructionPair const&)                                                                                                                                                                                                                                                                                                                                                                                       /data/app/~~F_TXGpzZKpUi8TmYNi8VZg==/com.ps2x.runner-p99lIzv1Tx2JYqcmszRZNw==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so
