samples=44 last=t+220.5s tick=4600
| Phase | Ticks | Wall (s) | Guest vsyncs/s | Ratio (÷59.94) | SF presents/s (polls) |
|---|---|---|---|---|---|
| title/startup | 0→636 | 11.1 | 57.37 | 0.957× | 59.9–59.9 (n=1) |
| main menu | 636→766 | 2.4 | 55.12 | 0.920× | — |
| Select Character | 766→884 | 2.1 | 55.69 | 0.929× | — |
| Setup Character / Peak | 884→1099 | 3.3 | 64.81 | 1.081× | — |
| Select Mode / Event / My Rules | 1099→1440 | 6.2 | 54.79 | 0.914× | 59.9–59.9 (n=1) |
| loading + Rival card | 1440→1714 | 13.2 | 20.77 | 0.347× | 59.9–59.9 (n=1) |
| race | 1714→4600 | 182.2 | 15.84 | 0.264× | 59.7–60.4 (n=16) |
race per-5s: 10.2 10.8 11.4 11.6 14.4 15.2 15.2 14.8 15.2 14.6 15.4 16.6 16.4 16.4 16.6 16.4 16.0 16.4 16.6 16.4 16.2 16.4 16.6 16.4 16.4 16.4 16.2 16.8 16.6 16.6 16.2 16.6 19.0 18.6 20.0 21.0
