window ticks 1950->2556 (606 frames) wall 20.69 s = 34.14 ms/frame, 29.29 vs/s
tid comm cpu_s cpu_ms_per_frame util_pct
29660 GsWorker 19.46 32.11 94.1
29667 MTVU 19.45 32.10 94.0
29662 GsWorker 19.12 31.55 92.4
29661 GsWorker 19.02 31.39 91.9
29657 GameThread 8.00 13.20 38.7
29635 GsWorker 5.91 9.75 28.6
29653 AAudio_1 0.07 0.12 0.3
29633 com.ps2x.runner 0.04 0.07 0.2
29659 PGS-Waiter 0.03 0.05 0.1
29626 binder:29615_2 0.03 0.05 0.1
29647 binder:29615_4 0.02 0.03 0.1
