t=8.2 tick=276 busy=304717 total=1003789 pct=30.4
t=15.3 tick=876 busy=497137 total=1008555 pct=49.3
t=21.9 tick=1200 busy=426541 total=1000302 pct=42.6
t=26.9 tick=1455 busy=314460 total=1001515 pct=31.4
t=33.2 tick=1627 busy=222760 total=1001978 pct=22.2
t=38.4 tick=1683 busy=218496 total=1021407 pct=21.4
t=45.0 tick=1738 busy=255522 total=1016594 pct=25.1
t=50.1 tick=1790 busy=281944 total=1019151 pct=27.7
t=56.5 tick=1905 busy=266729 total=1038191 pct=25.7
t=61.6 tick=1963 busy=508276 total=1011944 pct=50.2
t=68.1 tick=2026 busy=523308 total=1001087 pct=52.3
t=73.3 tick=2091 busy=384336 total=1006330 pct=38.2
t=78.3 tick=2171 busy=354613 total=1000833 pct=35.4
t=83.6 tick=2244 busy=352977 total=1002729 pct=35.2
t=90.0 tick=2318 busy=371186 total=1029885 pct=36.0
t=95.2 tick=2469 busy=364224 total=1006300 pct=36.2
t=101.5 tick=2551 busy=374239 total=1001331 pct=37.4
t=106.8 tick=2634 busy=354811 total=1012897 pct=35.0
t=113.2 tick=2716 busy=352909 total=1003462 pct=35.2
t=118.4 tick=2799 busy=388727 total=1007357 pct=38.6
t=125.0 tick=2880 busy=362200 total=1004595 pct=36.1
t=130.2 tick=2961 busy=363089 total=1004744 pct=36.1
t=138.2 tick=3127 busy=356143 total=1017442 pct=35.0
t=144.7 tick=3210 busy=370541 total=1004634 pct=36.9
t=150.1 tick=3291 busy=363574 total=1000741 pct=36.3
t=156.5 tick=3455 busy=371351 total=1011741 pct=36.7
t=161.9 tick=3540 busy=362068 total=1017582 pct=35.6
t=168.5 tick=3623 busy=355583 total=1001717 pct=35.5
t=174.0 tick=3703 busy=371733 total=1008335 pct=36.9
t=180.3 tick=3865 busy=343684 total=1003090 pct=34.3
t=185.4 tick=3950 busy=366664 total=1003703 pct=36.5
t=191.9 tick=4032 busy=344983 total=1004554 pct=34.3
t=197.8 tick=4114 busy=354577 total=1009998 pct=35.1
t=204.2 tick=4194 busy=383402 total=1017842 pct=37.7
t=209.8 tick=4291 busy=422732 total=1007818 pct=41.9
t=216.3 tick=4482 busy=388178 total=1006758 pct=38.6
t=221.5 tick=4587 busy=386131 total=1012440 pct=38.1
