window ticks 1984->2565 (581 frames) wall 22.62 s = 38.94 ms/frame, 25.68 vs/s
tid comm cpu_s cpu_ms_per_frame util_pct
19697 MTVU 14.81 25.49 65.5
19683 GameThread 6.75 11.62 29.8
19638 GsWorker 4.55 7.83 20.1
19681 AAudio_1 0.08 0.14 0.4
19686 PGS-Waiter 0.03 0.05 0.1
19636 com.ps2x.runner 0.03 0.05 0.1
19633 binder:19583_3 0.01 0.02 0.0
19630 binder:19583_1 0.01 0.02 0.0
